Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,3.27,0.71,0.95,228.91,0.0,0.33
2013-02-15,8.89,0.83,1.71,68.45,0.0,0.17
2013-03-15,10.2,0.84,1.66,241.09,0.0,0.14
2013-04-15,10.21,0.76,4.39,257.49,0.0,0.09
2013-05-15,12.65,0.71,4.89,244.7,0.0,0.08
2013-08-15,17.01,0.89,2.97,228.68,0.0,0.07
2013-09-15,14.23,0.91,3.59,245.17,0.0,0.08
2013-11-15,11.77,0.56,5.27,285.58,0.0,0.07
2013-12-15,3.67,0.82,2.45,54.98,0.0,0.11
2014-01-15,7.47,0.43,2.21,63.62,0.0,0.06
2014-02-15,11.56,0.94,1.28,201.58,0.0,0.25
2014-03-15,11.42,0.96,1.5,238.58,0.0,0.18
2014-04-15,12.12,0.96,2.47,225.21,0.0,0.12
2014-05-15,17.04,0.55,1.44,227.71,0.0,0.07
2014-06-15,13.39,0.75,3.24,231.68,0.0,0.08
2014-07-15,16.48,0.79,2.47,243.41,0.0,0.08
2014-08-15,15.69,0.85,2.46,219.92,0.0,0.07
2014-09-15,16.36,0.9,2.28,242.01,0.0,0.08
2014-10-15,17.86,0.77,4.42,198.95,0.0,0.07
2014-11-15,12.99,0.91,1.81,259.71,0.0,0.09
2014-12-15,11.83,0.78,2.69,86.55,0.53,0.4
2015-01-15,7.26,0.95,1.61,77.4,0.0,0.26
2015-02-15,12.76,0.87,0.78,21.48,0.0,0.32
2015-03-15,18.2,0.78,2.29,209.51,0.0,0.11
2015-04-15,10.34,0.76,2.56,310.12,0.0,0.09
2015-09-15,16.13,0.83,3.51,237.13,0.01,0.09
2015-10-15,18.27,0.93,1.51,251.86,0.0,0.07
2015-11-15,12.72,0.86,3.25,165.26,0.0,0.14
2015-12-15,6.03,0.87,2.5,347.64,0.0,0.3
2016-01-15,13.42,0.88,3.58,255.76,0.06,0.39
2016-02-15,14.48,0.79,2.66,358.29,0.0,0.23
2016-03-15,9.86,0.79,1.79,291.16,0.0,0.39
2016-04-15,10.47,0.76,4.38,300.82,0.0,0.22
2016-05-15,15.07,0.92,3.61,278.78,0.0,0.12
2016-07-15,13.54,0.92,1.93,217.16,0.0,0.08
2016-08-15,13.55,0.91,3.06,235.07,0.0,0.09
2016-09-15,14.09,0.88,1.15,247.09,0.0,0.07
2016-10-15,15.14,0.95,0.9,246.45,0.01,0.22
2016-11-15,14.04,0.99,1.29,254.63,0.0,0.23
2016-12-15,15.09,0.84,4.91,183.71,0.0,0.34
2017-01-15,5.92,0.96,0.89,272.54,0.0,0.38
2017-02-15,11.16,0.91,1.46,193.91,0.0,0.34
2017-03-15,13.49,0.99,1.5,231.03,0.0,0.23
2017-04-15,8.81,0.84,1.7,286.66,0.0,0.23
2017-05-15,11.32,0.8,2.8,260.57,0.0,0.08
2017-06-15,15.42,0.68,2.98,245.01,0.0,0.08
2017-07-15,14.51,0.91,2.26,220.43,0.0,0.09
2017-11-15,12.25,0.83,0.85,269.38,0.0,0.12
2017-12-15,5.92,0.86,2.17,59.21,0.0,0.11
2018-01-15,9.29,0.97,1.53,66.39,0.0,0.3
2018-02-15,8.76,0.81,2.55,283.79,0.0,0.12
2018-03-15,8.22,0.73,3.21,283.88,0.0,0.3
2018-04-15,13.11,0.76,1.47,229.8,0.0,0.2
2018-09-15,14.57,0.79,2.67,239.95,0.0,0.08
2018-10-15,13.92,0.57,3.16,32.5,0.0,0.07
2018-12-15,12.75,0.89,1.21,130.25,0.03,0.3
2019-01-15,9.93,0.82,2.69,95.8,0.01,0.39
2019-02-15,10.43,0.81,5.43,241.17,0.68,0.44
2019-03-15,9.17,0.85,1.18,207.91,0.0,0.32
2019-04-15,11.9,0.67,3.15,260.05,0.0,0.2
2019-05-15,14.1,0.78,2.06,243.54,0.0,0.08
2019-11-15,13.13,0.89,1.5,236.83,0.0,0.09
2019-12-15,9.22,0.78,4.38,282.65,0.0,0.37
