Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,0.08,0.59,2.76,77.46,0.0,0.39,"Amador, CA"
2013-02-15,1.98,0.79,4.3,78.91,0.0,0.32,"Amador, CA"
2013-03-15,12.36,0.68,1.62,72.36,0.0,0.29,"Amador, CA"
2013-04-15,9.79,0.7,2.91,196.58,0.01,0.29,"Amador, CA"
2013-05-15,15.8,0.6,0.91,114.55,0.0,0.22,"Amador, CA"
2013-07-15,19.28,0.49,0.44,73.15,0.0,0.18,"Amador, CA"
2013-08-15,16.67,0.41,1.16,94.62,0.0,0.17,"Amador, CA"
2013-09-15,15.3,0.64,0.93,99.35,0.0,0.15,"Amador, CA"
2013-10-15,8.5,0.45,3.44,75.38,0.0,0.18,"Amador, CA"
2013-11-15,8.9,0.6,0.74,97.91,0.0,0.18,"Amador, CA"
2013-12-15,1.23,0.72,2.12,71.75,0.0,0.29,"Amador, CA"
2014-01-15,7.18,0.4,4.39,73.85,0.0,0.27,"Amador, CA"
2014-02-15,10.27,0.68,1.74,100.12,0.0,0.4,"Amador, CA"
2014-03-15,8.38,0.7,2.9,58.8,0.0,0.35,"Amador, CA"
2014-04-15,10.74,0.77,1.34,78.1,0.0,0.3,"Amador, CA"
2014-05-15,16.17,0.46,2.07,69.77,0.0,0.25,"Amador, CA"
2014-06-15,14.05,0.37,1.61,92.74,0.0,0.19,"Amador, CA"
2014-08-15,17.96,0.56,0.81,61.97,0.0,0.18,"Amador, CA"
2014-09-15,20.21,0.41,2.14,77.81,0.0,0.17,"Amador, CA"
2014-10-15,14.56,0.74,1.44,196.78,0.0,0.18,"Amador, CA"
2014-11-15,8.04,0.84,1.53,87.91,0.0,0.35,"Amador, CA"
2014-12-15,6.9,0.71,1.8,91.58,0.0,0.43,"Amador, CA"
2015-01-15,3.22,0.88,2.08,75.7,0.0,0.35,"Amador, CA"
2015-02-15,9.86,0.57,2.31,70.35,0.0,0.39,"Amador, CA"
2015-03-15,17.09,0.44,3.52,105.6,0.0,0.32,"Amador, CA"
2015-04-15,6.12,0.47,2.87,46.85,0.0,0.31,"Amador, CA"
2015-05-15,8.39,0.89,0.82,85.9,0.12,0.3,"Amador, CA"
2015-08-15,17.99,0.51,1.4,52.41,0.0,0.19,"Amador, CA"
2015-09-15,15.81,0.92,0.98,157.25,0.11,0.26,"Amador, CA"
2015-10-15,17.62,0.58,1.27,74.44,0.0,0.21,"Amador, CA"
2015-11-15,8.21,0.58,1.72,119.73,0.0,0.38,"Amador, CA"
2015-12-15,-1.44,0.63,3.46,58.75,0.0,0.43,"Amador, CA"
2016-01-15,7.46,0.83,5.3,166.53,1.5,0.46,"Amador, CA"
2016-02-15,11.64,0.57,3.95,72.08,0.0,0.34,"Amador, CA"
2016-03-15,6.93,0.7,2.27,53.89,0.0,0.44,"Amador, CA"
2016-04-15,6.68,0.76,1.2,353.29,0.0,0.37,"Amador, CA"
2016-05-15,13.07,0.88,0.21,13.83,0.0,0.31,"Amador, CA"
2016-07-15,19.61,0.41,1.17,87.79,0.0,0.19,"Amador, CA"
2016-10-15,15.14,0.9,2.36,188.86,0.76,0.43,"Amador, CA"
2016-11-15,10.14,0.66,2.52,86.57,0.0,0.34,"Amador, CA"
2016-12-15,11.43,0.62,3.15,142.93,0.01,0.43,"Amador, CA"
2017-01-15,2.98,0.73,2.43,71.04,0.0,0.42,"Amador, CA"
2017-02-15,8.79,0.61,2.96,78.56,0.0,0.41,"Amador, CA"
2017-03-15,13.05,0.56,2.92,82.83,0.0,0.35,"Amador, CA"
2017-04-15,5.04,0.7,2.27,50.29,0.0,0.42,"Amador, CA"
2017-05-15,8.61,0.66,1.0,52.44,0.0,0.27,"Amador, CA"
2017-06-15,15.55,0.62,1.43,82.01,0.0,0.24,"Amador, CA"
2017-07-15,20.54,0.54,1.07,81.82,0.0,0.18,"Amador, CA"
2017-09-15,15.23,0.79,0.77,106.71,0.0,0.19,"Amador, CA"
2017-10-15,11.44,0.32,3.37,74.5,0.0,0.19,"Amador, CA"
2017-11-15,9.67,0.74,1.84,86.77,0.0,0.39,"Amador, CA"
2017-12-15,5.08,0.68,1.29,72.67,0.0,0.36,"Amador, CA"
2018-01-15,11.19,0.53,2.4,90.03,0.0,0.4,"Amador, CA"
2018-02-15,4.73,0.72,2.06,84.31,0.0,0.34,"Amador, CA"
2018-03-15,4.42,0.9,2.05,123.5,0.18,0.46,"Amador, CA"
2018-04-15,12.79,0.76,1.85,110.85,0.0,0.39,"Amador, CA"
2018-05-15,10.94,0.83,0.35,94.04,0.0,0.25,"Amador, CA"
2018-08-15,18.88,0.55,0.48,90.26,0.0,0.18,"Amador, CA"
2018-09-15,14.93,0.49,1.12,87.39,0.0,0.15,"Amador, CA"
2018-10-15,14.36,0.17,6.84,76.81,0.0,0.2,"Amador, CA"
2018-11-15,2.9,0.51,1.66,74.7,0.0,0.19,"Amador, CA"
2018-12-15,8.89,0.66,1.75,99.35,0.0,0.38,"Amador, CA"
2019-01-15,6.73,0.76,4.5,123.78,0.23,0.42,"Amador, CA"
2019-02-15,6.42,0.87,6.84,168.74,0.59,0.46,"Amador, CA"
2019-03-15,5.33,0.51,3.01,76.57,0.0,0.39,"Amador, CA"
2019-04-15,12.6,0.69,1.74,140.33,0.0,0.36,"Amador, CA"
2019-05-15,15.48,0.56,0.16,231.75,0.0,0.18,"Amador, CA"
2019-06-15,16.77,0.81,0.5,92.32,0.0,0.24,"Amador, CA"
2019-07-15,20.68,0.42,1.8,89.97,0.0,0.18,"Amador, CA"
2019-08-15,21.73,0.41,1.09,75.67,0.0,0.18,"Amador, CA"
2019-10-15,8.54,0.55,1.43,70.96,0.0,0.2,"Amador, CA"
2019-11-15,9.32,0.67,1.03,38.07,0.0,0.17,"Amador, CA"
2019-12-15,4.83,0.91,2.34,219.73,0.44,0.45,"Amador, CA"
