Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.33,0.48,3.36,57.4,0.0,0.36
2013-02-15,5.56,0.63,3.89,39.47,0.0,0.26
2013-03-15,11.99,0.71,1.68,48.46,0.0,0.21
2013-04-15,11.17,0.5,2.72,322.53,0.0,0.23
2013-07-15,23.82,0.33,2.3,96.84,0.0,0.17
2013-09-15,19.0,0.6,1.98,99.12,0.0,0.18
2013-11-15,10.77,0.37,1.9,14.44,0.0,0.14
2013-12-15,1.94,0.68,3.58,55.1,0.0,0.27
2014-02-15,13.57,0.81,3.47,122.42,0.0,0.39
2014-03-15,9.57,0.78,2.12,51.6,0.0,0.35
2014-04-15,14.09,0.58,2.48,75.14,0.0,0.26
2014-05-15,18.86,0.35,2.65,70.42,0.0,0.2
2014-06-15,20.1,0.2,2.26,79.01,0.0,0.15
2014-08-15,21.58,0.42,2.79,91.01,0.0,0.18
2014-09-15,22.17,0.37,2.52,67.49,0.0,0.15
2014-10-15,15.31,0.81,4.44,156.17,0.29,0.17
2014-11-15,10.15,0.86,1.88,59.4,0.0,0.33
2014-12-15,7.42,0.73,1.34,52.15,0.0,0.41
2015-01-15,5.33,0.76,2.22,67.32,0.0,0.33
2015-02-15,9.97,0.7,2.04,45.57,0.0,0.37
2015-03-15,17.57,0.54,2.98,95.18,0.0,0.27
2015-04-15,8.86,0.36,3.33,14.15,0.0,0.24
2015-05-15,12.34,0.64,2.49,135.57,0.02,0.2
2015-06-15,19.29,0.56,1.58,98.51,0.0,0.2
2015-08-15,18.35,0.41,1.69,41.46,0.0,0.17
2015-11-15,10.53,0.74,4.23,131.05,0.0,0.29
2015-12-15,1.97,0.58,2.92,29.97,0.0,0.4
2016-01-15,7.23,0.88,3.19,130.53,1.1,0.45
2016-02-15,13.22,0.6,3.54,30.54,0.0,0.31
2016-03-15,7.02,0.76,1.9,50.2,0.0,0.42
2016-04-15,8.02,0.63,2.49,349.75,0.0,0.33
2016-10-15,14.26,0.89,3.26,136.96,0.02,0.39
2016-11-15,13.1,0.69,2.62,89.8,0.0,0.32
2016-12-15,11.82,0.88,5.68,152.08,0.32,0.44
2017-01-15,4.0,0.7,3.23,54.36,0.0,0.4
2017-03-15,14.45,0.7,2.82,81.51,0.0,0.32
2017-04-15,6.27,0.69,2.24,37.39,0.0,0.4
2017-05-15,11.35,0.55,1.55,56.93,0.0,0.19
2017-11-15,9.79,0.73,2.58,100.66,0.01,0.37
2017-12-15,5.53,0.56,3.37,56.57,0.0,0.33
2018-01-15,10.43,0.7,2.18,52.89,0.0,0.38
2018-02-15,6.98,0.58,2.6,30.06,0.01,0.26
2018-03-15,4.74,0.89,1.36,94.02,0.07,0.44
2018-04-15,16.51,0.63,3.28,122.97,0.0,0.35
2018-05-15,16.42,0.66,1.97,115.23,0.0,0.2
2018-08-15,21.6,0.51,1.38,122.65,0.0,0.17
2018-12-15,10.71,0.92,1.85,135.65,0.41,0.37
2019-01-15,8.24,0.8,2.68,56.19,0.65,0.39
2019-02-15,7.47,0.85,7.3,187.25,2.4,0.45
2019-03-15,7.85,0.43,3.39,56.19,0.0,0.37
2019-08-15,25.61,0.29,1.68,56.94,0.0,0.16
2019-11-15,11.16,0.76,1.94,103.89,0.0,0.16
2019-12-15,4.25,0.96,1.06,294.1,0.03,0.43
