Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,22.06,0.81,3.72,119.9,0.0,0.1
2013-02-15,20.81,0.73,3.93,68.74,0.15,0.17
2013-03-15,15.34,0.68,6.1,352.55,0.0,0.05
2013-04-15,23.78,0.87,1.0,220.29,0.41,0.13
2013-05-15,22.61,0.6,4.48,81.58,0.0,0.11
2013-06-15,25.97,0.88,3.2,249.3,0.0,0.18
2013-09-15,27.02,0.85,2.22,114.97,0.0,0.17
2013-10-15,24.0,0.85,3.04,7.54,0.03,0.1
2013-11-15,23.75,0.61,5.74,101.86,0.0,0.11
2013-12-15,23.71,0.88,5.8,194.66,0.0,0.1
2014-01-15,21.13,0.83,2.15,337.28,0.05,0.11
2014-02-15,14.86,0.82,5.71,242.32,0.0,0.1
2014-03-15,19.26,0.65,2.28,118.32,0.0,0.05
2014-04-15,24.08,0.88,4.09,168.73,0.01,0.07
2014-05-15,24.05,0.88,5.38,152.45,0.2,0.06
2014-07-15,25.92,0.86,2.44,213.81,0.03,0.17
2014-08-15,26.16,0.88,3.17,233.47,0.0,0.16
2014-09-15,25.94,0.86,1.72,72.87,0.0,0.19
2014-10-15,25.63,0.88,3.6,167.59,0.0,0.1
2014-11-15,19.66,0.85,4.08,359.11,0.01,0.09
2014-12-15,17.51,0.63,1.85,301.86,0.0,0.06
2015-01-15,19.54,0.89,6.51,338.05,0.05,0.13
2015-02-15,13.14,0.7,7.09,296.32,0.0,0.11
2015-03-15,22.92,0.81,2.33,188.47,0.0,0.1
2015-04-15,24.96,0.84,2.96,154.09,0.0,0.04
2015-05-15,25.61,0.81,4.16,105.33,0.02,0.12
2015-06-15,27.0,0.81,2.55,111.6,0.0,0.12
2015-07-15,26.93,0.82,3.73,214.69,0.0,0.06
2015-09-15,27.18,0.87,4.6,78.81,0.02,0.18
2015-10-15,26.14,0.88,1.56,85.86,0.0,0.07
2015-11-15,24.59,0.74,8.48,65.37,0.02,0.08
2015-12-15,23.15,0.91,3.23,192.79,0.0,0.15
2016-01-15,21.87,0.82,6.11,142.49,0.4,0.17
2016-02-15,19.19,0.69,7.45,101.16,0.01,0.11
2016-03-15,22.41,0.9,3.28,258.5,0.0,0.04
2016-04-15,22.89,0.84,2.25,133.89,0.0,0.08
2016-05-15,24.93,0.83,3.18,215.46,0.0,0.05
2016-09-15,26.24,0.89,1.54,221.07,0.0,0.18
2016-10-15,26.65,0.76,5.75,85.37,0.05,0.13
2016-11-15,21.92,0.83,3.64,347.81,0.04,0.05
2016-12-15,21.81,0.84,4.59,300.03,0.0,0.1
2017-01-15,22.07,0.61,4.59,72.16,0.0,0.05
2017-02-15,20.2,0.83,5.04,220.43,0.0,0.04
2017-03-15,14.82,0.68,7.31,305.33,0.0,0.06
2017-04-15,22.59,0.76,7.26,84.57,0.03,0.06
2017-06-15,25.87,0.89,2.43,103.19,0.12,0.17
2017-08-15,27.16,0.85,2.74,236.28,0.0,0.18
2017-09-15,27.7,0.81,2.24,104.73,0.0,0.16
2017-11-15,22.08,0.88,6.42,17.82,0.09,0.16
2017-12-15,16.96,0.64,2.79,232.08,0.0,0.1
2018-01-15,16.73,0.74,5.28,335.14,0.0,0.14
2018-02-15,21.84,0.8,2.47,96.18,0.0,0.08
2018-03-15,14.81,0.66,4.48,318.86,0.0,0.07
2018-04-15,25.15,0.86,6.3,156.8,0.01,0.11
2018-05-15,24.02,0.9,4.36,146.85,0.11,0.18
2018-07-15,26.87,0.81,1.2,160.28,0.0,0.17
2018-09-15,26.75,0.89,2.54,230.06,0.07,0.18
2018-10-15,27.0,0.89,4.13,130.86,0.02,0.16
2018-11-15,25.54,0.88,3.53,169.68,0.0,0.11
2018-12-15,24.32,0.9,7.37,176.43,0.07,0.08
2019-01-15,16.45,0.8,4.03,346.3,0.0,0.05
2019-02-15,21.31,0.81,2.24,42.2,0.01,0.15
2019-03-15,22.99,0.78,3.66,118.74,0.05,0.08
2019-04-15,25.07,0.89,6.25,198.99,0.03,0.09
2019-05-15,24.48,0.85,2.63,254.45,0.07,0.18
2019-06-15,26.2,0.84,2.1,144.38,0.05,0.18
2019-08-15,27.12,0.85,3.1,213.02,0.0,0.18
2019-10-15,25.94,0.78,2.22,111.06,0.0,0.15
2019-11-15,23.74,0.91,3.15,151.05,0.04,0.16
2019-12-15,18.77,0.73,3.97,337.98,0.0,0.11
