AcresBurned,Counties,Started,Started_Date,Started_Hour
257314.0,"Tuolumne, CA",2013-08-17T15:25:00Z,2013-08-17,15
30274.0,"Los Angeles, CA",2013-05-30T15:28:00Z,2013-05-30,15
27531.0,"Riverside, CA",2013-07-15T13:43:00Z,2013-07-15,13
27440.0,"Placer, CA",2013-08-10T16:30:00Z,2013-08-10,16
24251.0,"Ventura, CA",2013-05-02T07:01:00Z,2013-05-02,07
22992.0,"Fresno, CA",2013-07-22T22:15:00Z,2013-07-22,22
20292.0,"Riverside, CA",2013-08-07T14:05:00Z,2013-08-07,14
14754.0,"Siskiyou, CA",2013-07-31T22:00:00Z,2013-07-31,22
12503.0,"Humboldt, CA",2013-08-10T11:40:00Z,2013-08-10,11
11429.0,"Tehama, CA",2013-08-23T14:15:00Z,2013-08-23,14
8073.0,"Shasta, CA",2013-09-09T12:32:00Z,2013-09-09,12
7055.0,"San Diego, CA",2013-07-06T12:55:00Z,2013-07-06,12
6965.0,"Tehama, CA",2013-05-01T09:12:00Z,2013-05-01,09
4346.0,"Kern, CA",2013-05-15T12:50:00Z,2013-05-15,12
4346.0,"Ventura, CA",2013-05-15T12:50:00Z,2013-05-15,12
3505.0,"Sonoma, CA",2013-11-22T02:04:00Z,2013-11-22,02
3166.0,"Riverside, CA",2013-05-01T12:38:00Z,2013-05-01,12
3111.0,"Contra Costa, CA",2013-09-08T13:08:00Z,2013-09-08,13
2781.0,"San Diego, CA",2013-05-23T12:20:00Z,2013-05-23,12
2462.0,"Butte, CA",2013-08-16T16:37:00Z,2013-08-16,16
2236.0,"San Diego, CA",2013-10-05T12:45:00Z,2013-10-05,12
2060.0,"Tulare, CA",2013-08-24T14:31:00Z,2013-08-24,14
1984.0,"Santa Barbara, CA",2013-05-27T14:45:00Z,2013-05-27,14
1708.0,"Mariposa, CA",2013-06-16T14:12:00Z,2013-06-16,14
1383.0,"Riverside, CA",2013-08-05T10:10:00Z,2013-08-05,10
1271.0,"San Diego, CA",2013-05-26T12:04:00Z,2013-05-26,12
