Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.96,0.64,0.82,172.45,0.0,0.31
2013-02-15,9.4,0.55,3.42,330.14,0.0,0.15
2013-03-15,15.47,0.54,1.88,278.31,0.0,0.14
2013-04-15,15.03,0.42,3.07,311.13,0.0,0.13
2013-05-15,24.67,0.31,3.24,137.19,0.0,0.12
2013-07-15,25.64,0.34,3.0,140.59,0.0,0.13
2013-08-15,24.98,0.4,2.42,138.65,0.0,0.08
2013-09-15,21.22,0.51,3.06,145.91,0.0,0.06
2013-10-15,15.88,0.25,3.97,335.55,0.0,0.1
2013-11-15,12.52,0.38,2.37,308.98,0.0,0.1
2013-12-15,4.17,0.63,0.35,182.61,0.0,0.16
2014-01-15,10.4,0.39,2.54,347.31,0.0,0.12
2014-02-15,14.88,0.81,2.62,147.06,0.0,0.28
2014-03-15,13.49,0.73,1.75,266.26,0.0,0.24
2014-04-15,16.83,0.6,1.99,146.25,0.0,0.14
2014-05-15,21.58,0.27,2.03,169.14,0.0,0.13
2014-06-15,22.03,0.21,1.67,153.89,0.0,0.11
2014-07-15,26.65,0.34,3.55,152.94,0.0,0.08
2014-08-15,24.24,0.42,2.28,140.57,0.0,0.09
2014-09-15,24.77,0.39,1.99,144.76,0.0,0.04
2014-10-15,19.26,0.65,4.38,167.16,0.1,0.11
2014-11-15,11.66,0.84,0.21,317.15,0.0,0.17
2014-12-15,9.77,0.95,1.83,320.31,0.02,0.38
2015-01-15,6.32,0.86,1.24,181.45,0.0,0.27
2015-02-15,11.49,0.77,2.01,270.66,0.0,0.33
2015-03-15,18.85,0.71,1.92,184.69,0.0,0.17
2015-04-15,14.9,0.29,6.56,338.15,0.0,0.16
2015-05-15,13.88,0.64,2.64,142.43,0.0,0.14
2015-06-15,20.96,0.55,3.36,139.46,0.0,0.14
2015-07-15,23.63,0.53,2.97,147.73,0.0,0.13
2015-08-15,21.84,0.34,2.43,309.79,0.0,0.13
2015-09-15,18.79,0.63,3.72,160.35,0.0,0.12
2015-10-15,21.33,0.53,1.89,139.91,0.0,0.14
2015-11-15,11.16,0.81,3.7,152.71,0.0,0.22
2015-12-15,5.84,0.63,3.85,329.25,0.0,0.3
2016-01-15,10.91,0.88,2.35,158.05,0.06,0.41
2016-02-15,18.16,0.57,5.03,336.98,0.0,0.22
2016-03-15,9.19,0.74,1.36,302.94,0.0,0.38
2016-04-15,11.64,0.52,3.13,327.25,0.0,0.24
2016-05-15,17.8,0.66,1.59,155.22,0.0,0.14
2016-06-15,20.55,0.32,3.54,147.07,0.0,0.12
2016-07-15,27.77,0.26,2.24,147.37,0.0,0.11
2016-08-15,26.31,0.25,1.73,154.31,0.0,0.06
2016-09-15,21.72,0.39,0.42,315.72,0.0,0.07
2016-10-15,15.56,0.74,2.32,162.88,0.0,0.21
2016-11-15,13.38,0.96,1.76,154.34,0.0,0.2
2016-12-15,15.09,0.81,6.06,161.11,0.0,0.35
2017-01-15,7.55,0.73,0.39,276.07,0.0,0.37
2017-02-15,10.69,0.81,1.98,153.33,0.0,0.36
2017-03-15,14.79,0.95,1.66,182.48,0.0,0.25
2017-04-15,9.1,0.69,2.32,304.69,0.0,0.26
2017-05-15,15.98,0.46,1.16,251.37,0.0,0.13
2017-06-15,25.03,0.24,1.11,212.05,0.0,0.14
2017-08-15,21.19,0.64,2.73,139.43,0.0,0.04
2017-09-15,18.51,0.65,1.91,80.73,0.0,0.03
2017-10-15,16.2,0.15,2.89,327.44,0.0,0.02
2017-11-15,12.31,0.6,1.87,156.66,0.31,0.2
2017-12-15,9.22,0.61,0.37,160.53,0.0,0.14
2018-01-15,11.87,0.77,1.36,284.66,0.0,0.29
2018-02-15,12.11,0.34,4.6,346.65,0.0,0.12
2018-03-15,6.64,0.92,0.97,188.65,0.0,0.32
2018-04-15,18.24,0.37,2.32,185.21,0.0,0.21
2018-05-15,19.24,0.49,3.61,139.44,0.0,0.13
2018-06-15,24.57,0.4,2.92,138.43,0.0,0.12
2018-08-15,23.03,0.48,3.34,136.2,0.0,0.08
2018-09-15,19.21,0.38,1.9,165.85,0.0,0.08
2018-10-15,17.6,0.15,5.81,347.83,0.0,0.13
2018-11-15,3.81,0.42,1.87,174.64,0.0,0.15
2018-12-15,11.61,0.91,1.33,145.53,0.02,0.23
2019-01-15,8.97,0.89,1.31,61.63,0.6,0.39
2019-02-15,10.54,0.79,5.36,189.6,0.18,0.43
2019-03-15,12.02,0.44,0.51,165.52,0.0,0.34
2019-04-15,16.65,0.43,1.83,170.99,0.0,0.28
2019-05-15,20.43,0.49,2.54,143.55,0.0,0.13
2019-06-15,24.86,0.5,4.11,146.76,0.0,0.11
2019-07-15,27.72,0.39,1.64,144.67,0.0,0.09
2019-09-15,24.49,0.29,2.95,152.77,0.0,0.05
2019-10-15,13.76,0.35,1.63,178.29,0.0,0.05
2019-11-15,13.01,0.77,1.58,141.71,0.0,0.04
2019-12-15,6.98,0.83,2.17,265.58,0.0,0.36
