AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Fire
257314.0,"Tuolumne, CA",2013-08-17T15:25:00Z,2013-08-17,15.0,21.28,0.29,1.3,58.58,0.0,0.13,1
30274.0,"Los Angeles, CA",2013-05-30T15:28:00Z,2013-05-30,15.0,19.81,0.56,1.34,174.3,0.0,0.07,1
27531.0,"Riverside, CA",2013-07-15T13:43:00Z,2013-07-15,13.0,22.62,0.62,2.77,256.01,0.0,0.1,1
27440.0,"Placer, CA",2013-08-10T16:30:00Z,2013-08-10,16.0,19.13,0.3,1.26,204.91,0.0,0.22,1
24251.0,"Ventura, CA",2013-05-02T07:01:00Z,2013-05-02,7.0,16.4,0.94,0.19,81.05,2.41,0.45,1
22992.0,"Fresno, CA",2013-07-22T22:15:00Z,2013-07-22,22.0,36.22,0.17,2.6,313.21,0.0,0.1,1
20292.0,"Riverside, CA",2013-08-07T14:05:00Z,2013-08-07,14.0,20.71,0.56,1.67,49.52,0.02,0.25,1
14754.0,"Siskiyou, CA",2013-07-31T22:00:00Z,2013-07-31,22.0,28.42,0.19,2.86,216.9,0.24,0.17,1
12503.0,"Humboldt, CA",2013-08-10T11:40:00Z,2013-08-10,11.0,8.16,1.0,1.63,167.0,0.0,0.33,1
11429.0,"Tehama, CA",2013-08-23T14:15:00Z,2013-08-23,14.0,17.2,0.54,0.62,344.26,0.0,0.12,1
8073.0,"Shasta, CA",2013-09-09T12:32:00Z,2013-09-09,12.0,21.38,0.44,3.21,356.6,0.0,0.23,1
7055.0,"San Diego, CA",2013-07-06T12:55:00Z,2013-07-06,12.0,18.74,0.86,2.16,269.48,0.0,0.05,1
6965.0,"Tehama, CA",2013-05-01T09:12:00Z,2013-05-01,9.0,17.13,0.14,6.77,342.78,0.0,0.1,1
4346.0,"Kern, CA",2013-05-15T12:50:00Z,2013-05-15,12.0,14.71,0.87,1.27,138.75,0.0,0.07,1
4346.0,"Ventura, CA",2013-05-15T12:50:00Z,2013-05-15,12.0,18.04,0.89,0.22,67.54,0.82,0.45,1
3505.0,"Sonoma, CA",2013-11-22T02:04:00Z,2013-11-22,2.0,15.51,0.2,6.64,20.52,0.0,0.3,1
3166.0,"Riverside, CA",2013-05-01T12:38:00Z,2013-05-01,12.0,12.57,0.52,1.97,344.75,0.0,0.22,1
3111.0,"Contra Costa, CA",2013-09-08T13:08:00Z,2013-09-08,13.0,14.86,0.95,2.31,245.27,0.0,0.1,1
2781.0,"San Diego, CA",2013-05-23T12:20:00Z,2013-05-23,12.0,15.3,0.77,3.63,187.6,0.0,0.05,1
2462.0,"Butte, CA",2013-08-16T16:37:00Z,2013-08-16,16.0,25.82,0.26,1.46,152.02,0.0,0.16,1
2236.0,"San Diego, CA",2013-10-05T12:45:00Z,2013-10-05,12.0,17.57,0.44,3.02,68.89,0.0,0.04,1
2060.0,"Tulare, CA",2013-08-24T14:31:00Z,2013-08-24,14.0,20.36,0.42,0.69,259.66,0.0,0.12,1
1984.0,"Santa Barbara, CA",2013-05-27T14:45:00Z,2013-05-27,14.0,14.75,0.66,2.01,339.48,0.0,0.06,1
1708.0,"Mariposa, CA",2013-06-16T14:12:00Z,2013-06-16,14.0,16.14,0.66,0.86,174.95,0.0,0.06,1
1383.0,"Riverside, CA",2013-08-05T10:10:00Z,2013-08-05,10.0,18.56,0.85,5.21,199.29,0.24,0.3,1
1271.0,"San Diego, CA",2013-05-26T12:04:00Z,2013-05-26,12.0,14.84,0.82,1.35,224.95,0.01,0.05,1
1070.0,"Tuolumne, CA",2013-08-05T06:00:00Z,2013-08-05,6.0,19.2,0.44,1.4,43.79,0.0,0.14,1
917.0,"Monterey, CA",2013-12-16T00:20:00Z,2013-12-16,0.0,14.47,0.62,2.56,12.61,0.0,0.07,1
794.0,"Kern, CA",2013-08-18T23:12:00Z,2013-08-18,23.0,28.61,0.41,1.9,205.25,0.0,0.07,1
712.0,"Kern, CA",2013-07-19T12:00:00Z,2013-07-19,12.0,18.61,0.66,0.24,71.01,0.0,0.07,1
712.0,"Los Angeles, CA",2013-05-17T13:23:00Z,2013-05-17,13.0,15.31,0.86,1.04,161.27,0.01,0.07,1
612.0,"Kern, CA",2013-07-23T09:15:00Z,2013-07-23,9.0,19.81,0.87,0.66,231.46,0.0,0.11,1
572.0,"El Dorado, CA",2013-07-08T12:45:00Z,2013-07-08,12.0,27.72,0.56,4.13,175.08,0.0,0.04,1
534.0,"San Bernardino, CA",2013-06-28T14:30:00Z,2013-06-28,14.0,22.55,0.54,0.46,123.04,0.0,0.08,1
513.0,"Plumas, CA",2013-08-18T18:30:00Z,2013-08-18,18.0,25.2,0.8,2.47,4.56,0.24,0.26,1
510.0,"Riverside, CA",2013-05-04T11:43:00Z,2013-05-04,11.0,11.03,0.73,8.75,258.89,0.03,0.2,1
502.0,"Modoc, CA",2013-07-03T22:56:00Z,2013-07-03,22.0,34.39,0.19,3.83,351.78,0.01,0.05,1
500.0,"San Luis Obispo, CA",2013-06-01T17:27:00Z,2013-06-01,17.0,25.17,0.27,2.13,350.5,0.0,0.12,1
492.0,"Contra Costa, CA",2013-07-01T13:19:00Z,2013-07-01,13.0,16.34,0.91,2.23,215.63,0.0,0.14,1
482.0,"Madera, CA",2013-06-16T18:17:00Z,2013-06-16,18.0,27.32,0.25,3.44,301.17,0.0,0.11,1
413.0,"San Bernardino, CA",2013-08-20T13:32:00Z,2013-08-20,13.0,19.94,0.74,0.3,264.45,0.0,0.11,1
406.0,"Inyo, CA",2013-02-24T08:16:00Z,2013-02-24,8.0,6.86,0.19,1.97,349.43,0.0,0.01,1
376.0,"Napa, CA",2013-10-03T20:33:00Z,2013-10-03,20.0,22.48,0.16,5.55,359.84,0.0,0.11,1
354.0,"San Benito, CA",2013-05-03T11:42:00Z,2013-05-03,11.0,14.73,0.86,1.32,70.54,0.04,0.24,1
311.0,"Riverside, CA",2013-02-28T16:43:00Z,2013-02-28,16.0,7.65,0.53,5.22,37.82,0.0,0.25,1
305.0,"Butte, CA",2013-10-04T17:37:00Z,2013-10-04,17.0,18.99,0.23,5.02,22.56,0.0,0.23,1
303.0,"San Joaquin, CA",2013-05-30T11:20:00Z,2013-05-30,11.0,23.33,0.89,1.28,0.65,0.07,0.4,1
298.0,"Butte, CA",2013-06-03T13:49:00Z,2013-06-03,13.0,19.14,0.35,3.02,41.82,0.0,0.16,1
296.0,"Lake, CA",2013-01-22T11:08:00Z,2013-01-22,11.0,-8.55,0.55,4.61,305.6,0.0,0.33,1
274.0,"Contra Costa, CA",2013-07-01T15:41:00Z,2013-07-01,15.0,19.48,0.63,1.82,231.28,0.0,0.14,1
274.0,"Madera, CA",2013-04-30T12:59:00Z,2013-04-30,12.0,18.83,0.44,2.9,319.28,0.0,0.12,1
268.0,"Los Angeles, CA",2013-09-23T18:00:00Z,2013-09-23,18.0,28.01,0.21,0.36,191.42,0.0,0.04,1
263.0,"San Diego, CA",2013-09-09T13:09:00Z,2013-09-09,13.0,19.4,0.84,4.71,308.81,0.0,0.04,1
243.0,"San Bernardino, CA",2013-08-08T12:15:00Z,2013-08-08,12.0,16.77,0.46,0.55,153.27,0.0,0.06,1
240.0,"Alameda, CA",2013-06-08T10:16:00Z,2013-06-08,10.0,14.63,0.88,1.62,232.34,0.0,0.09,1
237.0,"Placer, CA",2013-06-13T11:28:00Z,2013-06-13,11.0,9.04,0.51,1.09,70.4,0.0,0.25,1
226.0,"Glenn, CA",2013-06-12T15:17:00Z,2013-06-12,15.0,25.12,0.14,1.22,181.62,0.0,0.01,1
217.0,"Glenn, CA",2013-05-01T19:00:00Z,2013-05-01,19.0,16.46,0.1,2.75,16.06,0.0,0.01,1
213.0,"Monterey, CA",2013-07-17T13:23:00Z,2013-07-17,13.0,13.04,0.92,3.02,319.19,0.0,0.05,1
200.0,"San Bernardino, CA",2013-09-24T15:51:00Z,2013-09-24,15.0,18.74,0.26,0.81,84.28,0.0,0.05,1
200.0,"Tehama, CA",2013-07-04T07:30:00Z,2013-07-04,7.0,33.95,0.28,3.16,337.62,0.0,0.12,1
196.0,"Shasta, CA",2013-08-19T17:48:00Z,2013-08-19,17.0,30.94,0.26,0.89,44.7,0.0,0.25,1
195.0,"Tehama, CA",2013-07-19T13:32:00Z,2013-07-19,13.0,20.13,0.26,0.62,299.3,0.0,0.11,1
190.0,"Napa, CA",2013-11-21T21:39:00Z,2013-11-21,21.0,16.19,0.2,6.11,12.95,0.0,0.29,1
170.0,"Santa Barbara, CA",2013-05-28T15:24:00Z,2013-05-28,15.0,16.99,0.61,5.25,306.22,0.0,0.06,1
163.0,"Yolo, CA",2013-11-04T11:41:00Z,2013-11-04,11.0,9.2,0.76,7.36,245.36,0.02,0.36,1
163.0,"El Dorado, CA",2013-07-19T14:12:00Z,2013-07-19,14.0,30.27,0.42,4.34,195.47,0.0,0.04,1
163.0,"Sacramento, CA",2013-07-19T14:12:00Z,2013-07-19,14.0,15.97,0.79,1.42,202.12,0.0,0.13,1
159.0,"Sonoma, CA",2013-10-04T12:25:00Z,2013-10-04,12.0,17.53,0.23,5.16,8.96,0.0,0.14,1
158.0,"Sonoma, CA",2013-07-26T13:45:00Z,2013-07-26,13.0,13.18,0.85,2.13,236.13,0.0,0.16,1
150.0,"Alameda, CA",2013-10-04T07:35:00Z,2013-10-04,7.0,19.69,0.22,6.36,9.63,0.0,0.07,1
150.0,"Riverside, CA",2013-07-16T17:48:00Z,2013-07-16,17.0,23.13,0.61,3.62,272.01,0.0,0.1,1
150.0,"Stanislaus, CA",2013-07-12T15:35:00Z,2013-07-12,15.0,19.69,0.45,1.86,325.78,0.0,0.14,1
150.0,"Fresno, CA",2013-06-25T13:36:00Z,2013-06-25,13.0,20.68,0.7,2.09,295.32,0.0,0.12,1
