Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.89,0.8,1.65,213.01,0.0,0.34
2013-02-15,10.01,0.75,2.01,46.93,0.0,0.22
2013-03-15,11.03,0.86,1.78,223.39,0.0,0.17
2013-04-15,10.83,0.7,4.81,245.16,0.0,0.13
2013-05-15,13.56,0.68,5.71,222.3,0.0,0.14
2013-06-15,14.27,0.82,2.83,227.47,0.0,0.13
2013-08-15,17.22,0.89,3.47,225.85,0.0,0.12
2013-10-15,11.41,0.68,1.52,230.06,0.0,0.08
2013-11-15,12.21,0.5,3.42,260.72,0.0,0.07
2013-12-15,4.81,0.87,1.82,67.41,0.0,0.17
2014-01-15,9.92,0.48,1.89,101.89,0.0,0.11
2014-02-15,11.62,0.93,1.47,212.04,0.0,0.29
2014-03-15,11.28,0.97,1.58,226.98,0.0,0.21
2014-04-15,12.74,0.94,3.01,222.42,0.0,0.16
2014-05-15,19.07,0.45,1.83,216.18,0.0,0.12
2014-06-15,14.34,0.71,4.09,220.28,0.0,0.13
2014-08-15,15.76,0.86,2.51,231.5,0.0,0.12
2014-09-15,17.0,0.84,3.23,238.51,0.0,0.13
2014-10-15,17.98,0.75,4.37,209.97,0.01,0.1
2014-11-15,12.8,0.93,1.6,231.33,0.0,0.16
2014-12-15,11.44,0.82,1.89,63.29,0.32,0.39
2015-01-15,6.45,0.98,1.95,80.3,0.0,0.29
2015-02-15,13.56,0.86,0.55,279.76,0.0,0.34
2015-03-15,17.34,0.89,1.77,224.45,0.0,0.18
2015-04-15,9.56,0.83,1.97,283.47,0.0,0.15
2015-05-15,11.46,0.9,1.81,249.18,0.0,0.13
2015-06-15,13.12,0.96,4.08,227.86,0.0,0.15
2015-08-15,17.31,0.85,1.8,219.25,0.0,0.12
2015-09-15,16.61,0.79,4.06,240.37,0.01,0.13
2015-10-15,18.86,0.85,2.1,231.93,0.0,0.12
2015-11-15,11.85,0.91,2.36,186.65,0.0,0.22
2015-12-15,4.06,0.89,2.4,345.49,0.0,0.3
2016-01-15,13.07,0.87,3.67,239.98,0.08,0.4
2016-02-15,15.87,0.68,3.34,352.35,0.0,0.26
2016-03-15,8.84,0.83,2.1,253.02,0.0,0.39
2016-04-15,10.01,0.76,3.37,279.8,0.0,0.25
2016-05-15,15.02,0.92,3.25,245.02,0.0,0.17
2016-06-15,12.4,0.73,5.08,232.9,0.0,0.12
2016-08-15,14.95,0.85,3.49,236.07,0.0,0.14
2016-09-15,14.36,0.85,2.21,232.55,0.0,0.12
2016-10-15,15.17,0.94,1.32,246.52,0.0,0.22
2016-11-15,13.97,1.0,2.32,240.21,0.0,0.23
2016-12-15,14.89,0.82,3.66,188.11,0.0,0.33
2017-01-15,5.05,0.97,1.19,223.86,0.0,0.38
2017-02-15,11.97,0.83,1.15,187.79,0.0,0.36
2017-03-15,14.41,0.99,1.76,223.25,0.0,0.28
2017-04-15,8.11,0.87,1.49,245.83,0.0,0.3
2017-05-15,11.81,0.8,3.04,226.65,0.0,0.12
2017-08-15,15.12,0.87,4.25,220.81,0.0,0.13
2017-09-15,15.85,0.75,3.35,219.24,0.0,0.14
2017-10-15,14.12,0.4,1.98,71.24,0.0,0.1
2017-11-15,12.12,0.79,1.24,229.26,0.0,0.17
2017-12-15,5.49,0.92,2.02,70.58,0.0,0.14
2018-01-15,9.19,0.95,1.56,37.58,0.0,0.29
2018-02-15,7.43,0.85,1.93,247.34,0.0,0.15
2018-03-15,7.8,0.73,3.31,257.08,0.0,0.32
2018-04-15,13.85,0.72,2.33,214.98,0.0,0.25
2018-05-15,12.35,0.82,4.92,240.25,0.0,0.12
2018-09-15,15.56,0.74,3.53,227.24,0.0,0.12
2018-10-15,16.06,0.29,4.23,22.2,0.0,0.12
2018-12-15,12.13,0.9,1.13,129.61,0.05,0.29
2019-01-15,9.28,0.86,2.48,96.27,0.02,0.39
2019-02-15,10.37,0.81,5.25,231.46,1.14,0.44
2019-03-15,8.01,0.8,1.86,202.11,0.0,0.35
2019-04-15,12.31,0.62,3.91,237.93,0.0,0.27
2019-05-15,14.36,0.75,3.08,233.87,0.0,0.13
2019-09-15,17.75,0.87,3.82,226.83,0.0,0.1
2019-11-15,12.79,0.88,1.73,242.94,0.0,0.08
2019-12-15,8.66,0.76,4.61,265.12,0.0,0.37
