Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.04,0.73,1.62,131.11,0.0,0.34
2013-02-15,9.18,0.74,1.43,51.98,0.0,0.22
2013-03-15,14.13,0.82,1.53,147.39,0.0,0.16
2013-04-15,15.21,0.46,3.1,224.47,0.0,0.14
2013-05-15,18.98,0.45,4.35,169.77,0.0,0.11
2013-06-15,19.68,0.42,2.07,155.83,0.0,0.12
2013-07-15,19.84,0.56,2.49,180.47,0.0,0.12
2013-08-15,19.82,0.66,2.64,166.86,0.0,0.11
2013-09-15,16.77,0.72,3.13,169.46,0.0,0.13
2013-10-15,12.26,0.36,0.84,30.17,0.0,0.1
2013-11-15,9.68,0.79,1.12,139.6,0.0,0.06
2013-12-15,1.4,0.92,1.3,28.53,0.0,0.22
2014-01-15,4.08,0.75,1.68,72.01,0.0,0.16
2014-02-15,12.95,0.89,1.52,156.55,0.0,0.34
2014-03-15,11.38,0.84,1.49,22.89,0.0,0.27
2014-04-15,14.73,0.75,1.89,159.16,0.0,0.17
2014-05-15,20.92,0.33,1.31,132.34,0.0,0.12
2014-06-15,18.89,0.37,2.49,163.93,0.0,0.12
2014-07-15,23.33,0.49,1.67,194.83,0.0,0.12
2014-08-15,20.15,0.58,1.7,171.93,0.0,0.11
2014-09-15,21.99,0.51,1.53,173.77,0.0,0.09
2014-10-15,18.91,0.66,2.12,161.53,0.04,0.11
2014-11-15,11.86,0.89,1.35,154.69,0.0,0.2
2014-12-15,10.97,0.73,0.76,62.01,0.0,0.38
2015-01-15,5.85,0.92,0.84,75.78,0.0,0.27
2015-02-15,10.51,0.84,0.88,51.63,0.0,0.34
2015-03-15,18.57,0.73,2.46,124.79,0.0,0.19
2015-04-15,11.62,0.38,3.69,333.1,0.0,0.15
2015-05-15,13.59,0.68,1.79,149.43,0.0,0.15
2015-06-15,16.14,0.72,2.93,175.59,0.0,0.15
2015-09-15,18.19,0.73,2.04,247.0,0.0,0.14
2015-10-15,21.56,0.56,1.94,141.63,0.0,0.13
2015-11-15,9.36,0.91,1.83,151.09,0.0,0.29
2015-12-15,3.94,0.66,2.88,347.77,0.0,0.35
2016-01-15,10.92,0.8,4.58,169.57,1.14,0.43
2016-02-15,15.47,0.63,4.06,352.84,0.0,0.28
2016-03-15,11.04,0.69,0.47,352.8,0.0,0.39
2016-04-15,12.07,0.53,2.8,318.84,0.0,0.24
2016-05-15,16.45,0.82,1.64,177.96,0.0,0.15
2016-06-15,15.83,0.54,4.27,169.58,0.0,0.12
2016-07-15,22.4,0.48,2.41,165.41,0.0,0.12
2016-08-15,22.69,0.48,2.36,184.26,0.0,0.11
2016-10-15,16.61,0.9,1.54,173.5,0.08,0.36
2016-11-15,13.2,0.97,1.81,163.87,0.0,0.25
2016-12-15,13.95,0.81,3.35,147.16,0.03,0.36
2017-01-15,4.94,0.89,0.4,97.11,0.0,0.38
2017-02-15,9.98,0.85,2.24,92.32,0.0,0.35
2017-03-15,15.36,0.91,1.82,132.03,0.0,0.28
2017-04-15,8.02,0.74,2.18,342.43,0.0,0.34
2017-05-15,13.83,0.59,1.49,161.36,0.0,0.12
2017-08-15,17.31,0.76,2.86,189.72,0.0,0.12
2017-10-15,12.03,0.39,1.45,38.08,0.0,0.11
2017-11-15,12.83,0.69,1.26,114.9,0.01,0.25
2017-12-15,3.73,0.94,0.99,68.88,0.0,0.27
2018-01-15,9.69,0.94,1.68,313.55,0.0,0.36
2018-02-15,7.58,0.73,1.15,89.91,0.0,0.22
2018-03-15,8.21,0.86,2.36,155.29,0.06,0.4
2018-04-15,16.72,0.64,2.26,163.92,0.0,0.3
2018-05-15,14.76,0.64,2.95,171.84,0.0,0.13
2018-06-15,19.26,0.55,2.54,178.2,0.0,0.1
2018-07-15,21.38,0.6,3.41,174.87,0.0,0.1
2018-08-15,18.14,0.69,3.07,176.95,0.0,0.11
2018-09-15,18.85,0.52,1.92,166.31,0.0,0.09
2018-10-15,15.77,0.21,3.79,350.72,0.0,0.12
2018-11-15,4.24,0.64,1.64,108.87,0.0,0.14
2018-12-15,11.85,0.87,1.12,101.42,0.06,0.31
2019-01-15,9.86,0.75,3.69,126.89,0.22,0.38
2019-02-15,10.78,0.79,6.67,176.55,1.13,0.43
2019-03-15,8.51,0.71,1.57,118.96,0.0,0.33
2019-04-15,15.04,0.5,3.56,175.14,0.0,0.26
2019-05-15,18.07,0.55,2.23,191.65,0.0,0.11
2019-06-15,18.56,0.67,3.7,184.14,0.0,0.12
2019-07-15,23.96,0.55,2.56,145.84,0.0,0.12
2019-08-15,27.51,0.39,1.63,146.42,0.0,0.1
2019-09-15,22.26,0.49,2.71,162.89,0.0,0.08
2019-10-15,12.46,0.6,1.63,132.41,0.0,0.1
2019-11-15,11.58,0.82,1.19,127.67,0.0,0.08
2019-12-15,7.84,0.86,1.78,225.4,0.0,0.38
