Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,7.69,0.82,1.57,272.05,0.13,0.13
2013-02-15,9.33,0.78,2.68,282.99,0.08,0.14
2013-03-15,7.26,0.72,10.18,303.87,0.04,0.19
2013-04-15,17.22,0.57,1.81,61.24,0.0,0.1
2013-05-15,17.45,0.88,1.61,108.08,0.0,0.07
2013-06-15,24.8,0.48,1.52,186.45,0.0,0.04
2013-09-15,20.96,0.67,1.74,134.44,0.0,0.08
2013-10-15,20.5,0.8,1.55,314.89,0.0,0.04
2013-11-15,13.75,0.6,5.05,331.94,0.0,0.08
2013-12-15,10.37,0.9,2.45,320.57,0.0,0.14
2014-01-15,9.45,0.87,2.53,296.01,0.0,0.16
2014-02-15,13.21,0.95,0.89,91.8,0.0,0.15
2014-03-15,12.34,0.77,1.39,7.33,0.0,0.13
2014-04-15,15.81,0.78,4.03,279.79,0.0,0.1
2014-05-15,18.07,0.54,2.62,322.48,0.0,0.04
2014-06-15,25.42,0.59,4.67,291.11,0.0,0.05
2014-08-15,24.79,0.51,5.55,324.35,0.0,0.04
2014-10-15,21.84,0.69,2.79,274.27,0.0,0.05
2014-11-15,17.8,0.92,2.45,161.01,0.08,0.12
2014-12-15,12.86,0.88,2.18,83.42,0.01,0.11
2015-01-15,9.94,0.86,1.38,327.02,0.0,0.08
2015-02-15,9.92,0.92,0.67,194.14,0.02,0.15
2015-03-15,12.01,0.81,5.99,216.02,0.0,0.16
2015-04-15,16.81,0.69,1.05,104.85,0.0,0.07
2015-05-15,23.08,0.49,3.52,291.77,0.0,0.04
2015-06-15,20.45,0.79,2.7,350.03,0.11,0.08
2015-08-15,26.36,0.58,3.67,313.81,0.0,0.04
2015-09-15,25.33,0.63,0.97,108.63,0.0,0.06
2015-10-15,17.04,0.64,4.67,324.11,0.0,0.15
2015-11-15,15.53,0.8,2.46,310.14,0.0,0.11
2015-12-15,9.0,0.85,1.69,347.99,0.0,0.12
2016-01-15,11.34,0.65,4.78,293.26,0.0,0.09
2016-02-15,11.99,0.74,6.78,216.93,0.09,0.13
2016-03-15,10.55,0.91,0.84,357.3,0.0,0.14
2016-04-15,17.81,0.44,0.87,116.86,0.0,0.06
2016-05-15,18.67,0.64,7.74,289.69,0.0,0.11
2016-09-15,22.5,0.85,4.13,232.04,1.01,0.17
2016-11-15,14.68,0.81,4.82,51.48,0.0,0.14
2016-12-15,12.2,0.8,3.25,63.96,0.0,0.13
2017-01-15,5.78,0.85,7.82,309.01,0.03,0.13
2017-02-15,12.28,0.89,2.5,64.84,0.0,0.16
2017-03-15,10.62,0.84,0.87,43.62,0.0,0.08
2017-04-15,18.12,0.56,3.75,309.65,0.0,0.04
2017-05-15,21.98,0.55,2.37,331.12,0.0,0.04
2017-06-15,26.62,0.55,1.52,140.48,0.0,0.05
2017-08-15,26.88,0.48,2.09,102.57,0.0,0.04
2017-11-15,12.32,0.76,5.23,336.42,0.62,0.12
2018-01-15,8.46,0.94,1.18,313.91,0.0,0.14
2018-02-15,7.1,0.76,2.24,334.34,0.0,0.12
2018-03-15,14.39,0.88,3.94,126.99,0.0,0.16
2018-04-15,16.49,0.74,0.73,353.64,0.0,0.12
2018-05-15,14.73,0.73,4.59,276.13,0.03,0.13
2018-06-15,22.4,0.7,4.08,316.06,0.0,0.07
2018-10-15,20.96,0.75,5.66,100.03,0.08,0.14
2018-11-15,14.98,0.92,2.58,66.9,0.01,0.15
2018-12-15,10.1,0.73,4.99,304.85,0.0,0.17
2019-01-15,8.3,0.89,2.69,322.23,0.0,0.1
2019-02-15,7.98,0.79,2.38,327.76,0.0,0.12
2019-03-15,13.8,0.69,11.29,310.1,0.0,0.05
2019-04-15,13.78,0.65,3.56,335.91,0.0,0.13
2019-05-15,15.7,0.73,1.91,265.71,0.02,0.09
2019-06-15,24.1,0.67,2.49,319.5,0.0,0.06
2019-11-15,14.74,0.78,5.59,245.52,0.68,0.18
2019-12-15,12.76,0.96,1.23,236.87,0.01,0.17
