Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.03,0.72,2.06,65.17,0.0,0.29
2013-02-15,8.72,0.82,1.16,41.65,0.0,0.19
2013-03-15,18.55,0.63,3.2,308.04,0.0,0.17
2013-05-15,22.72,0.38,2.73,326.2,0.0,0.13
2013-08-15,24.36,0.28,3.23,312.8,0.0,0.09
2013-09-15,22.88,0.41,3.18,316.87,0.0,0.11
2013-10-15,12.67,0.44,1.75,330.72,0.0,0.11
2013-11-15,12.57,0.62,2.52,309.19,0.0,0.12
2013-12-15,2.63,0.77,1.25,32.14,0.0,0.16
2014-02-15,11.47,0.82,1.36,80.97,0.0,0.19
2014-03-15,13.88,0.64,2.06,304.03,0.0,0.14
2014-04-15,19.05,0.4,2.53,320.59,0.0,0.14
2014-05-15,22.94,0.21,1.32,305.66,0.0,0.13
2014-07-15,28.61,0.36,2.15,310.61,0.0,0.13
2014-08-15,25.42,0.34,2.86,294.42,0.0,0.12
2014-09-15,26.53,0.32,2.32,319.22,0.0,0.11
2014-10-15,19.29,0.47,2.12,209.14,0.0,0.1
2014-11-15,13.37,0.77,1.98,313.59,0.0,0.2
2014-12-15,6.88,0.87,1.55,134.06,0.0,0.34
2015-01-15,6.76,0.91,2.06,15.33,0.0,0.2
2015-02-15,13.95,0.9,0.68,56.15,0.0,0.24
2015-03-15,20.08,0.45,1.91,91.77,0.0,0.15
2015-04-15,13.41,0.29,3.9,314.84,0.0,0.15
2015-05-15,13.29,0.85,0.86,259.25,0.08,0.19
2015-08-15,25.08,0.31,3.28,308.66,0.0,0.12
2015-10-15,24.89,0.39,0.23,67.43,0.0,0.1
2015-11-15,9.74,0.61,2.12,131.7,0.0,0.19
2015-12-15,5.22,0.59,0.38,98.76,0.0,0.28
2016-01-15,10.97,0.79,2.04,150.76,0.0,0.32
2016-02-15,12.23,0.83,1.42,127.34,0.0,0.26
2016-03-15,10.59,0.71,2.46,307.74,0.0,0.34
2016-06-15,18.34,0.38,4.6,307.55,0.0,0.12
2016-11-15,12.7,0.69,1.81,349.16,0.0,0.15
2016-12-15,13.47,0.71,0.8,143.66,0.0,0.26
2017-01-15,6.34,0.89,1.22,296.4,0.0,0.37
2017-02-15,9.91,0.89,1.98,63.1,0.0,0.36
2017-03-15,17.66,0.72,1.89,89.57,0.0,0.27
2017-11-15,13.04,0.71,1.4,318.4,0.0,0.12
2017-12-15,5.79,0.69,2.02,87.13,0.0,0.14
2018-01-15,11.66,0.84,1.16,99.37,0.0,0.26
2018-02-15,10.91,0.41,2.56,321.0,0.0,0.14
2018-03-15,10.67,0.84,3.37,313.0,0.17,0.32
2018-07-15,30.38,0.36,3.38,310.6,0.0,0.13
2018-08-15,26.28,0.39,3.55,316.02,0.0,0.13
2018-09-15,22.25,0.37,3.81,309.4,0.0,0.11
2018-11-15,7.72,0.5,1.43,329.56,0.0,0.15
2018-12-15,8.8,0.79,0.85,111.09,0.0,0.3
2019-01-15,8.4,0.88,2.45,109.89,0.01,0.36
2019-02-15,10.09,0.86,2.34,129.26,0.06,0.41
2019-03-15,9.02,0.74,1.75,322.87,0.0,0.31
2019-04-15,18.26,0.52,3.16,313.45,0.0,0.16
2019-06-15,25.11,0.39,3.36,310.59,0.0,0.14
2019-07-15,27.74,0.27,3.96,312.54,0.0,0.13
2019-08-15,28.77,0.26,2.38,305.96,0.0,0.12
2019-11-15,14.03,0.69,2.86,315.01,0.0,0.14
2019-12-15,10.4,0.72,3.07,308.96,0.01,0.32
