Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-12.1,0.5,1.2,304.88,0.0,0.1
2013-02-15,3.29,0.54,1.15,267.01,0.0,0.05
2013-03-15,11.03,0.5,1.01,184.02,0.0,0.05
2013-04-15,16.72,0.29,4.68,208.92,0.0,0.02
2013-07-15,26.82,0.4,2.08,202.7,0.0,0.02
2013-08-15,22.84,0.26,1.21,224.91,0.0,0.03
2013-09-15,17.57,0.74,0.59,35.74,0.0,0.2
2013-10-15,6.31,0.66,1.02,288.46,0.0,0.05
2013-11-15,6.45,0.47,1.47,186.86,0.0,0.03
2013-12-15,-5.23,0.79,0.86,229.67,0.0,0.19
2014-01-15,-0.05,0.59,0.62,254.07,0.0,0.06
2014-02-15,6.96,0.42,1.55,211.38,0.0,0.01
2014-03-15,7.81,0.25,2.16,264.05,0.0,0.01
2014-04-15,4.58,0.29,0.45,170.47,0.0,0.03
2014-05-15,11.01,0.31,0.66,205.7,0.0,0.04
2014-06-15,17.75,0.13,1.08,208.68,0.0,0.03
2014-07-15,26.03,0.45,2.14,251.6,0.0,0.01
2014-08-15,20.82,0.69,1.54,193.88,0.0,0.22
2014-09-15,19.27,0.56,0.87,230.93,0.0,0.06
2014-10-15,12.05,0.34,0.67,160.64,0.0,0.03
2014-11-15,7.05,0.7,1.54,237.19,0.0,0.03
2014-12-15,-0.52,0.77,0.76,231.02,0.0,0.15
2015-01-15,0.85,0.8,0.62,243.15,0.0,0.25
2015-02-15,4.84,0.76,1.43,199.3,0.0,0.07
2015-03-15,7.71,0.57,0.65,228.78,0.0,0.07
2015-04-15,8.15,0.27,6.09,303.68,0.0,0.02
2015-05-15,13.25,0.37,2.94,244.32,0.0,0.04
2015-06-15,20.52,0.46,1.27,176.61,0.0,0.04
2015-07-15,22.3,0.4,1.61,158.16,0.0,0.03
2015-08-15,25.84,0.37,0.6,232.45,0.0,0.03
2015-09-15,19.06,0.67,2.1,245.81,0.23,0.07
2015-10-15,14.18,0.6,0.59,182.85,0.0,0.05
2015-11-15,2.97,0.77,0.48,213.81,0.0,0.1
2015-12-15,-1.85,0.6,4.05,262.44,0.01,0.07
2016-01-15,-4.15,0.67,0.97,204.3,0.0,0.13
2016-02-15,4.41,0.57,1.21,291.42,0.0,0.09
2016-03-15,9.47,0.46,3.59,288.09,0.0,0.02
2016-04-15,13.71,0.35,0.76,213.91,0.0,0.02
2016-05-15,20.0,0.29,2.91,177.76,0.0,0.02
2016-06-15,21.69,0.15,1.99,207.44,0.0,0.02
2016-07-15,24.81,0.17,2.12,238.46,0.0,0.01
2016-08-15,24.05,0.15,1.15,174.47,0.0,0.01
2016-09-15,15.83,0.22,1.28,222.45,0.0,0.02
2016-10-15,16.48,0.25,1.91,198.48,0.0,0.0
2016-11-15,8.89,0.56,1.12,190.75,0.0,0.02
2016-12-15,6.83,0.68,1.52,201.17,0.0,0.0
2017-01-15,4.38,0.9,0.97,345.49,0.53,0.31
2017-02-15,4.05,0.61,1.08,279.01,0.0,0.2
2017-03-15,12.4,0.25,1.1,213.26,0.0,0.0
2017-04-15,12.85,0.31,1.45,244.5,0.0,0.03
2017-05-15,16.88,0.25,1.74,176.24,0.0,0.02
2017-06-15,22.25,0.18,1.38,211.22,0.0,0.01
2017-08-15,23.76,0.18,2.59,190.5,0.0,0.02
2017-09-15,16.51,0.78,0.99,202.32,0.0,0.14
2017-10-15,8.23,0.23,0.86,320.73,0.0,0.02
2017-11-15,6.86,0.39,0.6,202.56,0.0,0.02
2017-12-15,1.3,0.58,1.08,252.59,0.0,0.04
2018-01-15,1.31,0.81,0.45,198.32,0.0,0.1
2018-02-15,6.58,0.77,1.22,215.94,0.02,0.09
2018-03-15,10.18,0.68,1.34,231.94,0.0,0.06
2018-04-15,10.06,0.21,1.18,195.32,0.0,0.03
2018-08-15,25.32,0.32,1.21,226.51,0.0,0.01
2018-09-15,21.68,0.19,1.2,195.58,0.0,0.02
2018-10-15,4.18,0.54,2.95,27.1,0.0,0.13
2018-11-15,2.3,0.56,0.48,234.81,0.0,0.03
2018-12-15,-0.77,0.65,0.32,330.37,0.0,0.06
2019-01-15,1.78,0.86,1.11,62.18,0.37,0.09
2019-02-15,4.51,0.87,1.89,265.43,0.2,0.28
2019-03-15,3.12,0.55,1.14,342.31,0.0,0.16
2019-04-15,13.74,0.29,2.12,202.98,0.0,0.01
2019-05-15,19.0,0.4,1.52,176.21,0.0,0.03
2019-06-15,22.13,0.34,1.86,261.58,0.0,0.03
2019-07-15,27.71,0.26,1.63,203.21,0.0,0.02
2019-08-15,26.59,0.15,1.73,250.99,0.0,0.01
2019-09-15,22.68,0.24,0.38,220.02,0.0,0.0
2019-11-15,8.52,0.4,0.46,177.81,0.0,0.02
2019-12-15,4.92,0.83,0.4,99.67,0.27,0.21
