Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-16.93,0.81,4.89,200.34,0.0,0.27
2013-02-15,-15.41,1.01,2.5,321.24,0.0,0.27
2013-03-15,-15.16,0.75,5.42,74.51,0.14,0.28
2013-04-15,-3.59,0.75,4.61,40.49,0.0,0.28
2013-05-15,10.39,0.49,3.43,282.0,0.0,0.34
2013-06-15,11.14,0.95,5.44,238.01,0.0,0.38
2013-07-15,11.97,0.85,3.9,150.25,0.0,0.33
2013-09-15,3.81,0.87,2.18,111.77,0.0,0.21
2013-10-15,-3.1,0.85,2.75,214.82,0.0,0.32
2013-11-15,-1.23,0.9,4.62,214.02,0.0,0.29
2013-12-15,-19.0,0.73,5.3,139.9,0.0,0.25
2014-02-15,-17.56,0.83,3.9,49.82,0.0,0.26
2014-03-15,-9.85,0.76,3.9,92.33,0.0,0.28
2014-04-15,-3.26,0.4,4.88,137.42,0.01,0.34
2014-05-15,4.19,0.56,3.56,149.83,0.0,0.28
2014-06-15,10.2,0.89,4.85,55.28,0.4,0.38
2014-07-15,10.9,0.88,2.33,205.49,0.0,0.25
2014-10-15,7.18,0.68,2.66,287.19,0.0,0.25
2014-11-15,-12.79,0.88,3.85,317.28,0.02,0.29
2014-12-15,-3.54,0.88,4.13,335.99,0.02,0.29
2015-01-15,-1.61,0.9,4.21,302.72,0.02,0.29
2015-02-15,-23.32,0.8,2.87,198.1,0.01,0.32
2015-03-15,7.89,0.63,8.3,270.23,0.0,0.38
2015-04-15,8.75,0.54,3.31,121.31,0.0,0.32
2015-05-15,2.91,0.77,2.73,290.09,0.0,0.25
2015-09-15,8.89,0.96,2.7,66.88,0.01,0.32
2015-10-15,2.9,0.7,5.35,309.08,0.0,0.32
2015-11-15,2.86,0.61,5.64,102.82,0.02,0.32
2015-12-15,-4.67,0.96,2.55,315.86,0.01,0.32
2016-01-15,-18.6,0.82,2.76,33.25,0.02,0.31
2016-02-15,-6.68,0.9,2.83,288.13,0.0,0.35
2016-03-15,-0.17,0.99,2.91,41.52,0.01,0.39
2016-04-15,1.8,0.76,5.56,31.12,0.0,0.38
2016-05-15,1.92,0.81,2.64,290.1,0.0,0.28
2016-06-15,15.08,0.93,5.45,179.55,0.15,0.28
2016-07-15,9.47,0.95,2.15,7.62,0.0,0.37
2016-09-15,6.91,0.8,2.75,218.41,0.0,0.3
2016-10-15,-1.16,0.99,6.78,285.18,0.01,0.39
2016-11-15,0.8,0.72,6.24,279.82,0.0,0.33
2016-12-15,-22.76,0.8,2.81,228.47,0.0,0.29
2017-01-15,-7.24,0.67,5.44,238.65,0.0,0.29
2017-02-15,-3.86,0.86,4.12,185.43,0.0,0.33
2017-03-15,-6.95,0.86,6.07,155.62,0.0,0.35
2017-04-15,0.53,0.81,6.24,238.64,0.0,0.41
2017-05-15,3.41,0.95,4.37,215.85,0.0,0.38
2017-06-15,10.33,0.95,4.15,310.06,0.08,0.36
2017-07-15,11.56,0.98,1.66,192.13,0.0,0.26
2017-09-15,4.49,0.85,2.25,9.72,0.0,0.28
2017-11-15,-17.45,0.86,3.44,26.43,0.0,0.32
2017-12-15,-2.23,0.9,3.97,203.28,0.13,0.33
2018-01-15,-30.54,0.77,2.27,355.27,0.0,0.33
2018-02-15,-27.11,0.78,2.94,348.35,0.0,0.34
2018-03-15,-12.86,0.8,7.05,125.35,0.0,0.34
2018-05-15,13.55,0.42,7.54,207.85,0.04,0.24
2018-06-15,11.41,0.92,2.3,250.33,0.48,0.27
2018-09-15,3.33,0.83,2.78,83.77,0.0,0.27
2018-10-15,-0.43,0.75,4.95,203.77,0.11,0.31
2018-12-15,-0.08,0.73,5.75,198.58,0.0,0.31
2019-02-15,-34.13,0.84,2.81,169.49,0.0,0.32
2019-03-15,-12.26,0.88,2.83,304.31,0.0,0.35
2019-04-15,2.67,0.94,4.13,278.09,0.01,0.35
2019-05-15,11.22,0.5,4.63,108.83,0.0,0.24
2019-06-15,12.24,0.93,3.57,93.03,1.17,0.39
2019-07-15,14.97,0.94,1.32,302.37,0.64,0.38
2019-08-15,9.91,0.83,2.86,241.14,0.0,0.26
2019-09-15,10.09,0.9,2.71,175.56,0.0,0.32
2019-10-15,0.15,0.93,4.78,334.72,0.01,0.33
2019-11-15,-7.35,0.79,3.87,119.62,0.0,0.24
2019-12-15,-14.59,0.83,4.16,250.42,0.0,0.25
