Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-1.6,0.3,0.29,350.25,0.0,0.02
2013-03-15,24.39,0.09,0.16,315.57,0.0,0.0
2013-04-15,18.85,0.19,1.46,261.15,0.0,0.0
2013-05-15,24.02,0.18,1.46,241.7,0.0,0.01
2013-06-15,27.23,0.04,0.77,149.39,0.0,0.0
2013-07-15,32.2,0.13,0.44,219.4,0.0,0.0
2013-08-15,28.42,0.05,0.2,181.6,0.0,0.0
2013-09-15,29.14,0.16,0.15,210.97,0.0,0.01
2013-10-15,14.3,0.23,0.93,288.7,0.0,0.01
2013-11-15,13.03,0.28,0.71,281.5,0.0,0.03
2013-12-15,5.83,0.38,0.84,293.58,0.0,0.04
2014-01-15,11.25,0.2,1.26,308.42,0.0,0.01
2014-02-15,15.66,0.22,0.65,267.75,0.0,0.0
2014-03-15,17.67,0.14,1.07,331.52,0.0,0.0
2014-05-15,22.3,0.1,0.37,245.53,0.0,0.02
2014-06-15,25.12,0.02,0.33,117.17,0.0,0.0
2014-07-15,32.16,0.26,1.79,149.5,0.0,0.0
2014-08-15,27.09,0.03,0.87,146.59,0.0,0.01
2014-10-15,21.09,0.05,1.92,147.51,0.0,0.01
2014-11-15,14.8,0.43,0.17,282.36,0.0,0.01
2014-12-15,2.52,0.73,0.53,293.66,0.0,0.22
2015-01-15,7.1,0.43,0.9,271.2,0.0,0.03
2015-03-15,19.99,0.2,0.19,256.12,0.0,0.01
2015-04-15,10.6,0.13,1.7,12.58,0.0,0.01
2015-05-15,11.31,0.51,0.94,174.04,0.22,0.02
2015-06-15,31.16,0.18,0.85,170.25,0.0,0.02
2015-07-15,27.6,0.18,1.26,140.01,0.0,0.01
2015-08-15,31.04,0.16,0.55,152.97,0.0,0.0
2015-09-15,23.32,0.37,1.26,176.81,0.0,0.0
2015-10-15,24.93,0.29,0.79,307.99,0.0,0.01
2015-11-15,8.72,0.36,0.29,232.33,0.0,0.04
2015-12-15,4.03,0.27,0.77,274.56,0.0,0.05
2016-01-15,4.49,0.51,0.57,243.78,0.0,0.06
2016-02-15,16.16,0.27,1.03,306.12,0.0,0.01
2016-03-15,16.14,0.29,0.04,18.97,0.0,0.01
2016-04-15,17.31,0.09,2.04,12.55,0.0,0.0
2016-05-15,24.33,0.2,0.34,231.17,0.0,0.0
2016-06-15,24.45,0.14,1.51,155.1,0.0,0.01
2016-08-15,33.93,0.1,1.11,179.6,0.0,0.0
2016-10-15,24.5,0.16,1.57,190.62,0.0,0.0
2016-11-15,14.38,0.28,0.46,278.58,0.0,0.0
2016-12-15,8.72,0.58,0.41,261.27,0.0,0.0
2017-01-15,4.91,0.52,1.48,308.66,0.0,0.21
2017-02-15,10.85,0.3,0.96,280.33,0.0,0.08
2017-03-15,18.96,0.21,0.77,271.65,0.0,0.01
2017-04-15,16.27,0.15,0.72,349.4,0.0,0.01
2017-05-15,15.88,0.21,1.62,158.72,0.0,0.01
2017-06-15,28.48,0.09,0.11,94.05,0.0,0.0
2017-07-15,34.86,0.12,0.59,194.06,0.0,0.01
2017-08-15,28.36,0.19,1.01,140.05,0.0,0.0
2017-09-15,26.0,0.26,0.41,191.37,0.0,0.01
2017-10-15,16.32,0.16,1.1,311.45,0.0,0.0
2017-11-15,11.85,0.32,0.59,273.46,0.0,0.0
2017-12-15,9.02,0.26,0.87,284.92,0.0,0.03
2018-01-15,10.38,0.52,0.91,273.08,0.0,0.15
2018-03-15,10.87,0.4,0.78,222.3,0.0,0.01
2018-05-15,17.8,0.45,1.8,332.74,0.01,0.01
2018-06-15,28.36,0.13,1.53,160.51,0.0,0.0
2018-08-15,32.4,0.18,0.81,188.91,0.0,0.0
2018-09-15,26.33,0.1,1.02,143.38,0.0,0.0
2018-10-15,14.15,0.12,2.1,11.16,0.0,0.0
2018-11-15,10.24,0.17,0.98,276.54,0.0,0.0
2018-12-15,6.31,0.27,0.61,278.1,0.0,0.01
2019-01-15,2.93,0.91,0.25,208.98,0.22,0.07
2019-02-15,7.64,0.76,0.95,238.59,0.0,0.25
2019-03-15,8.3,0.25,1.0,310.28,0.0,0.06
2019-04-15,21.04,0.25,0.82,166.42,0.0,0.01
2019-05-15,21.21,0.31,1.37,159.09,0.0,0.02
2019-06-15,31.24,0.09,0.47,52.75,0.0,0.0
2019-07-15,31.12,0.09,0.83,210.54,0.0,0.0
2019-08-15,31.46,0.06,0.61,262.2,0.0,0.0
2019-10-15,16.64,0.11,0.97,277.43,0.0,0.0
2019-11-15,16.25,0.2,0.42,302.59,0.0,0.01
2019-12-15,6.64,0.82,1.06,265.92,0.0,0.09
