Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,4.01,0.36,2.37,4.66,0.0,0.09
2013-02-15,10.89,0.42,2.63,11.26,0.0,0.09
2013-03-15,15.61,0.54,1.0,79.42,0.0,0.09
2013-04-15,10.9,0.93,1.33,174.19,0.05,0.08
2013-06-15,16.7,0.84,0.71,202.91,0.0,0.08
2013-09-15,21.41,0.56,1.01,94.11,0.0,0.06
2013-10-15,15.61,0.37,2.87,12.3,0.0,0.07
2013-11-15,16.14,0.48,1.28,86.08,0.0,0.06
2013-12-15,11.14,0.32,3.24,7.64,0.0,0.05
2014-01-15,15.55,0.19,3.65,9.6,0.0,0.03
2014-02-15,13.31,0.35,1.14,26.36,0.0,0.05
2014-03-15,12.53,0.73,1.41,52.21,0.0,0.11
2014-04-15,15.14,0.45,0.61,0.81,0.0,0.07
2014-05-15,20.56,0.18,2.16,21.55,0.0,0.06
2014-09-15,25.33,0.46,1.54,59.47,0.0,0.04
2014-10-15,18.05,0.78,1.07,187.6,0.0,0.04
2014-11-15,14.11,0.85,0.89,33.01,0.0,0.08
2014-12-15,8.91,0.84,1.82,26.87,0.0,0.3
2015-01-15,10.03,0.62,2.39,3.54,0.0,0.08
2015-02-15,15.58,0.43,0.79,358.61,0.0,0.07
2015-03-15,20.88,0.29,1.76,30.2,0.0,0.05
2015-04-15,14.78,0.16,2.47,26.66,0.0,0.06
2015-05-15,10.67,0.89,1.51,123.94,0.09,0.18
2015-07-15,18.87,0.79,1.1,155.71,0.0,0.07
2015-10-15,21.85,0.87,0.26,299.55,0.0,0.09
2015-11-15,12.88,0.5,1.4,55.03,0.0,0.05
2015-12-15,6.83,0.45,2.68,2.21,0.0,0.08
2016-01-15,8.8,0.86,1.32,41.26,0.0,0.21
2016-02-15,20.71,0.2,3.68,9.01,0.0,0.05
2016-03-15,12.0,0.82,2.07,26.78,0.0,0.18
2016-04-15,14.13,0.55,2.59,338.8,0.0,0.13
2016-10-15,16.59,0.83,0.25,82.84,0.0,0.05
2016-11-15,14.94,0.44,1.01,5.11,0.0,0.06
2016-12-15,12.95,0.78,0.96,343.87,0.0,0.05
2017-01-15,9.64,0.83,2.7,8.19,0.0,0.3
2017-02-15,10.27,0.76,1.29,13.52,0.0,0.26
2017-03-15,16.31,0.64,1.3,15.65,0.0,0.08
2017-04-15,12.59,0.47,1.69,19.75,0.0,0.06
2017-11-15,14.13,0.56,1.43,11.06,0.0,0.05
2017-12-15,14.08,0.26,3.16,12.92,0.0,0.03
2018-01-15,12.91,0.7,1.72,20.36,0.0,0.2
2018-02-15,11.35,0.77,0.89,62.9,0.0,0.07
2018-03-15,11.83,0.87,1.29,173.32,2.06,0.26
2018-04-15,15.62,0.35,0.93,39.28,0.0,0.07
2018-10-15,16.63,0.71,2.26,13.95,0.0,0.11
2018-11-15,13.06,0.21,2.63,11.49,0.0,0.04
2018-12-15,11.03,0.63,1.57,354.96,0.0,0.15
2019-01-15,9.82,0.9,1.99,51.85,0.01,0.35
2019-02-15,9.75,0.88,1.12,235.07,0.01,0.36
2019-03-15,10.71,0.42,2.77,11.88,0.0,0.24
2019-06-15,16.36,0.84,1.09,245.73,0.0,0.08
2019-09-15,23.33,0.56,1.44,76.93,0.0,0.06
2019-10-15,14.76,0.74,0.51,3.4,0.0,0.05
2019-11-15,14.55,0.77,0.95,295.97,0.0,0.06
2019-12-15,10.37,0.79,2.08,341.24,0.0,0.25
