Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,-3.97,0.69,0.87,61.8,0.0,0.38,"Kings, CA"
2013-02-15,-2.67,0.92,2.83,65.81,0.0,0.38,"Kings, CA"
2013-03-15,8.67,0.57,1.67,67.79,0.0,0.39,"Kings, CA"
2013-04-15,5.13,0.66,0.96,70.17,0.0,0.34,"Kings, CA"
2013-05-15,11.05,0.62,1.24,65.29,0.0,0.27,"Kings, CA"
2013-06-15,12.05,0.45,1.2,69.76,0.0,0.19,"Kings, CA"
2013-07-15,17.44,0.37,1.48,74.07,0.0,0.17,"Kings, CA"
2013-08-15,13.26,0.36,1.04,65.67,0.0,0.16,"Kings, CA"
2013-09-15,14.3,0.53,1.17,66.79,0.0,0.17,"Kings, CA"
2013-10-15,3.95,0.62,1.13,66.11,0.0,0.21,"Kings, CA"
2013-11-15,6.52,0.46,0.95,79.37,0.0,0.22,"Kings, CA"
2013-12-15,-1.7,0.7,1.15,65.38,0.0,0.29,"Kings, CA"
2014-01-15,2.87,0.38,2.06,65.75,0.0,0.24,"Kings, CA"
2014-02-15,4.82,0.4,1.67,65.76,0.0,0.37,"Kings, CA"
2014-03-15,2.39,0.78,1.22,66.33,0.0,0.34,"Kings, CA"
2014-04-15,6.14,0.73,1.28,66.69,0.0,0.34,"Kings, CA"
2014-05-15,9.78,0.65,1.46,66.47,0.0,0.29,"Kings, CA"
2014-06-15,10.6,0.31,1.02,69.26,0.0,0.17,"Kings, CA"
2014-07-15,20.65,0.43,0.39,82.26,0.0,0.18,"Kings, CA"
2014-08-15,14.74,0.37,1.43,73.01,0.0,0.19,"Kings, CA"
2014-09-15,15.92,0.45,1.67,67.49,0.0,0.15,"Kings, CA"
2014-10-15,12.51,0.36,0.94,88.31,0.0,0.16,"Kings, CA"
2014-11-15,5.04,0.63,1.32,68.17,0.0,0.26,"Kings, CA"
2014-12-15,1.82,0.77,1.28,68.46,0.0,0.39,"Kings, CA"
2015-01-15,1.48,0.65,0.8,65.18,0.0,0.35,"Kings, CA"
2015-02-15,6.02,0.73,1.12,65.31,0.0,0.36,"Kings, CA"
2015-03-15,11.27,0.69,1.16,69.44,0.0,0.35,"Kings, CA"
2015-04-15,3.5,0.65,0.88,70.5,0.0,0.3,"Kings, CA"
2015-05-15,3.08,0.96,0.64,217.37,0.04,0.31,"Kings, CA"
2015-06-15,14.04,0.66,1.32,65.81,0.0,0.29,"Kings, CA"
2015-07-15,13.67,0.69,0.87,63.66,0.0,0.25,"Kings, CA"
2015-08-15,16.34,0.54,1.33,65.82,0.0,0.19,"Kings, CA"
2015-09-15,14.25,0.69,1.13,73.87,0.0,0.19,"Kings, CA"
2015-10-15,16.48,0.54,1.08,66.13,0.0,0.18,"Kings, CA"
2015-11-15,2.26,0.46,1.44,74.39,0.0,0.36,"Kings, CA"
2015-12-15,-6.69,0.74,1.17,67.92,0.02,0.4,"Kings, CA"
2016-01-15,3.76,0.79,1.54,84.67,0.3,0.39,"Kings, CA"
2016-02-15,6.46,0.68,2.13,65.49,0.0,0.39,"Kings, CA"
2016-03-15,2.53,0.82,1.17,65.08,0.0,0.42,"Kings, CA"
2016-04-15,3.39,0.75,0.71,69.07,0.0,0.4,"Kings, CA"
2016-05-15,8.73,0.82,0.68,62.37,0.0,0.36,"Kings, CA"
2016-06-15,10.81,0.53,0.45,60.0,0.0,0.29,"Kings, CA"
2016-07-15,17.17,0.4,1.3,66.78,0.0,0.18,"Kings, CA"
2016-08-15,19.6,0.34,1.53,72.25,0.0,0.16,"Kings, CA"
2016-09-15,10.45,0.45,0.83,66.92,0.0,0.16,"Kings, CA"
