Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-10.01,0.64,0.57,344.94,0.0,0.34
2013-02-15,-2.18,0.75,1.66,60.42,0.0,0.35
2013-03-15,4.3,0.73,1.13,261.41,0.0,0.34
2013-04-15,1.65,0.67,3.43,342.16,0.06,0.24
2013-05-15,13.43,0.56,2.02,301.15,0.0,0.13
2013-06-15,12.13,0.26,1.94,100.36,0.0,0.09
2013-07-15,18.62,0.35,1.44,291.08,0.0,0.08
2013-09-15,15.98,0.54,0.93,233.87,0.0,0.09
2013-10-15,2.6,0.61,2.31,73.77,0.0,0.12
2013-11-15,1.27,0.64,3.02,342.24,0.03,0.15
2013-12-15,-6.44,0.84,1.5,125.39,0.0,0.19
2014-01-15,-2.27,0.62,0.88,38.3,0.0,0.19
2014-02-15,5.05,0.79,2.37,213.71,0.0,0.35
2014-03-15,2.29,0.62,1.25,350.0,0.0,0.29
2014-04-15,5.72,0.59,2.28,270.96,0.0,0.18
2014-05-15,11.8,0.37,1.85,250.94,0.0,0.1
2014-06-15,13.49,0.29,1.79,272.06,0.0,0.08
2014-07-15,22.94,0.27,2.03,294.58,0.0,0.09
2014-08-15,13.62,0.65,1.81,251.5,0.0,0.12
2014-09-15,12.96,0.54,1.28,186.75,0.0,0.09
2014-10-15,9.49,0.79,6.15,213.03,0.0,0.08
2014-11-15,5.44,0.79,3.43,261.63,0.0,0.17
2014-12-15,-2.75,0.97,1.87,109.1,0.0,0.36
2015-01-15,-2.97,0.95,1.2,119.74,0.0,0.36
2015-02-15,3.38,0.71,1.97,353.97,0.0,0.39
2015-03-15,10.72,0.47,2.41,208.66,0.0,0.25
2015-04-15,-2.02,0.56,2.27,349.85,0.0,0.15
2015-05-15,6.22,0.68,3.18,293.86,0.13,0.15
2015-07-15,15.77,0.59,2.05,303.45,0.0,0.14
2015-10-15,12.76,0.54,1.75,323.97,0.0,0.1
2015-11-15,1.84,0.65,3.17,182.51,0.0,0.28
2015-12-15,-8.43,0.91,2.85,324.65,0.0,0.35
2016-01-15,-0.63,0.83,2.62,240.33,0.26,0.31
2016-02-15,2.84,0.89,1.91,317.23,0.0,0.39
2016-03-15,-0.65,0.87,1.61,273.21,0.0,0.42
2016-04-15,0.48,0.82,2.62,309.09,0.03,0.34
2016-05-15,9.03,0.82,1.6,293.97,0.0,0.27
2016-06-15,10.18,0.48,1.63,249.18,0.0,0.09
2016-08-15,18.42,0.34,1.99,267.93,0.0,0.08
2016-10-15,9.26,0.79,3.51,220.45,0.0,0.35
2016-11-15,5.44,0.73,2.06,213.31,0.0,0.22
2016-12-15,4.39,0.83,7.44,213.39,0.06,0.42
2017-01-15,-7.12,0.94,1.62,89.09,0.0,0.39
2017-02-15,-0.36,0.82,1.53,137.53,0.0,0.4
2017-03-15,4.11,0.7,1.66,192.36,0.0,0.39
2017-04-15,-0.73,0.77,1.71,53.53,0.0,0.39
2017-05-15,3.61,0.84,1.65,310.62,0.0,0.16
2017-09-15,10.87,0.79,2.45,298.67,0.0,0.19
2017-10-15,2.72,0.4,2.28,95.35,0.0,0.08
2017-11-15,2.09,0.75,2.06,187.94,0.0,0.3
2017-12-15,-4.45,0.79,0.29,128.45,0.0,0.31
2018-01-15,2.14,0.91,0.9,119.8,0.0,0.36
2018-02-15,-2.27,0.68,3.22,338.7,0.0,0.28
2018-03-15,-4.04,0.88,1.67,261.21,0.01,0.38
2018-04-15,8.29,0.72,2.4,208.6,0.0,0.32
2018-05-15,12.4,0.48,0.68,208.75,0.0,0.14
2018-08-15,19.84,0.49,1.85,303.92,0.0,0.1
2018-10-15,3.51,0.36,3.44,92.96,0.0,0.1
2018-12-15,4.3,0.87,0.85,225.64,0.19,0.27
2019-01-15,-0.61,0.68,2.36,109.42,0.12,0.33
2019-02-15,0.97,0.83,5.91,184.52,1.45,0.42
2019-03-15,-2.21,0.6,1.93,75.73,0.0,0.37
2019-04-15,7.1,0.82,1.37,214.51,0.01,0.35
2019-05-15,11.06,0.53,1.37,165.96,0.0,0.13
2019-06-15,16.57,0.55,2.05,290.39,0.0,0.13
2019-11-15,4.09,0.61,1.48,236.43,0.0,0.07
2019-12-15,-1.43,0.88,2.31,310.06,0.32,0.35
