Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,3.49,0.38,2.1,19.61,0.0,0.06
2013-02-15,11.05,0.45,2.15,22.73,0.0,0.05
2013-03-15,15.85,0.53,0.93,117.04,0.0,0.06
2013-04-15,12.15,0.88,1.24,187.9,0.07,0.06
2013-06-15,16.76,0.8,0.87,192.58,0.0,0.06
2013-07-15,20.81,0.72,1.08,123.59,0.0,0.05
2013-10-15,15.58,0.39,2.23,25.6,0.0,0.06
2013-11-15,16.92,0.51,1.93,106.04,0.0,0.05
2013-12-15,9.85,0.34,2.65,21.86,0.0,0.04
2014-02-15,13.85,0.42,0.74,73.56,0.0,0.03
2014-03-15,13.0,0.82,1.01,89.01,0.0,0.1
2014-04-15,14.91,0.51,0.64,107.68,0.0,0.05
2014-05-15,20.94,0.18,1.96,33.01,0.0,0.05
2014-06-15,16.73,0.75,1.14,135.55,0.0,0.04
2014-07-15,21.08,0.74,1.03,168.7,4.1,0.06
2014-09-15,24.94,0.54,1.48,79.7,0.0,0.03
2014-10-15,18.87,0.74,0.95,194.92,0.0,0.03
2014-11-15,14.86,0.88,0.58,75.52,0.0,0.06
2014-12-15,8.85,0.83,1.96,31.97,0.0,0.34
2015-01-15,10.08,0.6,2.41,26.1,0.0,0.07
2015-02-15,15.88,0.44,0.69,109.28,0.0,0.05
2015-03-15,21.26,0.27,1.6,46.75,0.0,0.04
2015-04-15,14.91,0.25,1.43,40.88,0.0,0.05
2015-05-15,11.5,0.89,1.7,115.6,0.11,0.17
2015-09-15,22.7,0.8,0.77,161.79,0.03,0.05
2015-10-15,22.57,0.86,0.61,163.39,0.0,0.05
2015-11-15,11.88,0.58,1.72,61.95,0.0,0.04
2015-12-15,6.39,0.51,2.67,0.2,0.0,0.07
2016-01-15,9.85,0.84,1.59,67.9,0.0,0.24
2016-02-15,18.96,0.21,2.65,19.75,0.0,0.05
2016-03-15,12.6,0.86,1.29,48.79,0.0,0.18
2016-08-15,23.52,0.64,0.44,106.39,0.0,0.05
2016-09-15,16.09,0.81,0.03,200.39,0.0,0.05
2016-10-15,16.38,0.82,0.8,132.99,0.0,0.03
2016-12-15,12.72,0.77,0.11,238.12,0.0,0.06
2017-01-15,10.28,0.83,2.17,32.3,0.0,0.35
2017-02-15,11.52,0.82,1.43,51.76,0.0,0.3
2017-03-15,16.32,0.68,0.96,73.7,0.0,0.06
2017-04-15,12.47,0.56,1.08,61.72,0.0,0.04
2017-05-15,13.37,0.81,2.05,165.32,0.16,0.06
2017-11-15,14.18,0.59,0.76,52.66,0.0,0.04
2018-01-15,14.93,0.64,1.76,50.21,0.0,0.26
2018-02-15,12.31,0.77,0.54,72.58,0.0,0.06
2018-03-15,12.54,0.86,1.42,148.79,0.96,0.27
2018-04-15,15.48,0.36,1.28,93.44,0.0,0.05
2018-05-15,14.46,0.8,0.72,209.1,0.0,0.06
2018-08-15,21.73,0.76,0.7,166.89,0.0,0.05
2018-10-15,17.15,0.74,1.54,15.68,0.0,0.12
2018-12-15,12.12,0.72,1.3,19.53,0.0,0.18
2019-01-15,10.29,0.9,1.8,66.02,0.0,0.39
2019-02-15,11.38,0.82,0.59,216.25,0.02,0.41
2019-03-15,9.9,0.54,2.3,22.95,0.0,0.27
2019-04-15,13.17,0.69,0.19,151.16,0.0,0.05
2019-05-15,16.29,0.82,0.99,158.25,0.0,0.06
2019-06-15,17.13,0.78,1.28,217.65,0.0,0.06
2019-07-15,19.54,0.75,0.37,110.27,0.0,0.06
2019-09-15,22.49,0.58,1.21,98.47,0.0,0.05
2019-11-15,14.75,0.78,0.47,205.29,0.0,0.04
2019-12-15,11.44,0.8,1.38,335.26,0.0,0.3
