Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.71,0.79,1.76,92.36,0.0,0.3
2013-02-15,8.12,0.81,1.44,53.5,0.0,0.18
2013-03-15,18.62,0.64,3.12,310.04,0.0,0.15
2013-07-15,26.44,0.31,3.74,297.79,0.0,0.1
2013-08-15,23.46,0.33,3.0,307.4,0.0,0.09
2013-09-15,22.01,0.45,3.11,306.01,0.0,0.1
2013-10-15,12.29,0.45,1.85,337.05,0.0,0.11
2013-11-15,12.23,0.69,2.75,306.43,0.0,0.12
2013-12-15,1.54,0.82,1.34,25.48,0.0,0.17
2014-01-15,4.58,0.66,0.84,86.86,0.0,0.13
2014-02-15,11.02,0.87,0.9,36.08,0.0,0.21
2014-03-15,12.9,0.73,2.05,311.5,0.0,0.14
2014-04-15,19.04,0.43,2.09,322.94,0.0,0.13
2014-05-15,22.5,0.23,2.2,332.13,0.0,0.12
2014-06-15,21.58,0.26,2.49,301.21,0.0,0.12
2014-10-15,19.48,0.51,1.87,247.48,0.0,0.1
2014-11-15,13.3,0.8,1.78,315.23,0.0,0.21
2014-12-15,7.64,0.83,2.0,112.51,0.0,0.36
2015-01-15,6.8,0.9,1.66,22.2,0.0,0.18
2015-02-15,12.59,0.92,0.63,69.25,0.0,0.27
2015-03-15,20.3,0.44,2.45,87.09,0.0,0.13
2015-04-15,13.43,0.33,4.37,308.73,0.0,0.14
2015-05-15,13.28,0.86,1.19,266.84,0.07,0.18
2015-08-15,24.44,0.33,2.92,305.22,0.0,0.12
2015-09-15,21.96,0.63,1.42,118.81,0.0,0.13
2015-10-15,25.09,0.35,1.41,350.0,0.0,0.11
2015-11-15,10.47,0.57,1.85,85.5,0.0,0.22
2015-12-15,4.91,0.62,0.36,355.12,0.0,0.28
2016-01-15,11.26,0.79,2.12,118.57,0.03,0.35
2016-02-15,12.3,0.83,1.41,98.37,0.0,0.26
2016-03-15,10.34,0.75,2.63,307.41,0.0,0.37
2016-04-15,12.85,0.62,5.49,309.69,0.0,0.23
2016-05-15,18.58,0.67,5.21,306.39,0.0,0.13
2016-06-15,17.38,0.44,4.64,294.58,0.0,0.12
2016-09-15,19.49,0.48,1.96,314.0,0.0,0.11
2016-10-15,21.64,0.54,1.22,353.81,0.01,0.11
2016-11-15,12.2,0.76,1.81,354.94,0.0,0.14
2016-12-15,13.08,0.71,0.73,52.17,0.0,0.28
2017-01-15,6.78,0.88,0.88,347.58,0.0,0.37
2017-02-15,9.79,0.88,1.97,62.52,0.0,0.36
2017-03-15,15.72,0.74,1.47,54.25,0.0,0.27
2017-04-15,9.94,0.59,2.37,302.13,0.0,0.27
2017-10-15,12.46,0.48,1.8,15.14,0.0,0.13
2017-11-15,12.36,0.73,1.35,328.58,0.0,0.11
2017-12-15,4.66,0.83,2.0,72.93,0.0,0.11
2018-01-15,11.49,0.8,1.16,94.77,0.0,0.25
2018-02-15,10.19,0.47,2.09,321.94,0.0,0.12
2018-03-15,9.81,0.86,2.93,315.79,0.12,0.37
2018-04-15,17.63,0.66,1.38,333.09,0.0,0.17
2018-10-15,17.31,0.44,1.8,26.31,0.0,0.12
2018-11-15,6.75,0.47,0.88,24.61,0.0,0.13
2018-12-15,7.33,0.79,1.09,63.8,0.0,0.31
2019-01-15,9.25,0.83,3.02,103.92,0.07,0.36
2019-02-15,9.53,0.86,3.14,106.2,0.0,0.41
2019-03-15,8.4,0.76,1.35,0.75,0.0,0.33
2019-04-15,17.54,0.54,3.33,304.15,0.0,0.18
2019-05-15,21.1,0.41,2.52,305.69,0.0,0.12
2019-06-15,23.97,0.45,3.96,297.25,0.0,0.13
2019-08-15,28.86,0.27,2.23,320.49,0.0,0.12
2019-09-15,23.97,0.33,1.66,347.0,0.0,0.11
2019-10-15,13.3,0.43,1.2,15.15,0.0,0.11
2019-11-15,13.31,0.75,2.78,313.8,0.0,0.11
2019-12-15,9.84,0.77,2.56,301.54,0.02,0.34
