Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,13.92,0.74,7.3,155.09,0.03,0.09
2013-02-15,10.84,0.83,3.84,61.1,0.23,0.11
2013-03-15,15.27,0.65,11.62,213.07,0.01,0.09
2013-04-15,14.52,0.64,11.84,8.57,0.02,0.06
2013-05-15,19.72,0.72,5.46,7.52,0.01,0.06
2013-06-15,22.93,0.68,5.74,5.25,0.01,0.03
2013-07-15,25.62,0.57,9.77,2.38,0.0,0.03
2013-08-15,26.18,0.64,6.36,10.46,0.0,0.02
2013-09-15,23.38,0.48,4.74,3.11,0.0,0.02
2013-10-15,20.67,0.59,2.03,22.49,0.0,0.02
2013-11-15,15.3,0.81,4.74,33.21,0.01,0.12
2013-12-15,10.55,0.59,1.06,98.83,0.0,0.07
2014-01-15,13.75,0.89,7.52,152.63,0.05,0.08
2014-02-15,13.89,0.73,5.87,18.14,0.01,0.08
2014-03-15,12.87,0.61,1.37,64.83,0.0,0.07
2014-04-15,16.79,0.56,1.99,188.53,0.0,0.04
2014-05-15,19.21,0.55,7.2,222.39,0.0,0.02
2014-06-15,24.64,0.62,3.98,153.74,0.0,0.02
2014-07-15,25.25,0.62,4.6,359.33,0.0,0.02
2014-08-15,27.42,0.74,0.94,1.23,0.0,0.03
2014-09-15,24.33,0.69,4.29,15.05,0.0,0.02
2014-10-15,20.1,0.68,2.48,17.78,0.0,0.02
2014-11-15,16.52,0.85,4.35,20.63,0.0,0.09
2014-12-15,13.24,0.8,3.3,11.56,0.0,0.1
2015-01-15,12.18,0.68,1.13,213.06,0.0,0.09
2015-02-15,9.06,0.75,5.49,13.92,0.01,0.09
2015-03-15,11.26,0.74,7.21,1.19,0.02,0.11
2015-04-15,16.12,0.68,5.62,17.2,0.0,0.06
2015-05-15,19.76,0.79,7.94,163.88,0.0,0.02
2015-06-15,25.36,0.61,2.64,20.03,0.0,0.02
2015-07-15,25.0,0.62,9.04,7.47,0.0,0.02
2015-08-15,27.06,0.71,0.62,140.89,0.0,0.02
2015-09-15,23.38,0.73,7.94,10.29,0.0,0.02
2015-10-15,19.59,0.73,5.42,19.39,0.0,0.02
2015-11-15,17.56,0.74,5.87,25.75,0.0,0.04
2015-12-15,11.69,0.75,5.57,27.19,0.0,0.04
2016-01-15,12.86,0.58,5.26,182.22,0.0,0.07
2016-02-15,17.87,0.73,11.36,161.86,0.0,0.08
2016-03-15,9.8,0.67,9.62,14.01,0.0,0.08
2016-04-15,20.54,0.58,2.18,238.21,0.0,0.02
2016-05-15,20.59,0.79,3.14,181.82,0.0,0.02
2016-06-15,23.44,0.75,3.11,172.15,0.0,0.02
2016-07-15,26.61,0.69,2.59,10.01,0.0,0.02
2016-08-15,24.21,0.61,9.42,18.04,0.0,0.02
2016-09-15,25.14,0.51,6.47,11.38,0.0,0.02
2016-10-15,17.75,0.61,9.75,16.94,0.0,0.02
2016-11-15,12.15,0.67,9.56,24.22,0.0,0.05
2016-12-15,8.64,0.55,2.77,12.65,0.0,0.06
2017-01-15,13.58,0.62,4.43,265.4,0.03,0.1
2017-02-15,8.54,0.58,7.94,2.05,0.0,0.07
2017-03-15,10.86,0.67,7.46,21.8,0.0,0.09
2017-04-15,18.26,0.67,1.85,38.86,0.0,0.02
2017-05-15,21.51,0.64,6.36,13.69,0.0,0.02
2017-08-15,25.35,0.63,10.51,8.77,0.0,0.02
2017-09-15,24.44,0.64,4.99,350.84,0.0,0.02
2017-10-15,17.9,0.58,10.47,19.99,0.0,0.02
2017-11-15,17.97,0.81,5.08,133.51,0.02,0.05
2017-12-15,16.61,0.71,4.43,179.09,0.0,0.05
2018-01-15,8.52,0.69,4.47,20.44,0.0,0.1
2018-02-15,11.69,0.87,7.96,122.2,0.69,0.09
2018-03-15,14.77,0.66,0.48,211.39,0.31,0.06
2018-04-15,18.51,0.66,5.96,20.91,0.0,0.02
2018-05-15,22.04,0.73,3.95,160.05,0.0,0.02
2018-07-15,26.56,0.61,8.34,2.58,0.0,0.02
2018-08-15,24.69,0.73,6.03,351.42,0.0,0.02
2018-10-15,19.54,0.77,5.46,20.87,0.0,0.03
2018-11-15,13.82,0.63,9.55,12.65,0.0,0.02
2018-12-15,16.51,0.75,8.12,162.24,0.0,0.09
2019-01-15,9.39,0.82,11.12,26.09,2.07,0.11
2019-02-15,8.26,0.69,12.34,24.04,0.03,0.1
2019-03-15,10.99,0.82,7.84,15.02,0.15,0.11
2019-04-15,14.43,0.81,2.19,123.45,0.07,0.1
2019-05-15,19.41,0.79,3.7,173.85,0.0,0.03
2019-06-15,24.39,0.74,8.17,2.37,0.02,0.02
2019-07-15,23.0,0.66,4.09,9.59,0.0,0.03
2019-08-15,25.22,0.82,1.67,8.64,0.0,0.02
2019-09-15,23.63,0.56,11.14,21.09,0.0,0.02
2019-11-15,18.77,0.76,3.44,166.85,0.0,0.08
2019-12-15,16.69,0.69,3.25,41.32,0.0,0.11
