Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,2.8,0.34,2.33,18.64,0.0,0.07,"Mariposa, CA"
2013-02-15,10.71,0.43,2.38,21.97,0.0,0.07,"Mariposa, CA"
2013-03-15,16.57,0.44,0.88,88.82,0.0,0.07,"Mariposa, CA"
2013-04-15,11.29,0.91,1.29,183.05,0.08,0.07,"Mariposa, CA"
2013-05-15,16.23,0.71,1.33,136.09,0.0,0.06,"Mariposa, CA"
2013-07-15,21.15,0.68,1.02,116.04,0.0,0.06,"Mariposa, CA"
2013-08-15,19.13,0.63,0.58,87.03,0.0,0.06,"Mariposa, CA"
2013-09-15,21.23,0.52,0.95,94.83,0.0,0.06,"Mariposa, CA"
2013-10-15,14.95,0.36,2.5,23.29,0.0,0.07,"Mariposa, CA"
2013-11-15,17.1,0.39,1.82,99.42,0.0,0.06,"Mariposa, CA"
2013-12-15,9.73,0.32,3.05,21.04,0.0,0.05,"Mariposa, CA"
2014-01-15,13.49,0.18,3.2,20.27,0.0,0.03,"Mariposa, CA"
2014-02-15,13.91,0.31,0.97,47.35,0.0,0.04,"Mariposa, CA"
2014-03-15,12.65,0.74,1.03,57.49,0.0,0.11,"Mariposa, CA"
2014-04-15,14.98,0.39,0.63,71.67,0.0,0.06,"Mariposa, CA"
2014-11-15,14.29,0.87,0.61,71.12,0.0,0.07,"Mariposa, CA"
2014-12-15,7.93,0.83,2.06,31.14,0.0,0.34,"Mariposa, CA"
2015-01-15,9.69,0.57,2.58,24.26,0.0,0.08,"Mariposa, CA"
2015-02-15,16.05,0.36,0.65,69.32,0.0,0.06,"Mariposa, CA"
2015-03-15,20.45,0.27,1.55,44.0,0.0,0.05,"Mariposa, CA"
2015-04-15,14.35,0.2,1.92,27.25,0.0,0.06,"Mariposa, CA"
2015-05-15,10.41,0.91,1.74,120.72,0.12,0.17,"Mariposa, CA"
2015-07-15,18.37,0.77,1.09,139.42,0.0,0.06,"Mariposa, CA"
2015-08-15,24.64,0.34,1.03,72.12,0.0,0.06,"Mariposa, CA"
2015-10-15,22.21,0.81,0.53,114.58,0.0,0.06,"Mariposa, CA"
2015-11-15,11.53,0.5,1.55,64.05,0.0,0.05,"Mariposa, CA"
2015-12-15,5.47,0.53,2.72,7.93,0.0,0.09,"Mariposa, CA"
2016-01-15,9.27,0.84,1.48,69.38,0.0,0.23,"Mariposa, CA"
2016-02-15,19.29,0.17,3.1,18.71,0.0,0.06,"Mariposa, CA"
2016-03-15,11.86,0.83,1.58,34.5,0.0,0.2,"Mariposa, CA"
2016-04-15,13.56,0.56,1.35,341.09,0.0,0.14,"Mariposa, CA"
2016-05-15,14.85,0.84,1.87,163.92,0.05,0.07,"Mariposa, CA"
2016-06-15,15.67,0.81,0.84,168.37,0.01,0.07,"Mariposa, CA"
2016-07-15,19.98,0.68,0.39,135.45,0.0,0.07,"Mariposa, CA"
2016-08-15,23.94,0.56,0.76,86.25,0.0,0.06,"Mariposa, CA"
2016-09-15,15.45,0.8,0.33,45.25,0.0,0.06,"Mariposa, CA"
2016-10-15,16.04,0.79,0.82,121.2,0.0,0.04,"Mariposa, CA"
2016-11-15,15.13,0.35,0.83,53.98,0.0,0.06,"Mariposa, CA"
2016-12-15,12.51,0.7,0.34,60.75,0.0,0.05,"Mariposa, CA"
2017-01-15,9.63,0.82,2.38,26.92,0.0,0.35,"Mariposa, CA"
2017-02-15,10.55,0.75,1.8,40.14,0.0,0.29,"Mariposa, CA"
2017-03-15,16.24,0.61,1.06,60.2,0.0,0.07,"Mariposa, CA"
2017-04-15,11.85,0.5,1.35,40.04,0.0,0.05,"Mariposa, CA"
2017-05-15,12.55,0.83,2.0,164.46,0.13,0.07,"Mariposa, CA"
2017-11-15,13.73,0.5,1.21,35.44,0.0,0.05,"Mariposa, CA"
2017-12-15,12.98,0.26,2.98,22.91,0.0,0.04,"Mariposa, CA"
2018-01-15,13.86,0.63,1.87,41.46,0.0,0.25,"Mariposa, CA"
2018-02-15,11.36,0.77,0.58,95.1,0.0,0.05,"Mariposa, CA"
2018-03-15,11.58,0.86,1.48,149.41,1.11,0.28,"Mariposa, CA"
2018-04-15,15.31,0.28,1.35,82.39,0.0,0.06,"Mariposa, CA"
2018-05-15,13.71,0.81,0.5,184.66,0.0,0.07,"Mariposa, CA"
2018-09-15,20.92,0.47,1.09,103.5,0.0,0.06,"Mariposa, CA"
2018-10-15,16.54,0.6,2.24,21.86,0.0,0.13,"Mariposa, CA"
2018-11-15,12.55,0.16,2.5,24.6,0.0,0.05,"Mariposa, CA"
2018-12-15,11.29,0.69,1.25,22.7,0.0,0.17,"Mariposa, CA"
2019-01-15,9.8,0.9,1.86,67.22,0.01,0.38,"Mariposa, CA"
2019-02-15,10.37,0.85,0.59,177.28,0.04,0.41,"Mariposa, CA"
2019-03-15,9.16,0.51,2.46,22.26,0.0,0.27,"Mariposa, CA"
2019-04-15,12.58,0.62,0.42,97.57,0.0,0.06,"Mariposa, CA"
2019-05-15,15.89,0.82,0.92,144.7,0.0,0.08,"Mariposa, CA"
2019-06-15,16.56,0.79,0.83,210.11,0.0,0.07,"Mariposa, CA"
2019-09-15,22.72,0.48,1.27,88.57,0.0,0.06,"Mariposa, CA"
2019-11-15,14.48,0.73,0.24,127.04,0.0,0.04,"Mariposa, CA"
2019-12-15,10.52,0.78,1.47,355.03,0.0,0.29,"Mariposa, CA"
