Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,4.74,0.79,1.05,46.81,0.0,0.29
2013-02-15,6.75,1.07,1.71,101.13,0.0,0.22
2013-03-15,9.52,0.92,3.68,327.21,0.0,0.24
2013-04-15,8.3,0.78,6.05,333.8,0.0,0.2
2013-05-15,11.45,0.78,6.55,322.55,0.0,0.12
2013-06-15,11.98,0.89,5.08,325.78,0.0,0.1
2013-08-15,16.53,0.96,2.6,313.37,0.0,0.1
2013-10-15,13.02,0.82,1.29,41.67,0.0,0.11
2014-01-15,7.3,0.89,1.62,76.25,0.0,0.16
2014-02-15,13.6,0.89,3.15,159.14,0.07,0.31
2014-03-15,11.18,0.9,2.15,349.63,0.0,0.28
2014-04-15,10.97,0.92,5.35,326.89,0.0,0.23
2014-05-15,15.71,0.86,1.79,30.05,0.0,0.13
2014-06-15,12.96,0.81,6.62,325.66,0.0,0.1
2014-08-15,16.59,0.88,3.51,324.95,0.0,0.1
2014-10-15,15.75,0.88,5.13,199.04,1.0,0.17
2014-11-15,13.82,0.91,1.91,348.11,0.0,0.25
2014-12-15,11.8,0.86,6.84,119.1,0.35,0.37
2015-01-15,9.88,0.89,2.81,128.89,0.0,0.26
2015-02-15,10.9,0.91,0.91,52.6,0.0,0.3
2015-03-15,15.21,0.89,2.27,139.93,0.0,0.19
2015-04-15,9.68,0.79,6.13,342.17,0.0,0.22
2015-05-15,11.92,0.88,2.85,311.7,0.0,0.13
2015-08-15,17.14,0.8,4.98,336.34,0.0,0.09
2015-09-15,14.21,0.75,4.8,322.45,0.0,0.1
2015-10-15,16.22,0.97,0.94,254.89,0.0,0.09
2015-11-15,13.12,0.88,6.85,156.96,0.87,0.2
2015-12-15,7.32,0.85,5.43,346.79,0.0,0.33
2016-01-15,10.87,0.85,2.86,295.4,0.24,0.36
2016-02-15,12.6,0.88,3.58,347.79,0.0,0.26
2016-03-15,9.99,0.75,3.11,335.4,0.0,0.33
2016-04-15,10.4,0.81,4.27,339.6,0.0,0.25
2016-05-15,13.62,0.96,3.43,332.38,0.0,0.15
2016-06-15,11.81,0.78,5.85,322.56,0.0,0.1
2016-07-15,16.02,0.94,2.85,328.73,0.0,0.1
2016-10-15,14.77,0.85,5.33,149.24,0.03,0.3
2016-11-15,14.32,0.98,2.69,143.27,0.02,0.28
2016-12-15,14.53,0.95,10.33,168.78,2.96,0.37
2017-01-15,8.13,0.93,2.11,345.35,0.0,0.32
2017-02-15,12.54,0.8,4.79,124.71,0.17,0.3
2017-03-15,10.98,0.99,0.17,45.28,0.0,0.27
2017-04-15,8.78,0.85,3.83,337.83,0.0,0.32
2017-05-15,10.68,0.81,6.83,329.21,0.0,0.16
2017-06-15,14.03,0.82,4.75,320.47,0.0,0.13
2017-08-15,14.45,0.89,4.62,320.05,0.0,0.1
2017-11-15,11.87,0.84,2.36,147.96,0.04,0.28
2017-12-15,8.62,0.94,0.78,29.43,0.0,0.23
2018-01-15,11.91,0.84,3.48,129.58,0.0,0.3
2018-02-15,8.6,0.7,6.22,345.03,0.0,0.2
2018-03-15,8.97,0.69,1.25,206.58,0.03,0.32
2018-04-15,10.85,0.88,1.95,315.72,0.0,0.3
2018-05-15,10.99,0.9,1.66,300.91,0.0,0.15
2018-06-15,13.83,0.81,6.86,326.58,0.0,0.1
2018-09-15,13.39,0.85,4.51,317.3,0.0,0.1
2018-10-15,12.84,0.92,1.21,36.03,0.0,0.12
2018-12-15,7.39,0.93,3.21,108.45,0.0,0.32
2019-01-15,10.94,0.75,6.12,112.04,0.05,0.31
2019-02-15,8.31,0.73,5.8,239.35,0.09,0.37
2019-03-15,9.68,0.85,2.04,353.47,0.0,0.3
2019-04-15,10.04,0.7,3.66,338.61,0.0,0.26
2019-05-15,13.23,0.82,0.63,204.05,0.09,0.14
2019-06-15,12.6,0.97,4.14,322.38,0.0,0.13
2019-09-15,15.7,0.95,4.0,315.12,0.0,0.09
2019-11-15,13.32,0.87,2.34,149.3,0.01,0.09
2019-12-15,8.39,0.89,3.96,331.67,0.08,0.35
