Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.57,0.81,2.01,117.16,0.0,0.32
2013-02-15,9.59,0.79,0.88,77.81,0.0,0.22
2013-03-15,18.62,0.57,2.5,321.07,0.0,0.15
2013-04-15,13.79,0.54,3.17,297.79,0.0,0.13
2013-05-15,19.92,0.45,3.25,266.85,0.0,0.13
2013-07-15,25.18,0.35,3.07,298.46,0.0,0.11
2013-08-15,22.23,0.38,2.1,309.25,0.0,0.09
2013-09-15,20.68,0.47,2.34,312.73,0.0,0.1
2013-10-15,13.24,0.43,1.29,331.59,0.0,0.11
2013-11-15,10.46,0.78,2.25,297.47,0.0,0.11
2013-12-15,3.7,0.74,1.16,346.21,0.0,0.17
2014-01-15,6.06,0.58,0.77,121.12,0.0,0.12
2014-02-15,11.43,0.91,1.37,353.1,0.0,0.22
2014-03-15,13.28,0.71,2.36,323.73,0.0,0.15
2014-04-15,18.84,0.43,1.54,320.67,0.0,0.12
2014-05-15,23.88,0.19,2.06,326.57,0.0,0.13
2014-06-15,20.49,0.28,1.84,298.77,0.0,0.12
2014-08-15,24.36,0.39,3.0,302.12,0.0,0.12
2014-09-15,25.93,0.37,1.87,307.47,0.0,0.11
2014-10-15,18.3,0.56,1.93,253.1,0.0,0.11
2014-11-15,13.39,0.79,1.87,315.35,0.0,0.23
2014-12-15,9.09,0.76,1.88,118.04,0.0,0.37
2015-01-15,6.23,0.94,1.35,28.02,0.0,0.24
2015-02-15,11.82,0.92,0.6,77.44,0.0,0.32
2015-03-15,18.75,0.52,2.6,112.47,0.0,0.18
2015-04-15,13.18,0.42,4.75,314.05,0.0,0.15
2015-06-15,22.29,0.48,2.95,301.84,0.0,0.13
2015-08-15,23.3,0.38,2.53,316.04,0.0,0.11
2015-09-15,21.05,0.7,1.53,232.74,0.01,0.13
2015-10-15,24.69,0.43,1.84,330.64,0.0,0.11
2015-11-15,10.23,0.64,0.44,83.76,0.0,0.24
2015-12-15,3.58,0.73,2.34,328.84,0.0,0.3
2016-01-15,11.69,0.73,3.08,126.15,0.17,0.36
2016-02-15,12.78,0.83,0.92,52.4,0.0,0.27
2016-03-15,10.35,0.75,2.84,317.26,0.0,0.39
2016-05-15,17.67,0.7,4.36,317.99,0.0,0.13
2016-07-15,25.52,0.33,2.3,312.24,0.0,0.13
2016-08-15,27.19,0.3,2.7,307.54,0.0,0.12
2016-09-15,18.61,0.52,2.27,324.61,0.0,0.12
2016-10-15,19.1,0.78,1.1,95.76,0.0,0.16
2016-11-15,13.2,0.88,1.09,351.67,0.0,0.16
2016-12-15,14.98,0.62,0.94,90.4,0.0,0.32
2017-01-15,5.89,0.89,0.87,339.0,0.0,0.38
2017-02-15,10.52,0.87,1.07,73.0,0.0,0.36
2017-03-15,15.34,0.89,0.84,357.41,0.0,0.27
2017-04-15,10.11,0.6,2.56,312.86,0.0,0.25
2017-06-15,22.35,0.37,2.49,321.33,0.0,0.13
2017-07-15,26.82,0.39,2.83,307.37,0.0,0.13
2017-08-15,20.63,0.62,3.59,283.1,0.0,0.11
2017-09-15,19.78,0.57,2.4,271.9,0.0,0.11
2017-10-15,13.62,0.43,1.23,0.35,0.0,0.13
2017-11-15,12.07,0.72,1.58,356.05,0.0,0.16
2017-12-15,5.0,0.83,0.92,74.48,0.0,0.12
2018-01-15,11.28,0.83,1.32,129.29,0.0,0.3
2018-02-15,9.69,0.57,2.07,329.47,0.0,0.16
2018-03-15,8.56,0.86,1.85,333.15,0.1,0.36
2018-04-15,18.33,0.62,1.32,329.45,0.0,0.2
2018-07-15,27.66,0.4,2.69,307.43,0.0,0.12
2018-08-15,22.96,0.48,3.28,307.41,0.0,0.12
2018-09-15,20.23,0.4,2.41,309.89,0.0,0.11
2018-10-15,17.27,0.43,1.35,90.11,0.0,0.12
2018-11-15,6.92,0.52,0.46,65.02,0.0,0.14
2018-12-15,8.47,0.73,1.39,95.35,0.0,0.3
2019-01-15,10.13,0.75,3.73,119.54,0.01,0.35
2019-02-15,10.08,0.76,4.23,127.14,0.0,0.41
2019-03-15,9.38,0.72,0.83,354.56,0.0,0.33
2019-04-15,16.51,0.45,2.55,300.23,0.0,0.16
2019-05-15,20.12,0.45,2.8,306.29,0.0,0.12
2019-07-15,26.12,0.34,2.26,310.63,0.0,0.13
2019-08-15,27.7,0.31,2.09,327.51,0.0,0.11
2019-09-15,24.81,0.35,1.7,319.67,0.0,0.1
2019-10-15,13.35,0.46,1.77,0.8,0.0,0.11
2019-11-15,13.14,0.76,2.56,324.32,0.0,0.11
2019-12-15,9.43,0.78,1.86,292.5,0.01,0.35
