Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-14.98,0.74,1.71,81.62,0.0,0.29
2013-02-15,-6.02,1.08,2.13,84.03,0.0,0.23
2013-03-15,7.33,0.55,1.4,168.74,0.0,0.07
2013-04-15,1.63,0.66,3.47,331.86,0.01,0.08
2013-05-15,14.37,0.4,2.48,311.76,0.0,0.06
2013-06-15,12.02,0.31,2.24,90.73,0.0,0.05
2013-08-15,15.47,0.29,1.88,183.9,0.0,0.06
2013-10-15,1.7,0.77,2.38,52.32,0.0,0.07
2013-11-15,1.61,0.6,2.84,347.45,0.0,0.05
2013-12-15,-5.63,0.8,2.13,104.02,0.0,0.16
2014-01-15,-4.56,0.76,1.54,78.36,0.0,0.09
2014-02-15,7.29,0.84,4.83,202.63,0.06,0.34
2014-03-15,3.71,0.59,0.87,90.72,0.0,0.25
2014-04-15,7.67,0.48,2.13,216.86,0.0,0.06
2014-05-15,10.3,0.51,1.71,126.62,0.0,0.07
2014-06-15,13.54,0.33,3.16,312.81,0.0,0.04
2014-09-15,13.4,0.34,1.96,177.4,0.0,0.05
2014-10-15,10.77,0.6,7.37,208.18,0.02,0.05
2014-11-15,5.31,0.88,3.15,263.43,0.11,0.19
2014-12-15,-1.08,0.85,3.34,136.2,0.0,0.36
2015-01-15,-2.48,0.82,2.86,125.99,0.0,0.3
2015-02-15,3.21,0.73,2.93,54.1,0.0,0.31
2015-03-15,10.64,0.58,2.54,177.97,0.0,0.14
2015-04-15,-2.03,0.63,3.05,335.51,0.0,0.08
2015-05-15,6.76,0.86,3.3,304.39,0.31,0.24
2015-06-15,17.57,0.4,2.28,256.55,0.0,0.06
2015-08-15,15.73,0.47,2.03,342.58,0.0,0.05
2015-09-15,11.16,0.82,3.22,252.73,1.14,0.24
2015-10-15,11.35,0.61,1.32,83.2,0.0,0.06
2015-11-15,3.94,0.52,4.03,172.17,0.0,0.17
2015-12-15,-4.7,0.87,2.86,320.37,0.01,0.3
2016-01-15,-0.07,0.87,2.24,220.83,0.68,0.31
2016-02-15,6.75,0.87,1.61,229.46,0.01,0.27
2016-03-15,-0.05,0.77,0.58,166.47,0.0,0.37
2016-04-15,1.21,0.82,3.41,302.69,0.06,0.22
2016-05-15,8.98,0.77,2.45,286.35,0.04,0.11
2016-06-15,8.94,0.45,3.08,330.93,0.0,0.05
2016-07-15,21.12,0.39,3.3,310.9,0.0,0.05
2016-08-15,20.47,0.29,2.16,239.81,0.0,0.05
2016-10-15,8.78,0.84,4.8,204.22,0.02,0.34
2016-11-15,7.61,0.77,3.47,190.73,0.0,0.17
2016-12-15,4.21,0.82,7.82,204.85,0.33,0.39
2017-01-15,-11.15,0.87,2.76,83.1,0.0,0.36
2017-02-15,0.48,0.71,3.42,137.57,0.0,0.35
2017-03-15,6.44,0.75,3.11,158.68,0.0,0.28
2017-05-15,5.57,0.76,2.07,333.79,0.0,0.13
2017-09-15,11.32,0.39,2.56,325.07,0.0,0.06
2017-10-15,3.05,0.48,2.37,82.16,0.0,0.05
2017-11-15,2.06,0.75,2.95,176.59,0.0,0.29
2017-12-15,-4.73,0.79,1.93,104.63,0.0,0.27
2018-01-15,2.99,0.81,2.91,122.38,0.0,0.29
2018-02-15,-2.67,0.76,2.66,316.96,0.0,0.21
2018-03-15,-3.05,0.89,2.01,192.39,0.03,0.27
2018-04-15,9.03,0.68,2.71,203.72,0.01,0.2
2018-05-15,12.13,0.55,1.82,121.35,0.0,0.06
2018-06-15,14.33,0.5,3.3,307.84,0.0,0.06
2018-10-15,1.81,0.71,2.47,73.44,0.0,0.1
2018-11-15,-1.49,0.59,1.32,85.31,0.0,0.06
2018-12-15,2.8,0.96,2.05,202.3,0.03,0.25
2019-01-15,-2.63,0.67,2.68,89.95,0.04,0.26
2019-02-15,1.49,0.82,7.3,192.84,1.17,0.39
2019-03-15,-1.94,0.68,2.23,91.49,0.0,0.29
2019-04-15,6.25,0.75,1.2,92.91,0.0,0.33
2019-05-15,12.26,0.64,1.19,154.49,0.0,0.07
2019-06-15,16.68,0.47,2.34,308.72,0.0,0.08
2019-10-15,5.74,0.43,1.85,128.26,0.0,0.07
2019-11-15,2.92,0.61,1.93,211.18,0.0,0.05
2019-12-15,-3.14,0.91,1.63,310.95,0.1,0.32
