Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,11.05,0.81,3.05,27.28,1.53,0.14,"Mono, CA"
2013-02-15,11.51,0.66,1.97,265.45,0.0,0.2,"Mono, CA"
2013-03-15,7.36,0.66,8.11,253.07,0.0,0.25,"Mono, CA"
2013-04-15,17.84,0.57,1.17,65.13,0.0,0.11,"Mono, CA"
2013-05-15,20.28,0.38,2.02,190.55,0.01,0.06,"Mono, CA"
2013-06-15,24.44,0.47,0.35,187.41,0.0,0.07,"Mono, CA"
2013-07-15,25.98,0.66,1.66,77.97,0.0,0.08,"Mono, CA"
2013-08-15,27.35,0.61,2.49,40.01,0.0,0.06,"Mono, CA"
2013-09-15,23.84,0.6,0.93,256.9,0.0,0.07,"Mono, CA"
2013-10-15,23.75,0.65,0.39,83.32,0.0,0.11,"Mono, CA"
2013-11-15,15.45,0.88,1.47,31.07,0.02,0.14,"Mono, CA"
2013-12-15,11.38,0.77,1.86,306.08,0.0,0.2,"Mono, CA"
2014-01-15,11.06,0.83,0.88,288.11,0.14,0.25,"Mono, CA"
2014-02-15,13.38,0.66,0.68,283.8,0.0,0.22,"Mono, CA"
2014-03-15,13.26,0.7,3.7,53.09,0.0,0.24,"Mono, CA"
2014-04-15,15.89,0.68,2.74,247.27,0.0,0.22,"Mono, CA"
2014-05-15,19.08,0.45,2.34,257.22,0.01,0.06,"Mono, CA"
2014-06-15,25.33,0.67,1.99,248.59,0.0,0.12,"Mono, CA"
2014-07-15,24.21,0.61,0.76,228.19,0.0,0.06,"Mono, CA"
2014-08-15,28.71,0.52,0.69,229.39,0.0,0.06,"Mono, CA"
2014-09-15,24.22,0.68,1.15,113.98,0.01,0.07,"Mono, CA"
2014-10-15,25.46,0.6,1.1,65.43,0.01,0.09,"Mono, CA"
2014-11-15,16.9,0.72,0.78,252.31,0.0,0.24,"Mono, CA"
2014-12-15,13.42,0.8,0.98,258.96,0.0,0.19,"Mono, CA"
2015-01-15,11.87,0.74,2.07,337.92,0.0,0.22,"Mono, CA"
2015-03-15,12.2,0.71,3.18,137.98,0.0,0.24,"Mono, CA"
2015-04-15,17.3,0.53,0.7,344.27,0.0,0.17,"Mono, CA"
2015-05-15,26.29,0.31,3.63,243.77,0.0,0.07,"Mono, CA"
2015-06-15,25.17,0.72,0.95,129.67,0.0,0.14,"Mono, CA"
2015-07-15,28.84,0.56,0.79,111.94,0.0,0.08,"Mono, CA"
2015-09-15,27.41,0.49,1.31,245.69,0.0,0.14,"Mono, CA"
2015-10-15,21.05,0.81,1.94,121.9,0.2,0.12,"Mono, CA"
2015-11-15,17.11,0.75,1.09,91.13,0.09,0.22,"Mono, CA"
