Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,5.95,0.69,1.82,44.95,0.0,0.11,"Monterey, CA"
2013-02-15,9.01,0.88,3.06,99.52,0.0,0.09,"Monterey, CA"
2013-03-15,11.08,0.82,2.69,335.05,0.0,0.09,"Monterey, CA"
2013-04-15,9.36,0.9,3.13,292.75,0.22,0.07,"Monterey, CA"
2013-05-15,11.38,0.81,4.27,312.37,0.0,0.05,"Monterey, CA"
2013-08-15,13.92,0.97,2.17,329.68,0.02,0.05,"Monterey, CA"
2013-09-15,13.36,0.94,3.19,319.05,0.03,0.05,"Monterey, CA"
2013-10-15,12.6,0.76,2.15,59.25,0.0,0.05,"Monterey, CA"
2013-11-15,11.9,0.76,4.57,314.09,0.0,0.06,"Monterey, CA"
2014-01-15,12.35,0.54,3.4,96.69,0.0,0.05,"Monterey, CA"
2014-02-15,10.47,0.94,1.58,329.36,0.0,0.09,"Monterey, CA"
2014-05-15,15.61,0.53,1.1,22.63,0.0,0.05,"Monterey, CA"
2014-07-15,16.43,0.84,1.06,152.87,0.0,0.05,"Monterey, CA"
2014-08-15,14.83,0.92,1.32,299.23,0.0,0.05,"Monterey, CA"
2014-09-15,15.91,0.9,1.11,350.53,0.0,0.06,"Monterey, CA"
2014-10-15,16.07,0.9,5.09,196.66,0.04,0.05,"Monterey, CA"
2014-11-15,13.64,0.9,2.51,344.69,0.0,0.09,"Monterey, CA"
2014-12-15,12.49,0.77,5.04,137.93,0.1,0.12,"Monterey, CA"
2015-01-15,11.46,0.87,0.76,331.71,0.0,0.09,"Monterey, CA"
2015-02-15,15.15,0.73,0.84,173.35,0.0,0.11,"Monterey, CA"
2015-03-15,16.04,0.7,3.17,149.35,0.0,0.08,"Monterey, CA"
2015-04-15,9.85,0.83,4.55,346.62,0.0,0.07,"Monterey, CA"
2015-05-15,10.59,0.86,1.4,268.19,0.01,0.09,"Monterey, CA"
2015-06-15,12.44,0.92,2.69,317.13,0.0,0.05,"Monterey, CA"
2015-07-15,15.06,0.92,3.11,307.4,0.04,0.06,"Monterey, CA"
2015-08-15,16.32,0.9,2.36,339.76,0.0,0.05,"Monterey, CA"
2015-10-15,16.89,0.93,1.44,296.68,0.0,0.06,"Monterey, CA"
2015-11-15,11.83,0.86,2.8,167.84,0.0,0.09,"Monterey, CA"
2015-12-15,9.44,0.8,4.9,352.23,0.02,0.11,"Monterey, CA"
2016-01-15,12.46,0.84,6.51,186.0,0.26,0.12,"Monterey, CA"
2016-02-15,13.52,0.88,2.2,39.57,0.0,0.09,"Monterey, CA"
2016-03-15,10.43,0.79,4.37,347.58,0.0,0.13,"Monterey, CA"
2016-04-15,10.79,0.79,7.19,330.24,0.0,0.1,"Monterey, CA"
2016-08-15,13.18,0.93,2.46,305.15,0.0,0.06,"Monterey, CA"
2016-09-15,13.39,0.94,1.5,340.35,0.0,0.05,"Monterey, CA"
2016-10-15,15.8,0.94,2.96,201.9,0.08,0.06,"Monterey, CA"
2016-11-15,13.06,0.95,1.91,316.66,0.0,0.08,"Monterey, CA"
2016-12-15,13.23,0.89,5.63,175.26,0.03,0.1,"Monterey, CA"
2017-01-15,8.49,0.86,2.79,5.47,0.0,0.12,"Monterey, CA"
2017-02-15,11.91,0.86,1.15,108.94,0.0,0.12,"Monterey, CA"
2017-03-15,12.55,0.96,1.75,140.01,0.0,0.09,"Monterey, CA"
2017-11-15,12.32,0.82,1.54,5.73,0.0,0.06,"Monterey, CA"
2017-12-15,12.69,0.6,1.52,100.13,0.0,0.06,"Monterey, CA"
2018-01-15,14.5,0.66,2.18,182.58,0.0,0.1,"Monterey, CA"
2018-03-15,8.84,0.75,5.22,321.76,0.02,0.12,"Monterey, CA"
2018-04-15,11.93,0.82,2.48,315.32,0.0,0.08,"Monterey, CA"
2018-05-15,10.44,0.9,2.85,302.42,0.0,0.06,"Monterey, CA"
2018-07-15,13.87,0.94,3.53,312.21,0.0,0.05,"Monterey, CA"
2018-11-15,11.99,0.68,1.57,68.02,0.0,0.05,"Monterey, CA"
2018-12-15,12.25,0.93,2.69,152.47,0.0,0.11,"Monterey, CA"
2019-01-15,11.03,0.84,6.86,143.51,0.59,0.12,"Monterey, CA"
2019-02-15,10.32,0.82,7.55,221.29,0.61,0.13,"Monterey, CA"
2019-03-15,10.39,0.81,1.42,36.5,0.0,0.11,"Monterey, CA"
2019-04-15,10.35,0.78,3.12,311.63,0.0,0.09,"Monterey, CA"
2019-05-15,12.66,0.85,2.19,295.62,0.0,0.06,"Monterey, CA"
2019-08-15,17.13,0.7,0.08,312.98,0.0,0.05,"Monterey, CA"
2019-11-15,13.03,0.89,0.67,325.39,0.0,0.06,"Monterey, CA"
2019-12-15,10.31,0.75,6.93,320.39,0.07,0.12,"Monterey, CA"
