Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,3.9,0.62,1.46,293.05,0.0,0.34
2013-02-15,11.01,0.63,2.2,22.67,0.0,0.22
2013-03-15,11.53,0.73,1.27,255.75,0.0,0.2
2013-05-15,15.65,0.54,3.07,237.96,0.0,0.13
2013-06-15,15.35,0.7,1.93,220.99,0.0,0.13
2013-07-15,14.71,0.8,2.76,233.82,0.0,0.13
2013-08-15,18.42,0.79,2.14,229.92,0.0,0.12
2013-09-15,14.7,0.86,2.76,235.96,0.0,0.1
2013-12-15,4.11,0.69,1.68,24.89,0.0,0.17
2014-01-15,9.99,0.29,2.1,19.36,0.0,0.11
2014-02-15,12.16,0.94,1.28,230.22,0.0,0.33
2014-03-15,12.44,0.88,1.41,293.25,0.0,0.25
2014-04-15,11.89,0.97,1.85,229.46,0.0,0.2
2014-05-15,18.3,0.47,1.41,266.79,0.0,0.12
2014-06-15,15.28,0.6,2.18,227.04,0.0,0.12
2014-10-15,17.17,0.8,3.8,205.3,0.14,0.1
2014-11-15,11.19,0.94,1.51,260.66,0.0,0.18
2014-12-15,10.71,0.85,1.98,60.73,0.6,0.4
2015-01-15,7.29,0.9,1.68,53.67,0.0,0.29
2015-02-15,12.38,0.8,1.62,328.73,0.0,0.35
2015-03-15,19.33,0.76,2.1,248.89,0.0,0.22
2015-04-15,11.0,0.63,2.67,318.47,0.0,0.17
2015-05-15,10.83,0.88,1.4,238.1,0.01,0.13
2015-07-15,16.84,0.89,2.23,206.32,0.0,0.13
2015-09-15,15.7,0.77,2.84,232.76,0.0,0.1
2015-10-15,18.79,0.78,1.73,244.96,0.0,0.11
2015-11-15,11.32,0.92,2.11,172.35,0.0,0.23
2015-12-15,5.24,0.8,2.63,344.11,0.0,0.33
2016-01-15,12.56,0.9,3.27,257.23,0.09,0.41
2016-02-15,16.73,0.66,3.91,351.36,0.0,0.27
2016-03-15,9.22,0.72,2.1,293.87,0.0,0.39
2016-04-15,9.92,0.7,3.54,299.82,0.0,0.27
2016-05-15,13.9,0.91,2.3,266.19,0.0,0.19
2016-06-15,13.09,0.61,3.25,250.75,0.0,0.12
2016-07-15,16.32,0.79,2.0,224.67,0.0,0.13
2016-08-15,15.57,0.81,2.35,229.02,0.0,0.13
2016-09-15,14.24,0.82,1.5,248.21,0.0,0.11
2016-11-15,14.0,1.0,1.57,252.91,0.0,0.27
2016-12-15,14.46,0.88,4.24,183.57,0.02,0.36
2017-01-15,4.93,0.97,1.1,307.9,0.0,0.38
2017-02-15,12.94,0.75,0.24,252.9,0.0,0.35
2017-03-15,14.26,0.99,1.83,248.93,0.0,0.27
2017-04-15,8.75,0.77,1.66,305.51,0.0,0.31
2017-05-15,11.75,0.73,1.78,254.07,0.0,0.12
2017-07-15,16.88,0.78,1.99,219.65,0.0,0.12
2017-09-15,15.96,0.62,1.63,239.75,0.0,0.13
2017-11-15,11.34,0.78,1.13,262.31,0.0,0.22
2017-12-15,6.62,0.76,1.75,30.94,0.0,0.19
2018-01-15,9.12,0.93,1.14,15.45,0.0,0.33
2018-02-15,7.96,0.72,2.44,316.72,0.0,0.19
2018-03-15,7.01,0.7,2.47,274.93,0.0,0.34
2018-04-15,13.51,0.7,1.64,243.79,0.0,0.27
2018-10-15,17.98,0.16,5.11,25.41,0.0,0.12
2018-11-15,8.12,0.46,1.22,326.33,0.0,0.08
2018-12-15,12.36,0.9,0.54,43.26,0.01,0.3
2019-01-15,8.43,0.88,1.97,79.15,0.11,0.39
2019-02-15,9.53,0.81,4.81,240.41,0.43,0.44
2019-03-15,11.76,0.6,0.77,264.92,0.0,0.34
2019-04-15,12.31,0.55,3.06,253.54,0.0,0.26
2019-05-15,14.85,0.71,2.07,225.27,0.0,0.12
2019-08-15,23.02,0.59,1.64,238.67,0.0,0.09
2019-09-15,17.92,0.77,2.36,225.33,0.0,0.08
2019-11-15,13.08,0.88,1.44,248.1,0.0,0.04
2019-12-15,7.78,0.75,3.41,277.65,0.0,0.36
