Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,4.85,0.42,1.99,49.09,0.0,0.08,"Orange, CA"
2013-02-15,8.33,0.69,1.73,52.14,0.0,0.08,"Orange, CA"
2013-03-15,13.71,0.84,1.33,145.81,0.0,0.1,"Orange, CA"
2013-04-15,13.5,0.8,2.17,189.14,0.04,0.09,"Orange, CA"
2013-05-15,16.15,0.82,2.23,146.46,0.0,0.08,"Orange, CA"
2013-06-15,16.26,0.87,0.94,186.16,0.0,0.09,"Orange, CA"
2013-07-15,20.1,0.85,1.08,147.63,0.0,0.09,"Orange, CA"
2013-08-15,18.53,0.83,0.56,139.93,0.0,0.09,"Orange, CA"
2013-09-15,20.13,0.83,0.87,169.39,0.0,0.07,"Orange, CA"
2013-11-15,16.49,0.74,2.38,129.2,0.0,0.06,"Orange, CA"
2013-12-15,10.21,0.43,2.29,49.86,0.0,0.07,"Orange, CA"
2014-01-15,12.62,0.28,2.59,53.36,0.0,0.05,"Orange, CA"
2014-02-15,13.06,0.74,1.15,107.02,0.0,0.07,"Orange, CA"
2014-03-15,13.83,0.93,1.49,130.35,0.0,0.13,"Orange, CA"
2014-04-15,15.03,0.7,1.43,134.93,0.0,0.07,"Orange, CA"
2014-05-15,21.42,0.25,1.48,62.03,0.0,0.07,"Orange, CA"
2014-06-15,16.67,0.83,1.24,175.38,0.0,0.07,"Orange, CA"
2014-07-15,20.76,0.8,1.62,163.56,0.14,0.09,"Orange, CA"
2014-08-15,20.14,0.73,0.63,251.21,0.0,0.07,"Orange, CA"
2014-10-15,18.99,0.73,1.49,247.45,0.0,0.06,"Orange, CA"
2014-11-15,15.94,0.88,0.62,181.74,0.0,0.08,"Orange, CA"
2014-12-15,11.01,0.8,1.35,57.85,0.0,0.32,"Orange, CA"
2015-01-15,10.55,0.69,1.76,46.86,0.0,0.16,"Orange, CA"
2015-02-15,15.2,0.57,1.66,127.24,0.0,0.07,"Orange, CA"
2015-03-15,22.08,0.29,1.59,64.23,0.0,0.06,"Orange, CA"
2015-04-15,14.98,0.75,1.84,122.88,0.0,0.07,"Orange, CA"
2015-05-15,12.96,0.86,0.9,141.15,0.2,0.23,"Orange, CA"
2015-06-15,16.75,0.88,0.5,225.27,0.0,0.1,"Orange, CA"
