Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,-1.61,0.62,3.5,69.82,0.0,0.42,"Placer, CA"
2013-02-15,-0.77,0.9,4.71,70.93,0.0,0.38,"Placer, CA"
2013-03-15,8.04,0.73,2.4,71.0,0.0,0.37,"Placer, CA"
2013-04-15,8.18,0.73,3.87,209.83,0.24,0.36,"Placer, CA"
2013-05-15,15.08,0.63,1.77,100.92,0.0,0.31,"Placer, CA"
2013-07-15,17.51,0.51,1.46,72.26,0.0,0.23,"Placer, CA"
2013-09-15,14.74,0.71,1.26,83.62,0.0,0.22,"Placer, CA"
2013-10-15,7.12,0.49,4.23,70.99,0.0,0.25,"Placer, CA"
2013-11-15,6.33,0.61,0.69,85.94,0.0,0.25,"Placer, CA"
2013-12-15,0.32,0.73,3.08,70.09,0.0,0.4,"Placer, CA"
2014-02-15,9.44,0.69,2.34,136.48,0.0,0.45,"Placer, CA"
2014-03-15,6.1,0.77,3.05,64.9,0.0,0.4,"Placer, CA"
2014-04-15,7.62,0.84,1.9,77.83,0.0,0.36,"Placer, CA"
2014-05-15,12.28,0.59,1.95,69.78,0.0,0.33,"Placer, CA"
2014-06-15,11.82,0.4,1.7,80.28,0.0,0.22,"Placer, CA"
2014-08-15,15.16,0.61,1.47,74.93,0.0,0.25,"Placer, CA"
2014-09-15,17.28,0.38,2.51,71.77,0.0,0.21,"Placer, CA"
2014-11-15,5.92,0.89,1.65,82.32,0.0,0.43,"Placer, CA"
2014-12-15,3.39,0.78,1.57,80.58,0.0,0.45,"Placer, CA"
2015-01-15,1.59,0.83,1.51,74.59,0.0,0.41,"Placer, CA"
2015-02-15,7.31,0.57,2.83,67.92,0.0,0.42,"Placer, CA"
2015-03-15,15.22,0.44,2.6,120.96,0.0,0.37,"Placer, CA"
2015-04-15,2.87,0.51,3.79,57.45,0.0,0.39,"Placer, CA"
2015-05-15,6.62,0.9,0.35,132.57,0.1,0.35,"Placer, CA"
2015-08-15,14.53,0.56,2.02,68.78,0.0,0.23,"Placer, CA"
2015-09-15,13.48,0.94,2.51,192.02,0.22,0.33,"Placer, CA"
2015-10-15,13.81,0.72,1.39,72.16,0.0,0.26,"Placer, CA"
2015-11-15,6.25,0.62,2.1,159.44,0.0,0.43,"Placer, CA"
2015-12-15,-5.14,0.73,4.02,62.81,0.0,0.45,"Placer, CA"
2016-01-15,4.18,0.91,4.86,196.59,2.36,0.47,"Placer, CA"
2016-02-15,8.86,0.65,4.48,63.15,0.0,0.4,"Placer, CA"
2016-03-15,3.21,0.79,2.05,70.16,0.0,0.46,"Placer, CA"
2016-04-15,3.91,0.75,1.31,338.32,0.0,0.43,"Placer, CA"
2016-07-15,18.33,0.39,1.55,73.15,0.0,0.22,"Placer, CA"
2016-08-15,19.31,0.42,1.57,74.05,0.0,0.2,"Placer, CA"
2016-09-15,10.92,0.69,1.33,65.69,0.0,0.23,"Placer, CA"
2016-10-15,12.46,0.9,3.57,207.47,0.51,0.47,"Placer, CA"
2016-11-15,9.09,0.59,2.13,92.82,0.0,0.38,"Placer, CA"
2016-12-15,8.33,0.83,3.83,170.5,0.52,0.47,"Placer, CA"
2017-01-15,0.67,0.82,3.43,69.98,0.0,0.45,"Placer, CA"
2017-02-15,5.44,0.63,2.52,78.09,0.0,0.44,"Placer, CA"
2017-03-15,9.98,0.63,2.43,80.67,0.0,0.41,"Placer, CA"
