Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,-23.6,0.76,3.21,233.45,0.0,0.28,"Plumas, CA"
2013-02-15,-17.13,0.71,1.69,309.14,0.01,0.27,"Plumas, CA"
2013-03-15,-13.01,0.68,5.18,19.86,0.03,0.27,"Plumas, CA"
2013-04-15,0.42,0.74,6.39,29.36,0.02,0.35,"Plumas, CA"
2013-05-15,8.58,0.74,2.34,275.51,0.0,0.27,"Plumas, CA"
2013-06-15,13.85,0.84,4.2,226.91,0.0,0.33,"Plumas, CA"
2013-07-15,15.1,0.76,0.61,11.58,0.0,0.31,"Plumas, CA"
2013-09-15,7.84,0.77,3.51,17.81,0.0,0.27,"Plumas, CA"
2013-10-15,1.92,0.91,2.41,356.71,0.0,0.34,"Plumas, CA"
2013-11-15,-0.26,0.82,3.84,216.82,0.0,0.29,"Plumas, CA"
2013-12-15,-24.16,0.72,1.28,3.63,0.0,0.27,"Plumas, CA"
2014-01-15,-24.5,0.76,2.69,212.2,0.0,0.27,"Plumas, CA"
2014-02-15,-15.55,0.85,2.65,17.25,0.03,0.27,"Plumas, CA"
2014-03-15,-18.98,0.68,2.81,13.75,0.0,0.29,"Plumas, CA"
2014-04-15,-10.39,0.61,1.74,168.47,0.0,0.3,"Plumas, CA"
2014-05-15,-0.89,0.82,1.95,227.86,0.0,0.33,"Plumas, CA"
2014-06-15,12.33,0.94,2.91,54.15,0.37,0.37,"Plumas, CA"
2014-07-15,11.89,0.91,1.71,340.99,0.0,0.27,"Plumas, CA"
2014-08-15,18.8,0.89,2.04,210.67,0.0,0.2,"Plumas, CA"
2014-09-15,5.09,0.78,3.69,250.13,0.0,0.31,"Plumas, CA"
2014-10-15,11.17,0.56,5.33,201.06,0.0,0.28,"Plumas, CA"
2014-11-15,-14.52,0.76,2.08,287.35,0.0,0.27,"Plumas, CA"
2014-12-15,-5.34,0.9,6.71,345.31,0.03,0.27,"Plumas, CA"
2015-01-15,-0.62,0.86,3.04,346.33,0.01,0.28,"Plumas, CA"
2015-02-15,-22.91,0.76,3.6,144.86,0.25,0.33,"Plumas, CA"
2015-03-15,9.9,0.63,5.9,213.16,0.0,0.38,"Plumas, CA"
2015-05-15,3.59,0.88,2.82,293.04,0.0,0.29,"Plumas, CA"
2015-06-15,11.35,0.81,3.6,319.04,0.0,0.2,"Plumas, CA"
2015-07-15,17.81,0.95,1.19,243.73,0.0,0.3,"Plumas, CA"
2015-08-15,24.96,0.67,4.49,207.32,0.0,0.22,"Plumas, CA"
2015-09-15,8.86,0.93,2.1,58.02,0.0,0.22,"Plumas, CA"
2015-10-15,6.04,0.68,4.6,307.44,0.0,0.38,"Plumas, CA"
2015-11-15,4.41,0.73,1.94,96.69,0.0,0.33,"Plumas, CA"
2015-12-15,-6.05,0.96,1.76,25.32,0.0,0.31,"Plumas, CA"
2016-01-15,-20.01,0.77,3.26,347.14,0.0,0.3,"Plumas, CA"
2016-02-15,-4.39,0.87,3.31,278.0,0.0,0.35,"Plumas, CA"
2016-03-15,5.09,0.83,4.03,117.4,0.3,0.34,"Plumas, CA"
2016-04-15,5.48,0.84,3.67,41.02,0.64,0.34,"Plumas, CA"
2016-05-15,4.41,0.62,3.61,240.15,0.0,0.25,"Plumas, CA"
