Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.54,0.83,3.09,328.57,0.0,0.28
2013-03-15,5.69,0.88,6.7,218.99,0.18,0.26
2013-04-15,10.53,0.85,6.94,216.72,0.1,0.29
2013-09-15,12.34,0.79,7.32,225.0,0.02,0.24
2013-10-15,6.99,0.94,1.36,17.18,0.0,0.26
2013-11-15,4.46,0.88,2.3,357.18,0.0,0.28
2013-12-15,7.66,0.93,4.23,160.55,0.0,0.28
2014-01-15,9.3,0.94,6.03,207.96,0.04,0.3
2014-02-15,7.11,0.82,12.6,247.25,0.09,0.31
2014-04-15,8.35,0.71,3.45,98.22,0.0,0.24
2014-05-15,12.68,0.76,0.84,65.84,0.0,0.25
2014-08-15,13.65,0.79,3.96,325.28,0.0,0.26
2014-10-15,10.88,0.95,5.95,101.85,0.01,0.28
2014-11-15,7.35,0.99,2.04,88.2,0.0,0.29
2014-12-15,5.49,0.88,3.03,262.97,0.01,0.29
2015-01-15,6.41,0.71,7.52,234.17,0.0,0.31
2015-02-15,4.58,0.95,3.28,45.07,0.04,0.27
2015-03-15,4.69,0.87,5.74,45.73,0.01,0.27
2015-05-15,9.48,0.78,1.66,75.19,0.0,0.27
2015-09-15,13.45,0.9,5.5,280.32,0.08,0.3
2015-10-15,7.76,0.91,4.8,23.94,0.0,0.25
2015-11-15,13.63,0.88,11.37,244.84,0.03,0.29
2015-12-15,8.91,0.98,2.88,105.4,0.08,0.29
2016-01-15,2.63,0.82,6.06,315.85,0.0,0.28
2016-02-15,1.17,0.79,4.96,353.97,0.0,0.28
2016-03-15,3.79,0.82,4.85,51.13,0.0,0.26
2016-04-15,8.08,0.94,4.5,62.41,0.02,0.28
2016-05-15,10.67,0.7,2.41,308.57,0.0,0.22
2016-09-15,15.81,0.93,2.03,346.33,0.0,0.25
2016-10-15,10.48,0.9,3.38,212.02,0.0,0.22
2016-11-15,12.75,0.97,5.73,267.91,0.0,0.28
2016-12-15,9.89,0.97,3.93,162.36,0.01,0.28
2017-01-15,6.9,0.9,6.36,290.22,0.08,0.28
2017-02-15,8.02,0.97,3.59,149.72,0.15,0.27
2017-03-15,7.21,0.98,0.67,273.86,0.0,0.26
2018-01-15,9.74,0.95,8.13,241.69,1.29,0.31
2018-02-15,5.73,0.76,6.48,273.63,0.0,0.3
2018-03-15,7.45,0.96,4.05,152.82,0.45,0.3
2018-10-15,9.24,0.91,7.5,31.73,0.29,0.3
2018-11-15,8.78,0.96,3.03,136.38,0.0,0.28
2018-12-15,4.15,0.9,8.83,129.72,1.03,0.3
2019-01-15,8.27,0.92,5.26,247.85,0.01,0.25
2019-02-15,2.3,0.97,2.87,135.36,0.0,0.27
2019-03-15,10.85,0.9,12.02,261.84,0.02,0.29
2019-12-15,6.16,0.85,6.72,234.62,0.16,0.3
