Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.93,0.76,1.72,145.46,0.0,0.34
2013-02-15,8.76,0.78,1.51,20.81,0.0,0.21
2013-03-15,14.15,0.8,1.48,166.99,0.0,0.16
2013-04-15,15.15,0.46,3.25,235.5,0.0,0.14
2013-05-15,18.66,0.46,4.44,173.23,0.0,0.11
2013-06-15,19.73,0.44,2.13,177.52,0.0,0.13
2013-08-15,19.82,0.69,2.77,176.66,0.0,0.11
2013-09-15,16.71,0.73,3.34,178.33,0.0,0.12
2013-10-15,12.55,0.33,1.05,331.02,0.0,0.1
2013-11-15,9.99,0.77,0.8,173.61,0.0,0.06
2013-12-15,1.42,0.9,1.3,358.3,0.0,0.2
2014-01-15,4.53,0.71,1.53,61.69,0.0,0.13
2014-02-15,12.84,0.89,1.56,167.1,0.0,0.33
2014-03-15,11.86,0.84,1.15,352.81,0.0,0.25
2014-04-15,15.18,0.76,2.16,181.6,0.0,0.16
2014-05-15,21.54,0.31,1.12,160.15,0.0,0.12
2014-06-15,18.81,0.4,2.68,178.05,0.0,0.12
2014-07-15,22.89,0.5,2.04,207.72,0.0,0.12
2014-08-15,19.94,0.6,2.01,187.98,0.0,0.12
2014-09-15,21.85,0.54,1.92,195.45,0.0,0.08
2014-10-15,19.15,0.67,2.56,169.44,0.05,0.11
2014-11-15,12.19,0.9,1.44,176.34,0.0,0.18
2014-12-15,11.02,0.76,0.77,33.25,0.0,0.38
2015-01-15,6.09,0.92,0.55,56.99,0.0,0.27
2015-02-15,10.93,0.83,0.73,11.61,0.0,0.33
2015-03-15,19.0,0.74,2.11,139.42,0.0,0.18
2015-04-15,12.66,0.36,4.2,329.52,0.0,0.15
2015-05-15,13.73,0.69,1.92,160.35,0.0,0.14
2015-06-15,15.95,0.75,3.17,181.52,0.0,0.16
2015-07-15,18.81,0.76,2.74,193.26,0.0,0.13
2015-08-15,21.92,0.56,1.05,243.22,0.0,0.12
2015-10-15,21.68,0.57,1.86,162.44,0.0,0.13
2015-11-15,10.04,0.91,1.81,164.9,0.0,0.28
2015-12-15,4.74,0.67,3.34,340.83,0.0,0.34
2016-01-15,11.16,0.81,4.05,173.68,0.9,0.42
2016-02-15,16.67,0.61,4.87,347.42,0.0,0.28
2016-03-15,10.95,0.7,0.57,295.37,0.0,0.39
2016-04-15,12.36,0.52,2.95,313.44,0.0,0.23
2016-05-15,16.39,0.83,1.75,187.63,0.0,0.15
2016-08-15,22.04,0.51,2.7,195.81,0.0,0.11
2016-10-15,16.43,0.9,1.53,178.39,0.02,0.35
2016-11-15,13.94,0.99,1.74,178.22,0.0,0.24
2016-12-15,14.2,0.81,3.3,155.81,0.0,0.35
2017-01-15,5.37,0.9,0.35,246.62,0.0,0.38
2017-02-15,10.3,0.86,2.22,93.01,0.0,0.35
2017-03-15,15.84,0.93,1.64,157.72,0.0,0.28
2017-04-15,8.32,0.76,2.18,332.1,0.0,0.33
2017-05-15,14.16,0.6,1.73,184.69,0.0,0.12
2017-08-15,17.21,0.77,3.08,191.32,0.0,0.13
2017-09-15,17.91,0.67,1.9,163.54,0.0,0.13
2017-10-15,12.37,0.36,1.65,9.77,0.0,0.1
2017-11-15,13.05,0.68,1.14,139.58,0.02,0.24
2017-12-15,3.98,0.94,0.89,54.12,0.0,0.25
2018-01-15,9.78,0.94,1.82,313.07,0.0,0.35
2018-02-15,8.01,0.71,0.67,58.03,0.0,0.2
2018-03-15,8.18,0.81,2.03,168.56,0.02,0.38
2018-04-15,16.86,0.61,2.32,178.8,0.0,0.27
2018-05-15,14.89,0.64,3.09,176.7,0.0,0.12
2018-07-15,20.98,0.62,3.59,181.98,0.0,0.09
2018-08-15,17.99,0.71,3.25,182.73,0.0,0.1
2018-09-15,19.05,0.53,2.13,184.75,0.0,0.08
2018-10-15,16.64,0.2,4.63,348.93,0.0,0.12
2018-11-15,4.47,0.67,1.85,120.08,0.0,0.12
2018-12-15,12.3,0.87,1.21,108.56,0.05,0.3
2019-01-15,9.85,0.77,3.54,129.69,0.18,0.39
2019-02-15,10.94,0.79,6.16,180.44,1.12,0.43
2019-03-15,9.02,0.7,1.63,147.72,0.0,0.33
2019-04-15,15.07,0.48,3.53,183.97,0.0,0.26
2019-05-15,18.01,0.56,2.55,195.85,0.0,0.12
2019-06-15,18.16,0.69,3.88,186.79,0.0,0.12
2019-07-15,23.78,0.57,2.48,158.48,0.0,0.11
2019-09-15,22.07,0.53,2.9,177.6,0.0,0.07
2019-10-15,12.62,0.64,1.53,152.35,0.0,0.08
2019-11-15,11.63,0.84,1.42,146.06,0.0,0.06
2019-12-15,8.01,0.83,2.13,243.0,0.0,0.37
