Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,15.04,0.94,0.22,244.54,0.48,0.24
2013-02-15,7.85,1.29,1.16,73.17,0.0,0.3
2013-03-15,15.38,0.92,0.33,59.53,0.17,0.41
2013-04-15,15.87,0.85,0.7,59.49,0.0,0.31
2013-06-15,14.31,0.84,0.98,71.62,0.0,0.21
2013-07-15,13.69,0.68,0.92,72.6,0.0,0.17
2013-08-15,13.6,0.81,0.9,73.63,0.0,0.17
2013-09-15,13.39,0.85,0.46,60.26,0.1,0.17
2013-10-15,14.56,0.81,0.42,73.09,0.32,0.22
2013-11-15,13.56,0.81,0.75,62.64,0.0,0.18
2013-12-15,14.17,0.93,0.45,68.29,0.16,0.27
2014-01-15,16.16,0.9,0.35,32.77,0.26,0.28
2014-02-15,13.21,0.91,0.51,66.59,0.0,0.25
2014-03-15,14.91,0.92,0.44,43.14,0.0,0.35
2014-04-15,14.08,0.9,0.3,53.25,0.23,0.29
2014-05-15,15.25,0.88,0.85,66.94,0.69,0.26
2014-06-15,14.52,0.84,1.1,75.03,0.0,0.2
2014-07-15,12.35,0.65,1.2,70.67,0.0,0.14
2014-08-15,15.3,0.68,0.91,67.74,0.0,0.14
2014-09-15,14.22,0.85,0.98,61.77,0.35,0.22
2014-10-15,12.87,0.79,0.72,70.96,0.0,0.22
2014-11-15,14.24,0.79,0.57,51.31,0.0,0.19
2014-12-15,13.27,0.88,0.46,69.94,0.0,0.19
2015-01-15,14.38,0.86,0.85,69.75,0.0,0.25
2015-02-15,15.86,0.95,0.31,273.75,1.61,0.38
2015-03-15,14.48,0.95,0.37,75.64,0.31,0.37
2015-04-15,15.34,0.91,0.19,352.98,0.03,0.32
2015-05-15,15.89,0.9,0.82,67.27,0.63,0.33
2015-06-15,14.36,0.91,0.99,69.53,0.02,0.23
2015-08-15,13.6,0.78,0.63,61.03,0.08,0.17
2015-09-15,15.39,0.83,0.69,61.94,0.0,0.14
2015-11-15,14.01,0.87,0.64,58.32,0.04,0.23
2015-12-15,15.73,0.86,0.43,84.32,0.04,0.23
2016-01-15,13.49,0.94,0.59,69.33,0.0,0.2
2016-02-15,15.86,0.98,0.36,60.74,0.18,0.35
2016-03-15,15.07,0.98,0.43,266.61,0.04,0.35
2016-04-15,14.28,0.92,0.42,73.54,0.0,0.35
2016-05-15,15.05,0.83,0.84,69.44,0.0,0.21
2016-08-15,15.01,0.7,1.01,62.43,0.0,0.12
2016-09-15,14.5,0.75,0.56,72.33,0.06,0.14
2016-10-15,13.73,0.83,0.77,65.44,0.0,0.18
2016-11-15,11.08,0.74,0.95,68.07,0.0,0.14
2016-12-15,14.14,0.79,0.54,56.67,0.0,0.16
2017-01-15,13.91,0.98,0.27,284.36,0.16,0.39
2017-02-15,13.71,0.92,0.51,85.47,0.02,0.34
2017-03-15,14.88,0.98,0.69,64.06,0.6,0.43
2017-04-15,14.26,0.94,0.66,71.01,0.0,0.37
2017-06-15,11.51,0.85,0.88,70.98,0.0,0.21
2017-08-15,12.0,0.85,0.92,68.1,0.0,0.18
2017-09-15,13.89,0.81,0.31,65.15,0.32,0.22
2017-10-15,14.42,0.81,0.56,60.28,0.04,0.24
2017-12-15,13.81,0.86,0.48,66.88,0.0,0.22
2018-01-15,13.33,0.95,0.28,69.21,0.17,0.3
2018-02-15,15.21,0.96,0.25,104.67,0.43,0.29
2018-03-15,13.61,0.97,0.62,63.88,0.14,0.3
2018-04-15,12.05,0.96,0.61,73.23,0.01,0.31
2018-05-15,14.49,0.84,0.29,54.13,0.2,0.28
2018-08-15,13.38,0.74,0.61,70.96,0.0,0.14
2018-09-15,13.21,0.8,0.31,70.85,0.0,0.14
2018-10-15,12.94,0.79,0.7,73.34,0.0,0.16
2018-11-15,15.34,0.78,0.36,67.18,0.0,0.19
2018-12-15,15.56,0.91,0.47,60.84,0.58,0.27
2019-01-15,14.66,0.92,0.36,247.86,0.12,0.26
2019-02-15,15.69,0.97,0.28,264.75,0.04,0.38
2019-03-15,15.89,0.91,0.71,63.44,0.53,0.4
2019-04-15,14.6,0.86,0.78,68.1,0.02,0.3
2019-05-15,15.03,0.88,0.96,63.72,0.55,0.26
2019-06-15,13.0,0.76,1.01,70.95,0.01,0.18
2019-07-15,13.62,0.8,0.57,30.6,0.42,0.19
2019-08-15,13.69,0.49,0.83,69.4,0.0,0.13
2019-10-15,13.35,0.72,0.62,64.88,0.08,0.18
2019-11-15,13.7,0.86,0.04,288.86,0.0,0.21
2019-12-15,13.82,0.86,0.99,65.78,0.0,0.22
