Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-0.15,0.28,2.43,42.62,0.0,0.13
2013-02-15,6.6,0.42,2.48,42.41,0.0,0.12
2013-03-15,15.6,0.48,0.26,107.22,0.0,0.11
2013-10-15,11.86,0.39,2.26,40.95,0.0,0.1
2013-11-15,14.37,0.38,1.68,145.24,0.0,0.06
2013-12-15,7.4,0.31,3.15,43.1,0.0,0.07
2014-01-15,10.3,0.22,3.02,40.37,0.0,0.06
2014-02-15,13.25,0.32,0.6,68.19,0.0,0.07
2014-03-15,11.57,0.7,0.69,38.48,0.0,0.12
2014-05-15,17.55,0.14,1.67,53.89,0.0,0.07
2014-06-15,16.17,0.62,1.09,169.47,0.0,0.05
2014-07-15,21.34,0.77,0.71,204.88,0.0,0.18
2014-08-15,20.18,0.5,0.76,126.76,0.0,0.06
2014-09-15,25.3,0.4,0.75,88.25,0.0,0.07
2014-11-15,11.59,0.9,0.77,170.02,0.02,0.08
2014-12-15,4.93,0.81,1.86,61.8,0.0,0.31
2015-01-15,6.02,0.61,2.51,40.99,0.0,0.16
2015-02-15,13.69,0.35,0.84,97.6,0.0,0.07
2015-03-15,18.78,0.3,1.16,82.14,0.0,0.07
2015-04-15,12.8,0.36,1.43,37.08,0.0,0.07
2015-05-15,8.03,0.9,1.52,166.53,0.09,0.18
2015-09-15,18.95,0.83,1.3,165.57,0.02,0.07
2015-10-15,20.45,0.73,0.73,173.72,0.0,0.07
2015-11-15,10.1,0.26,0.89,106.2,0.0,0.06
2015-12-15,2.08,0.59,2.0,39.7,0.0,0.17
2016-01-15,8.08,0.79,0.81,173.3,0.02,0.25
2016-02-15,14.19,0.32,3.18,36.59,0.0,0.08
2016-03-15,10.73,0.85,0.97,34.68,0.0,0.2
2016-04-15,11.22,0.73,0.76,198.34,0.0,0.18
2016-05-15,13.19,0.83,1.35,185.47,0.02,0.09
2016-06-15,15.32,0.78,0.92,178.41,0.0,0.08
2016-07-15,20.97,0.5,0.61,165.39,0.0,0.07
2016-10-15,15.81,0.64,0.74,160.95,0.0,0.05
2016-11-15,13.09,0.26,0.62,72.77,0.0,0.07
2016-12-15,10.41,0.52,0.24,90.77,0.0,0.08
2017-01-15,7.45,0.79,1.47,47.78,0.0,0.36
2017-02-15,7.63,0.57,1.84,41.62,0.0,0.27
2017-03-15,15.2,0.51,0.18,51.03,0.0,0.12
2017-09-15,15.27,0.87,1.14,178.42,0.0,0.09
2018-01-15,10.16,0.57,1.58,60.39,0.0,0.2
2018-02-15,10.18,0.75,0.92,206.81,0.02,0.07
2018-03-15,8.65,0.85,2.02,186.62,0.38,0.22
2018-04-15,14.1,0.19,1.18,122.73,0.0,0.07
2018-05-15,12.23,0.82,0.88,166.13,0.0,0.08
2018-10-15,13.86,0.47,2.46,31.58,0.0,0.2
2018-12-15,10.34,0.42,0.88,71.87,0.0,0.19
2019-01-15,6.62,0.91,1.49,139.84,0.08,0.36
2019-02-15,7.67,0.87,1.53,195.2,0.04,0.42
2019-03-15,5.79,0.46,2.52,41.59,0.0,0.28
2019-04-15,11.56,0.53,1.15,133.1,0.0,0.08
2019-05-15,15.21,0.78,0.97,162.05,0.0,0.11
2019-06-15,16.51,0.71,0.33,215.37,0.0,0.08
2019-11-15,14.24,0.51,0.55,118.42,0.0,0.04
2019-12-15,9.95,0.87,1.37,224.04,0.17,0.29
