Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,6.9,0.53,2.98,109.12,0.0,0.09,"San Diego, CA"
2013-02-15,10.59,0.84,1.8,39.63,0.0,0.08,"San Diego, CA"
2013-03-15,13.41,0.89,1.31,277.5,0.0,0.1,"San Diego, CA"
2013-04-15,13.62,0.78,2.54,183.45,0.02,0.05,"San Diego, CA"
2013-06-15,15.7,0.84,1.44,201.6,0.0,0.05,"San Diego, CA"
2013-08-15,17.99,0.85,1.35,305.02,0.0,0.05,"San Diego, CA"
2013-11-15,15.41,0.84,2.51,145.23,0.0,0.04,"San Diego, CA"
2013-12-15,12.1,0.56,2.57,56.71,0.0,0.03,"San Diego, CA"
2014-01-15,14.4,0.42,2.64,63.47,0.0,0.02,"San Diego, CA"
2014-02-15,13.74,0.58,0.81,10.15,0.0,0.04,"San Diego, CA"
2014-04-15,13.83,0.79,1.14,258.73,0.0,0.05,"San Diego, CA"
2014-06-15,16.41,0.83,1.35,263.33,0.0,0.05,"San Diego, CA"
2014-09-15,23.25,0.82,1.53,306.08,0.0,0.04,"San Diego, CA"
2014-10-15,18.79,0.77,2.66,285.95,0.03,0.03,"San Diego, CA"
2014-11-15,16.92,0.77,0.35,159.24,0.0,0.04,"San Diego, CA"
2014-12-15,12.73,0.76,1.32,61.43,0.0,0.18,"San Diego, CA"
2015-01-15,12.84,0.74,1.96,19.43,0.0,0.08,"San Diego, CA"
2015-02-15,16.16,0.59,1.43,130.55,0.0,0.04,"San Diego, CA"
2015-03-15,20.32,0.44,3.05,68.35,0.0,0.03,"San Diego, CA"
2015-04-15,14.66,0.8,0.86,137.21,0.0,0.05,"San Diego, CA"
2015-05-15,14.53,0.88,2.65,211.93,0.22,0.12,"San Diego, CA"
2015-09-15,23.23,0.87,3.67,174.61,0.01,0.06,"San Diego, CA"
2015-10-15,22.41,0.92,2.95,268.97,0.01,0.04,"San Diego, CA"
2015-11-15,14.82,0.74,2.02,145.36,0.0,0.04,"San Diego, CA"
2015-12-15,9.9,0.65,1.69,14.29,0.0,0.09,"San Diego, CA"
2016-01-15,11.7,0.81,2.07,328.3,0.0,0.19,"San Diego, CA"
2016-02-15,14.5,0.61,2.12,63.68,0.0,0.04,"San Diego, CA"
2016-03-15,14.62,0.89,1.53,351.42,0.0,0.13,"San Diego, CA"
2016-04-15,14.34,0.78,2.08,164.49,0.0,0.12,"San Diego, CA"
2016-09-15,17.27,0.82,2.19,329.16,0.0,0.04,"San Diego, CA"
2016-10-15,16.81,0.89,2.02,312.94,0.0,0.04,"San Diego, CA"
2016-12-15,12.34,0.86,2.26,316.46,0.0,0.05,"San Diego, CA"
2017-01-15,12.75,0.91,3.3,122.08,0.0,0.24,"San Diego, CA"
2017-02-15,12.24,0.9,2.11,340.44,0.0,0.19,"San Diego, CA"
2017-03-15,16.23,0.84,2.11,342.9,0.0,0.12,"San Diego, CA"
2017-04-15,13.84,0.74,1.23,355.26,0.0,0.05,"San Diego, CA"
2017-11-15,15.95,0.77,1.42,337.38,0.0,0.05,"San Diego, CA"
2018-01-15,15.04,0.72,1.55,76.81,0.0,0.14,"San Diego, CA"
2018-02-15,14.84,0.84,1.85,261.19,0.07,0.07,"San Diego, CA"
2018-03-15,14.33,0.78,3.96,225.56,0.14,0.1,"San Diego, CA"
2018-04-15,16.82,0.41,1.54,336.86,0.0,0.04,"San Diego, CA"
2018-09-15,20.14,0.84,1.93,294.85,0.0,0.04,"San Diego, CA"
2018-10-15,18.49,0.87,2.72,332.76,0.0,0.18,"San Diego, CA"
2018-11-15,15.23,0.39,3.16,63.67,0.0,0.03,"San Diego, CA"
2018-12-15,15.17,0.64,1.55,61.87,0.0,0.19,"San Diego, CA"
2019-01-15,13.32,0.87,1.15,171.29,0.02,0.26,"San Diego, CA"
2019-02-15,13.36,0.82,3.72,279.65,0.06,0.28,"San Diego, CA"
2019-03-15,11.72,0.72,1.74,45.1,0.0,0.2,"San Diego, CA"
2019-04-15,13.75,0.89,2.16,306.56,0.0,0.05,"San Diego, CA"
2019-11-15,15.39,0.87,2.3,313.76,0.0,0.03,"San Diego, CA"
2019-12-15,14.49,0.83,3.58,277.42,0.02,0.21,"San Diego, CA"
