Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,21.16,0.95,1.44,17.53,0.0,0.31,"San Joaquin, CA"
2013-02-15,19.55,1.05,1.11,27.27,0.04,0.24,"San Joaquin, CA"
2013-03-15,21.97,0.94,1.95,21.57,0.07,0.34,"San Joaquin, CA"
2013-04-15,23.59,0.92,1.2,309.21,0.01,0.34,"San Joaquin, CA"
2013-06-15,23.29,0.92,1.95,160.65,0.2,0.4,"San Joaquin, CA"
2013-07-15,22.92,0.86,1.73,164.78,0.21,0.37,"San Joaquin, CA"
2013-08-15,22.94,0.86,0.99,150.45,0.03,0.37,"San Joaquin, CA"
2013-09-15,24.37,0.88,1.33,172.59,0.0,0.36,"San Joaquin, CA"
2013-10-15,23.52,0.89,0.56,152.78,0.0,0.36,"San Joaquin, CA"
2013-11-15,22.98,0.94,0.22,289.98,0.03,0.41,"San Joaquin, CA"
2013-12-15,21.49,0.92,0.93,52.02,0.0,0.39,"San Joaquin, CA"
2014-01-15,22.02,0.94,0.25,23.77,0.01,0.32,"San Joaquin, CA"
2014-02-15,21.04,0.92,1.08,9.32,0.0,0.27,"San Joaquin, CA"
2014-03-15,21.03,0.88,2.09,17.51,0.0,0.18,"San Joaquin, CA"
2014-04-15,21.82,0.97,0.95,347.11,0.19,0.32,"San Joaquin, CA"
2014-05-15,23.53,0.91,0.87,15.65,0.05,0.39,"San Joaquin, CA"
2014-06-15,23.83,0.85,0.58,217.08,0.3,0.38,"San Joaquin, CA"
2014-07-15,24.0,0.89,1.06,174.42,0.05,0.37,"San Joaquin, CA"
2014-08-15,22.55,0.91,1.18,163.08,0.37,0.39,"San Joaquin, CA"
2014-09-15,23.06,0.86,0.99,121.0,0.01,0.37,"San Joaquin, CA"
2014-10-15,23.95,0.87,1.32,174.64,0.0,0.36,"San Joaquin, CA"
2014-11-15,22.39,0.96,0.99,353.77,0.06,0.41,"San Joaquin, CA"
2014-12-15,22.07,0.95,1.21,347.77,0.0,0.36,"San Joaquin, CA"
2015-01-15,21.53,0.96,0.45,320.67,0.02,0.34,"San Joaquin, CA"
2015-02-15,22.68,0.94,1.6,353.39,0.02,0.37,"San Joaquin, CA"
2015-03-15,21.22,0.95,1.69,23.68,0.02,0.33,"San Joaquin, CA"
2015-04-15,22.68,0.93,0.51,343.2,0.02,0.38,"San Joaquin, CA"
2015-05-15,22.39,0.87,0.75,326.69,0.13,0.28,"San Joaquin, CA"
2015-07-15,23.5,0.93,0.23,213.54,0.07,0.39,"San Joaquin, CA"
2015-08-15,23.58,0.87,1.2,160.97,0.05,0.37,"San Joaquin, CA"
2015-09-15,24.13,0.83,1.11,168.56,0.0,0.38,"San Joaquin, CA"
2015-10-15,23.75,0.91,0.51,357.76,0.06,0.39,"San Joaquin, CA"
2015-11-15,23.88,0.86,0.64,214.39,0.0,0.38,"San Joaquin, CA"
2015-12-15,23.38,0.92,0.44,315.92,0.03,0.35,"San Joaquin, CA"
2016-01-15,21.82,0.89,1.68,21.78,0.0,0.3,"San Joaquin, CA"
2016-02-15,21.91,0.99,1.06,354.43,0.0,0.24,"San Joaquin, CA"
2016-03-15,22.22,0.96,0.64,333.86,0.01,0.19,"San Joaquin, CA"
2016-04-15,21.92,0.94,0.77,336.77,0.37,0.36,"San Joaquin, CA"
2016-05-15,25.28,0.89,1.1,174.48,0.56,0.38,"San Joaquin, CA"
2016-06-15,22.61,0.9,1.4,179.22,0.01,0.38,"San Joaquin, CA"
2016-07-15,24.04,0.9,0.69,33.61,0.12,0.39,"San Joaquin, CA"
2016-09-15,23.74,0.91,0.61,222.11,0.03,0.39,"San Joaquin, CA"
2016-10-15,22.46,0.97,0.34,290.77,0.04,0.38,"San Joaquin, CA"
2016-11-15,21.83,0.91,1.66,9.62,0.0,0.38,"San Joaquin, CA"
2016-12-15,21.32,0.98,0.2,214.68,0.0,0.38,"San Joaquin, CA"
2017-01-15,18.86,0.92,1.74,5.55,0.0,0.35,"San Joaquin, CA"
2017-02-15,19.93,0.91,1.37,16.18,0.0,0.26,"San Joaquin, CA"
2017-03-15,19.79,0.96,2.02,16.65,0.02,0.32,"San Joaquin, CA"
2017-04-15,22.62,0.9,1.01,192.01,3.12,0.42,"San Joaquin, CA"
2017-05-15,21.97,0.98,0.98,211.37,1.4,0.4,"San Joaquin, CA"
2017-06-15,22.52,0.91,1.65,169.07,0.0,0.4,"San Joaquin, CA"
2017-07-15,21.44,0.92,1.08,134.21,0.2,0.35,"San Joaquin, CA"
2017-08-15,22.93,0.94,0.75,355.84,0.0,0.37,"San Joaquin, CA"
2017-09-15,24.24,0.85,1.4,171.52,0.0,0.38,"San Joaquin, CA"
2017-10-15,22.46,0.9,0.8,179.33,0.38,0.37,"San Joaquin, CA"
2017-11-15,22.44,0.93,1.29,201.2,0.02,0.37,"San Joaquin, CA"
2017-12-15,21.55,0.92,1.11,28.99,0.0,0.36,"San Joaquin, CA"
2018-01-15,21.81,0.91,0.91,357.85,0.0,0.37,"San Joaquin, CA"
2018-02-15,18.98,0.97,1.92,17.23,0.02,0.34,"San Joaquin, CA"
2018-03-15,23.57,0.94,0.84,207.69,0.0,0.25,"San Joaquin, CA"
2018-04-15,22.46,0.87,0.34,175.84,0.35,0.37,"San Joaquin, CA"
2018-05-15,23.37,0.89,0.79,79.5,0.15,0.4,"San Joaquin, CA"
2018-07-15,23.02,0.88,0.71,139.41,0.0,0.37,"San Joaquin, CA"
2018-08-15,22.96,0.9,1.8,167.5,0.58,0.41,"San Joaquin, CA"
2018-09-15,22.26,0.91,1.18,169.2,0.0,0.36,"San Joaquin, CA"
2018-10-15,21.71,0.98,0.84,23.26,0.0,0.4,"San Joaquin, CA"
2018-11-15,23.15,0.95,0.8,330.88,0.01,0.4,"San Joaquin, CA"
2018-12-15,21.38,0.92,0.26,33.94,0.1,0.31,"San Joaquin, CA"
2019-01-15,19.66,0.95,1.32,15.16,0.0,0.2,"San Joaquin, CA"
2019-02-15,22.67,0.93,0.95,189.73,0.0,0.14,"San Joaquin, CA"
2019-03-15,21.33,0.97,1.29,348.96,0.01,0.19,"San Joaquin, CA"
2019-04-15,22.05,0.98,1.5,11.81,0.02,0.17,"San Joaquin, CA"
2019-05-15,23.2,0.89,1.29,191.41,0.0,0.36,"San Joaquin, CA"
2019-06-15,22.95,0.87,0.33,235.82,0.04,0.37,"San Joaquin, CA"
2019-08-15,22.01,0.9,1.77,171.59,0.14,0.33,"San Joaquin, CA"
2019-10-15,22.41,0.94,0.48,0.61,0.01,0.37,"San Joaquin, CA"
