Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,3.78,0.72,2.16,34.0,0.0,0.25,"San Luis Obispo, CA"
2013-02-15,9.37,0.75,2.83,54.58,0.0,0.2,"San Luis Obispo, CA"
2013-03-15,13.84,0.84,1.58,16.49,0.0,0.19,"San Luis Obispo, CA"
2013-04-15,11.24,0.67,4.36,319.99,0.0,0.13,"San Luis Obispo, CA"
2013-08-15,17.28,0.61,1.41,12.46,0.0,0.12,"San Luis Obispo, CA"
2013-10-15,13.73,0.54,2.58,39.38,0.0,0.11,"San Luis Obispo, CA"
2013-12-15,7.34,0.6,3.37,52.2,0.0,0.17,"San Luis Obispo, CA"
2014-01-15,10.24,0.55,3.78,49.55,0.0,0.11,"San Luis Obispo, CA"
2014-02-15,12.93,0.7,1.57,348.71,0.0,0.19,"San Luis Obispo, CA"
2014-03-15,11.91,0.7,2.01,36.49,0.0,0.19,"San Luis Obispo, CA"
2014-04-15,14.19,0.73,0.61,10.04,0.0,0.15,"San Luis Obispo, CA"
2014-05-15,21.39,0.31,1.56,46.99,0.0,0.11,"San Luis Obispo, CA"
2014-06-15,15.27,0.67,0.29,242.63,0.0,0.12,"San Luis Obispo, CA"
2014-08-15,16.59,0.85,0.35,302.02,0.0,0.11,"San Luis Obispo, CA"
2014-09-15,19.65,0.61,1.11,358.18,0.0,0.12,"San Luis Obispo, CA"
2014-10-15,17.01,0.81,2.04,164.16,0.0,0.11,"San Luis Obispo, CA"
2014-11-15,13.91,0.82,1.99,5.12,0.0,0.16,"San Luis Obispo, CA"
2014-12-15,10.64,0.83,2.65,152.85,0.0,0.28,"San Luis Obispo, CA"
2015-01-15,9.87,0.83,1.44,28.01,0.0,0.2,"San Luis Obispo, CA"
2015-02-15,14.5,0.77,1.18,40.1,0.0,0.19,"San Luis Obispo, CA"
2015-03-15,19.69,0.45,0.51,45.02,0.0,0.14,"San Luis Obispo, CA"
2015-04-15,13.28,0.31,3.51,0.55,0.0,0.14,"San Luis Obispo, CA"
2015-05-15,9.74,0.96,1.36,170.56,0.03,0.15,"San Luis Obispo, CA"
2015-09-15,17.39,0.91,1.11,293.33,0.16,0.15,"San Luis Obispo, CA"
2015-10-15,19.69,0.89,1.72,243.11,0.02,0.14,"San Luis Obispo, CA"
2015-11-15,10.1,0.89,0.88,128.82,0.0,0.17,"San Luis Obispo, CA"
2015-12-15,5.57,0.67,1.8,25.01,0.0,0.19,"San Luis Obispo, CA"
2016-01-15,10.52,0.77,1.19,194.38,0.02,0.26,"San Luis Obispo, CA"
2016-02-15,16.7,0.59,3.61,28.92,0.0,0.21,"San Luis Obispo, CA"
2016-03-15,12.32,0.72,2.35,17.11,0.0,0.28,"San Luis Obispo, CA"
2016-04-15,12.16,0.68,4.98,331.87,0.0,0.17,"San Luis Obispo, CA"
2016-07-15,16.03,0.83,0.46,263.7,0.0,0.13,"San Luis Obispo, CA"
2016-09-15,13.75,0.9,1.66,350.72,0.0,0.13,"San Luis Obispo, CA"
2016-10-15,16.08,0.93,0.49,144.94,0.03,0.13,"San Luis Obispo, CA"
2016-11-15,14.19,0.82,2.0,308.4,0.0,0.16,"San Luis Obispo, CA"
2016-12-15,12.48,0.94,1.16,223.19,0.0,0.21,"San Luis Obispo, CA"
2017-01-15,8.08,0.89,2.67,29.32,0.0,0.3,"San Luis Obispo, CA"
2017-02-15,11.2,0.9,1.3,23.84,0.0,0.29,"San Luis Obispo, CA"
2017-03-15,15.9,0.8,0.57,346.16,0.0,0.21,"San Luis Obispo, CA"
2017-04-15,11.49,0.5,3.17,19.82,0.0,0.21,"San Luis Obispo, CA"
2017-11-15,12.98,0.84,2.34,18.79,0.0,0.13,"San Luis Obispo, CA"
2017-12-15,10.35,0.56,2.26,48.17,0.0,0.12,"San Luis Obispo, CA"
2018-01-15,14.23,0.66,2.15,70.49,0.0,0.23,"San Luis Obispo, CA"
2018-02-15,11.25,0.53,3.29,345.69,0.0,0.12,"San Luis Obispo, CA"
2018-03-15,9.48,0.84,2.71,310.48,0.0,0.28,"San Luis Obispo, CA"
2018-04-15,14.31,0.73,0.62,154.39,0.0,0.16,"San Luis Obispo, CA"
2018-08-15,16.96,0.86,1.25,285.32,0.0,0.12,"San Luis Obispo, CA"
2018-11-15,11.32,0.46,2.76,47.76,0.0,0.13,"San Luis Obispo, CA"
2018-12-15,9.51,0.95,0.68,60.38,0.0,0.25,"San Luis Obispo, CA"
2019-01-15,10.96,0.83,5.55,151.93,0.61,0.32,"San Luis Obispo, CA"
2019-02-15,9.25,0.8,1.89,184.3,0.05,0.33,"San Luis Obispo, CA"
2019-03-15,10.72,0.75,1.85,44.59,0.0,0.27,"San Luis Obispo, CA"
2019-04-15,12.15,0.9,1.11,229.95,0.0,0.18,"San Luis Obispo, CA"
2019-08-15,18.57,0.76,0.54,70.57,0.0,0.13,"San Luis Obispo, CA"
2019-11-15,11.69,0.88,1.58,359.69,0.0,0.14,"San Luis Obispo, CA"
2019-12-15,9.82,0.78,3.97,319.59,0.0,0.27,"San Luis Obispo, CA"
