Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,6.1,0.57,0.78,349.96,0.0,0.1
2013-02-15,10.05,0.68,2.54,18.97,0.0,0.08
2013-03-15,14.43,0.73,1.51,357.77,0.0,0.09
2013-04-15,11.11,0.82,0.35,245.83,0.0,0.07
2013-06-15,16.24,0.7,0.66,170.15,0.0,0.07
2013-07-15,21.63,0.32,3.88,321.42,0.0,0.06
2013-08-15,18.76,0.54,2.6,102.76,0.0,0.07
2013-09-15,19.19,0.6,1.79,353.88,0.0,0.06
2013-10-15,13.75,0.58,2.42,21.23,0.0,0.06
2013-11-15,15.29,0.52,3.93,329.24,0.0,0.06
2013-12-15,10.43,0.51,2.68,23.45,0.0,0.07
2014-01-15,13.14,0.36,3.29,31.3,0.0,0.04
2014-02-15,14.52,0.33,2.55,336.45,0.0,0.05
2014-03-15,13.53,0.45,3.52,0.22,0.0,0.09
2014-04-15,14.63,0.66,1.93,340.12,0.0,0.07
2014-06-15,16.69,0.53,0.41,69.93,0.0,0.06
2014-07-15,19.35,0.86,1.89,135.88,0.13,0.07
2014-08-15,17.67,0.68,0.73,10.97,0.0,0.06
2014-09-15,22.57,0.48,2.77,333.8,0.0,0.06
2014-10-15,16.85,0.77,1.82,193.14,0.05,0.05
2014-11-15,14.58,0.66,1.54,9.84,0.0,0.07
2014-12-15,11.51,0.74,2.81,120.93,0.0,0.19
2015-01-15,10.58,0.76,1.99,1.17,0.0,0.11
2015-02-15,14.38,0.74,1.56,349.35,0.0,0.09
2015-03-15,19.76,0.38,1.07,310.49,0.0,0.05
2015-04-15,14.14,0.19,4.54,353.67,0.0,0.06
2015-05-15,10.2,0.86,1.31,103.45,0.01,0.09
2015-07-15,18.5,0.69,2.07,316.48,0.0,0.05
2015-09-15,19.52,0.91,1.69,148.41,0.23,0.06
2015-11-15,14.4,0.51,0.43,44.14,0.0,0.06
2015-12-15,7.75,0.41,5.03,338.35,0.0,0.07
2016-01-15,10.68,0.72,3.08,316.42,0.0,0.15
2016-02-15,16.09,0.52,3.91,23.27,0.0,0.07
2016-03-15,12.8,0.77,4.1,343.99,0.0,0.15
2016-04-15,13.47,0.55,5.43,313.48,0.0,0.11
2016-05-15,14.93,0.82,2.58,317.97,0.0,0.08
2016-07-15,19.1,0.7,1.38,300.83,0.0,0.07
2016-10-15,16.29,0.77,2.93,306.13,0.0,0.06
2016-11-15,14.81,0.55,2.28,326.71,0.0,0.07
2016-12-15,13.6,0.72,0.82,264.4,0.0,0.07
2017-01-15,9.96,0.73,2.96,356.62,0.0,0.2
2017-02-15,11.26,0.84,1.54,9.19,0.0,0.17
2017-03-15,16.68,0.54,0.93,320.86,0.0,0.09
2017-04-15,12.18,0.39,3.36,11.12,0.0,0.07
2017-06-15,17.45,0.64,1.77,359.64,0.0,0.06
2017-08-15,17.34,0.79,2.85,289.12,0.0,0.07
2017-10-15,17.71,0.31,2.13,41.35,0.0,0.06
2017-11-15,14.51,0.62,2.52,358.89,0.0,0.07
2018-02-15,10.14,0.74,2.63,348.9,0.0,0.05
2018-04-15,14.53,0.42,2.05,328.07,0.0,0.07
2018-06-15,17.35,0.65,0.45,307.07,0.0,0.06
2018-10-15,15.98,0.76,0.83,338.47,0.0,0.07
2018-11-15,12.78,0.46,2.13,14.47,0.0,0.06
2018-12-15,12.31,0.62,1.32,340.4,0.0,0.1
2019-01-15,9.64,0.82,4.25,108.22,0.16,0.24
2019-02-15,9.53,0.8,2.31,289.3,0.0,0.24
2019-03-15,9.83,0.69,2.08,16.2,0.0,0.16
2019-04-15,11.87,0.77,1.72,304.14,0.0,0.07
2019-05-15,14.37,0.82,1.53,286.38,0.0,0.09
2019-06-15,16.78,0.71,2.14,284.62,0.0,0.07
2019-08-15,20.12,0.63,1.27,311.47,0.0,0.06
2019-12-15,10.67,0.71,6.09,316.88,0.0,0.13
