Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,7.12,0.67,2.62,13.66,0.0,0.06,"Santa Cruz, CA"
2013-02-15,9.07,0.95,2.96,45.16,0.0,0.04,"Santa Cruz, CA"
2013-03-15,11.45,0.76,4.53,327.23,0.0,0.04,"Santa Cruz, CA"
2013-04-15,9.7,0.89,4.07,283.26,0.05,0.04,"Santa Cruz, CA"
2013-05-15,11.95,0.8,4.79,301.62,0.0,0.04,"Santa Cruz, CA"
2013-06-15,12.01,0.91,3.15,278.61,0.0,0.04,"Santa Cruz, CA"
2013-07-15,13.17,0.94,2.86,275.35,0.0,0.04,"Santa Cruz, CA"
2013-08-15,15.0,0.95,3.25,304.54,0.0,0.04,"Santa Cruz, CA"
2013-09-15,14.43,0.92,4.11,300.33,0.01,0.04,"Santa Cruz, CA"
2013-10-15,13.35,0.7,3.59,12.36,0.0,0.04,"Santa Cruz, CA"
2013-11-15,13.27,0.67,5.85,310.76,0.0,0.04,"Santa Cruz, CA"
2013-12-15,9.34,0.77,3.68,23.7,0.0,0.04,"Santa Cruz, CA"
2014-01-15,11.26,0.7,3.44,36.7,0.0,0.04,"Santa Cruz, CA"
2014-02-15,11.13,0.97,2.22,328.8,0.0,0.05,"Santa Cruz, CA"
2014-03-15,12.62,0.91,3.13,333.88,0.0,0.04,"Santa Cruz, CA"
2014-04-15,12.9,0.92,2.99,319.19,0.0,0.04,"Santa Cruz, CA"
2014-05-15,15.82,0.61,3.8,340.43,0.0,0.04,"Santa Cruz, CA"
2014-06-15,12.7,0.86,3.65,297.53,0.0,0.04,"Santa Cruz, CA"
2014-07-15,16.14,0.79,0.29,157.73,0.0,0.04,"Santa Cruz, CA"
2014-08-15,15.42,0.9,1.94,267.64,0.0,0.04,"Santa Cruz, CA"
2014-09-15,16.38,0.91,1.78,311.38,0.0,0.04,"Santa Cruz, CA"
2014-10-15,15.53,0.94,5.05,201.45,0.19,0.03,"Santa Cruz, CA"
2014-11-15,14.19,0.88,2.32,335.62,0.0,0.04,"Santa Cruz, CA"
2014-12-15,12.27,0.77,4.56,111.77,0.22,0.07,"Santa Cruz, CA"
2015-01-15,12.41,0.86,1.47,347.48,0.0,0.05,"Santa Cruz, CA"
2015-02-15,14.49,0.86,1.45,336.86,0.0,0.06,"Santa Cruz, CA"
2015-03-15,15.92,0.74,1.43,125.08,0.0,0.04,"Santa Cruz, CA"
2015-04-15,10.6,0.8,5.2,337.55,0.0,0.04,"Santa Cruz, CA"
2015-05-15,10.81,0.89,2.03,287.87,0.04,0.04,"Santa Cruz, CA"
2015-06-15,12.94,0.95,3.26,294.99,0.0,0.04,"Santa Cruz, CA"
