Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,0.9,0.61,2.49,359.28,0.0,0.44,"Shasta, CA"
2013-02-15,4.45,0.67,3.37,2.33,0.0,0.38,"Shasta, CA"
2013-03-15,9.38,0.82,1.67,332.87,0.0,0.38,"Shasta, CA"
2013-04-15,8.71,0.55,1.8,312.23,0.0,0.37,"Shasta, CA"
2013-05-15,18.85,0.44,1.66,315.44,0.0,0.26,"Shasta, CA"
2013-06-15,17.04,0.32,1.44,337.52,0.0,0.24,"Shasta, CA"
2013-10-15,11.87,0.4,3.57,0.38,0.0,0.34,"Shasta, CA"
2013-12-15,1.67,0.77,2.32,356.33,0.0,0.45,"Shasta, CA"
2014-01-15,5.34,0.52,3.43,355.76,0.0,0.42,"Shasta, CA"
2014-02-15,12.22,0.92,2.62,195.3,0.59,0.51,"Shasta, CA"
2014-03-15,9.4,0.64,2.51,350.3,0.0,0.44,"Shasta, CA"
2014-04-15,15.51,0.34,0.23,243.67,0.0,0.35,"Shasta, CA"
2014-06-15,19.03,0.25,1.63,330.25,0.0,0.23,"Shasta, CA"
2014-10-15,13.6,0.86,5.48,171.55,1.27,0.33,"Shasta, CA"
2014-11-15,9.15,0.9,0.58,266.33,0.03,0.47,"Shasta, CA"
2014-12-15,6.41,0.78,1.18,1.71,0.08,0.48,"Shasta, CA"
2015-01-15,4.63,0.8,1.47,348.29,0.0,0.41,"Shasta, CA"
2015-02-15,10.72,0.57,3.17,352.17,0.0,0.45,"Shasta, CA"
2015-03-15,13.52,0.69,1.28,335.08,0.0,0.33,"Shasta, CA"
2015-04-15,6.7,0.53,2.74,348.16,0.0,0.38,"Shasta, CA"
2015-05-15,11.28,0.67,1.38,217.74,0.0,0.28,"Shasta, CA"
2015-06-15,22.83,0.42,1.07,119.85,0.0,0.26,"Shasta, CA"
2015-10-15,17.97,0.49,0.89,347.92,0.0,0.26,"Shasta, CA"
2015-11-15,8.23,0.74,2.21,168.11,0.0,0.4,"Shasta, CA"
2015-12-15,0.72,0.83,2.16,346.97,0.0,0.48,"Shasta, CA"
2016-01-15,4.53,0.93,1.2,287.69,1.17,0.51,"Shasta, CA"
2016-02-15,11.07,0.83,2.34,344.47,0.0,0.41,"Shasta, CA"
2016-03-15,4.74,0.78,1.19,323.45,0.0,0.49,"Shasta, CA"
2016-04-15,7.54,0.7,0.95,271.51,0.0,0.46,"Shasta, CA"
2016-10-15,13.35,0.89,3.08,182.21,0.23,0.51,"Shasta, CA"
2016-11-15,13.01,0.89,0.49,146.19,0.03,0.45,"Shasta, CA"
2016-12-15,10.59,0.94,5.76,179.55,4.48,0.52,"Shasta, CA"
2017-01-15,2.8,0.73,2.39,0.95,0.0,0.47,"Shasta, CA"
2017-02-15,8.78,0.67,0.48,25.18,0.0,0.46,"Shasta, CA"
2017-03-15,13.19,0.73,0.82,345.6,0.0,0.43,"Shasta, CA"
2017-05-15,11.44,0.58,2.11,334.18,0.0,0.27,"Shasta, CA"
2017-11-15,8.11,0.83,0.44,6.79,0.0,0.48,"Shasta, CA"
2017-12-15,5.27,0.68,2.2,357.01,0.0,0.42,"Shasta, CA"
2018-01-15,8.88,0.78,1.55,2.4,0.0,0.47,"Shasta, CA"
2018-02-15,4.54,0.62,2.7,347.49,0.0,0.38,"Shasta, CA"
2018-04-15,13.75,0.67,0.98,243.4,0.05,0.45,"Shasta, CA"
2018-05-15,17.68,0.6,1.62,165.12,0.0,0.28,"Shasta, CA"
2018-11-15,5.99,0.37,2.55,354.11,0.0,0.23,"Shasta, CA"
2018-12-15,5.31,0.93,1.5,333.94,0.02,0.5,"Shasta, CA"
2019-01-15,6.8,0.78,0.91,4.41,0.22,0.46,"Shasta, CA"
2019-02-15,4.74,0.9,3.99,199.55,0.92,0.52,"Shasta, CA"
2019-03-15,7.99,0.46,2.8,0.72,0.0,0.45,"Shasta, CA"
2019-04-15,11.75,0.68,1.21,290.37,0.0,0.42,"Shasta, CA"
2019-05-15,15.27,0.79,1.07,30.57,0.1,0.29,"Shasta, CA"
2019-11-15,10.85,0.73,0.57,16.31,0.02,0.25,"Shasta, CA"
2019-12-15,3.79,0.92,0.91,259.57,0.0,0.49,"Shasta, CA"
