Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,-5.54,0.61,0.42,130.5,0.0,0.34,"Siskiyou, CA"
2013-02-15,-0.33,0.82,0.92,104.29,0.0,0.31,"Siskiyou, CA"
2013-03-15,6.92,0.63,0.24,83.57,0.0,0.24,"Siskiyou, CA"
2013-04-15,2.83,0.73,1.79,340.76,0.04,0.23,"Siskiyou, CA"
2013-05-15,11.7,0.51,1.51,3.3,0.0,0.19,"Siskiyou, CA"
2013-06-15,13.96,0.29,0.83,27.08,0.0,0.15,"Siskiyou, CA"
2013-09-15,16.29,0.49,1.08,158.26,0.0,0.16,"Siskiyou, CA"
2013-10-15,3.73,0.56,1.28,84.93,0.0,0.2,"Siskiyou, CA"
2013-11-15,1.16,0.85,1.62,1.76,0.01,0.17,"Siskiyou, CA"
2013-12-15,-2.53,0.72,0.74,132.8,0.0,0.27,"Siskiyou, CA"
2014-01-15,-1.57,0.51,0.7,118.87,0.0,0.34,"Siskiyou, CA"
2014-02-15,8.15,0.94,2.47,177.06,0.29,0.44,"Siskiyou, CA"
2014-03-15,3.16,0.73,0.89,135.0,0.0,0.36,"Siskiyou, CA"
2014-04-15,7.58,0.77,0.97,325.93,0.0,0.24,"Siskiyou, CA"
2014-05-15,13.24,0.49,0.67,181.99,0.0,0.19,"Siskiyou, CA"
2014-06-15,10.09,0.48,1.46,347.84,0.0,0.14,"Siskiyou, CA"
2014-10-15,9.65,0.87,2.86,192.98,2.64,0.32,"Siskiyou, CA"
2014-11-15,5.68,0.9,1.16,236.77,0.0,0.34,"Siskiyou, CA"
2014-12-15,1.91,0.83,2.06,134.74,0.01,0.4,"Siskiyou, CA"
2015-01-15,0.56,0.7,1.92,141.06,0.07,0.35,"Siskiyou, CA"
2015-03-15,9.88,0.73,2.07,150.13,0.0,0.31,"Siskiyou, CA"
2015-04-15,-0.3,0.82,1.87,353.67,0.0,0.28,"Siskiyou, CA"
2015-05-15,8.0,0.77,1.09,289.98,0.0,0.26,"Siskiyou, CA"
2015-06-15,19.43,0.39,0.48,61.14,0.0,0.17,"Siskiyou, CA"
2015-09-15,10.24,0.51,1.0,335.82,0.07,0.22,"Siskiyou, CA"
2015-11-15,4.76,0.77,3.32,161.82,0.0,0.25,"Siskiyou, CA"
2015-12-15,-3.64,0.91,0.81,351.2,0.02,0.38,"Siskiyou, CA"
2016-01-15,0.56,0.87,1.02,197.67,0.44,0.38,"Siskiyou, CA"
2016-02-15,6.75,0.91,1.15,153.14,0.01,0.33,"Siskiyou, CA"
2016-03-15,0.63,0.72,0.54,191.8,0.0,0.41,"Siskiyou, CA"
2016-04-15,1.94,0.88,1.07,310.97,0.09,0.36,"Siskiyou, CA"
2016-10-15,9.58,0.81,2.68,179.57,0.11,0.36,"Siskiyou, CA"
2016-11-15,11.32,0.89,3.33,168.63,0.64,0.34,"Siskiyou, CA"
2016-12-15,6.71,0.88,4.09,192.44,3.41,0.45,"Siskiyou, CA"
2017-01-15,-4.7,0.85,0.82,122.92,0.0,0.39,"Siskiyou, CA"
2017-02-15,6.8,0.45,2.86,157.08,0.0,0.37,"Siskiyou, CA"
2017-03-15,9.64,0.71,2.5,164.95,0.0,0.33,"Siskiyou, CA"
2017-04-15,-0.18,0.83,0.73,60.84,0.0,0.4,"Siskiyou, CA"
2017-05-15,4.37,0.83,1.45,356.04,0.0,0.28,"Siskiyou, CA"
2017-09-15,10.03,0.43,1.66,10.32,0.0,0.18,"Siskiyou, CA"
2017-10-15,4.5,0.33,1.08,106.53,0.0,0.14,"Siskiyou, CA"
2017-11-15,3.38,0.88,2.76,180.76,0.0,0.34,"Siskiyou, CA"
2017-12-15,-1.27,0.71,0.77,134.83,0.0,0.33,"Siskiyou, CA"
2018-01-15,4.77,0.7,2.08,135.98,0.0,0.35,"Siskiyou, CA"
2018-02-15,-0.48,0.83,1.2,337.78,0.01,0.29,"Siskiyou, CA"
2018-03-15,-4.17,0.89,2.06,157.49,0.0,0.39,"Siskiyou, CA"
2018-04-15,7.98,0.78,0.49,300.76,0.11,0.34,"Siskiyou, CA"
2018-08-15,19.5,0.41,1.04,140.48,0.0,0.16,"Siskiyou, CA"
2018-09-15,12.3,0.42,1.03,13.81,0.0,0.14,"Siskiyou, CA"
2018-11-15,-2.27,0.51,0.69,128.49,0.0,0.17,"Siskiyou, CA"
2018-12-15,-0.73,0.9,1.39,156.64,0.0,0.37,"Siskiyou, CA"
2019-01-15,1.69,0.72,1.64,123.95,0.0,0.37,"Siskiyou, CA"
2019-02-15,0.77,0.78,2.33,207.96,0.94,0.42,"Siskiyou, CA"
2019-03-15,1.83,0.69,0.76,114.55,0.0,0.37,"Siskiyou, CA"
2019-04-15,3.83,0.72,1.42,325.19,0.0,0.36,"Siskiyou, CA"
2019-05-15,11.44,0.89,1.14,108.54,0.21,0.22,"Siskiyou, CA"
2019-08-15,19.4,0.5,1.43,11.83,0.0,0.18,"Siskiyou, CA"
2019-10-15,5.93,0.51,1.19,141.04,0.0,0.17,"Siskiyou, CA"
2019-11-15,5.4,0.79,2.54,167.5,0.0,0.14,"Siskiyou, CA"
2019-12-15,0.72,0.87,0.84,263.38,0.0,0.38,"Siskiyou, CA"
