Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,3.21,0.37,2.19,19.92,0.0,0.07
2013-02-15,10.86,0.45,2.24,22.75,0.0,0.06
2013-03-15,16.08,0.5,0.86,107.91,0.0,0.06
2013-04-15,11.82,0.89,1.26,186.9,0.07,0.07
2013-05-15,16.35,0.73,1.47,137.08,0.0,0.05
2013-07-15,20.93,0.7,1.02,121.2,0.0,0.06
2013-08-15,18.85,0.67,0.45,104.93,0.0,0.06
2013-09-15,20.92,0.57,0.91,107.72,0.0,0.05
2013-10-15,15.33,0.38,2.33,24.98,0.0,0.06
2013-11-15,16.92,0.46,1.86,103.92,0.0,0.05
2013-12-15,9.8,0.34,2.81,21.93,0.0,0.05
2014-01-15,13.44,0.19,3.02,21.87,0.0,0.03
2014-02-15,13.9,0.37,0.79,61.77,0.0,0.03
2014-03-15,12.86,0.79,0.98,77.31,0.0,0.1
2014-04-15,14.94,0.46,0.6,95.65,0.0,0.06
2014-05-15,20.61,0.17,1.98,32.51,0.0,0.05
2014-07-15,21.07,0.74,0.94,169.14,4.34,0.07
2014-08-15,19.41,0.68,0.08,43.8,0.0,0.05
2014-09-15,24.96,0.51,1.5,75.22,0.0,0.03
2014-10-15,18.63,0.74,0.85,189.66,0.0,0.03
2014-11-15,14.61,0.87,0.56,74.3,0.0,0.06
2014-12-15,8.48,0.83,1.99,31.79,0.0,0.34
2015-01-15,9.93,0.58,2.48,25.56,0.0,0.07
2015-02-15,15.88,0.41,0.64,97.32,0.0,0.05
2015-03-15,20.93,0.27,1.57,46.18,0.0,0.05
2015-04-15,14.65,0.24,1.58,35.38,0.0,0.05
2015-05-15,11.07,0.89,1.69,117.64,0.11,0.17
2015-06-15,17.9,0.8,0.35,204.49,0.0,0.07
2015-08-15,24.48,0.38,0.86,86.44,0.0,0.05
2015-09-15,22.28,0.81,0.84,161.46,0.03,0.05
2015-10-15,22.41,0.84,0.53,149.47,0.01,0.06
2015-11-15,11.73,0.54,1.64,62.45,0.0,0.04
2015-12-15,5.99,0.52,2.68,3.11,0.0,0.08
2016-01-15,9.63,0.84,1.52,68.68,0.0,0.24
2016-02-15,18.97,0.2,2.82,19.99,0.0,0.06
2016-03-15,12.31,0.85,1.37,42.95,0.0,0.19
2016-04-15,13.89,0.61,0.93,336.65,0.0,0.13
2016-05-15,15.29,0.82,2.02,162.06,0.06,0.07
2016-06-15,15.9,0.81,0.94,176.37,0.01,0.06
2016-08-15,23.66,0.61,0.53,98.02,0.0,0.06
2016-09-15,15.83,0.81,0.08,52.41,0.0,0.06
2016-10-15,16.24,0.8,0.78,129.2,0.0,0.04
2016-11-15,15.41,0.4,0.71,68.84,0.0,0.05
2016-12-15,12.6,0.74,0.04,70.23,0.0,0.06
2017-01-15,10.04,0.82,2.24,30.63,0.0,0.35
2017-02-15,11.17,0.79,1.56,46.72,0.0,0.3
2017-03-15,16.25,0.65,0.97,69.45,0.0,0.07
2017-04-15,12.19,0.54,1.15,53.61,0.0,0.05
2017-05-15,13.03,0.82,2.04,165.39,0.15,0.06
2017-07-15,21.42,0.72,0.58,48.19,0.0,0.06
2017-08-15,18.53,0.84,1.62,167.6,0.01,0.06
2017-11-15,14.0,0.55,0.9,45.08,0.0,0.05
2017-12-15,12.97,0.29,2.79,23.77,0.0,0.04
2018-01-15,14.54,0.63,1.79,47.16,0.0,0.25
2018-02-15,11.91,0.77,0.5,79.62,0.0,0.06
2018-03-15,12.14,0.86,1.44,149.89,1.0,0.27
2018-04-15,15.38,0.32,1.28,90.15,0.0,0.06
2018-05-15,14.14,0.81,0.62,202.44,0.0,0.07
2018-06-15,19.09,0.71,0.61,161.95,0.0,0.06
2018-07-15,22.21,0.73,1.12,168.6,0.0,0.06
2018-09-15,20.93,0.52,1.0,112.08,0.0,0.06
2018-12-15,11.83,0.71,1.27,21.08,0.0,0.18
2019-01-15,10.06,0.9,1.81,67.13,0.01,0.39
2019-02-15,10.99,0.83,0.57,205.55,0.03,0.41
2019-03-15,9.59,0.53,2.37,23.08,0.0,0.27
2019-04-15,12.92,0.66,0.24,125.57,0.0,0.06
2019-05-15,16.11,0.82,0.93,153.51,0.0,0.07
2019-11-15,14.64,0.76,0.33,190.77,0.0,0.04
2019-12-15,11.09,0.8,1.38,341.69,0.0,0.29
