Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,3.95,0.68,1.54,315.05,0.0,0.35,"Sonoma, CA"
2013-02-15,11.85,0.61,2.01,29.76,0.0,0.27,"Sonoma, CA"
2013-03-15,11.45,0.71,1.79,279.57,0.0,0.25,"Sonoma, CA"
2013-04-15,9.99,0.66,4.37,278.52,0.0,0.2,"Sonoma, CA"
2013-08-15,18.12,0.8,1.92,250.02,0.0,0.14,"Sonoma, CA"
2013-09-15,14.44,0.87,2.45,254.32,0.0,0.13,"Sonoma, CA"
2013-12-15,4.47,0.7,1.52,33.98,0.0,0.2,"Sonoma, CA"
2014-01-15,8.11,0.41,1.74,18.7,0.0,0.14,"Sonoma, CA"
2014-02-15,12.17,0.94,1.21,238.58,0.0,0.35,"Sonoma, CA"
2014-03-15,12.61,0.88,1.66,322.27,0.0,0.3,"Sonoma, CA"
2014-04-15,11.23,0.98,1.66,250.54,0.0,0.27,"Sonoma, CA"
2014-05-15,17.34,0.54,1.8,291.44,0.0,0.15,"Sonoma, CA"
2014-06-15,14.74,0.63,2.08,263.53,0.0,0.16,"Sonoma, CA"
2014-07-15,16.17,0.76,1.4,244.95,0.0,0.16,"Sonoma, CA"
2014-08-15,15.46,0.87,1.46,211.36,0.0,0.15,"Sonoma, CA"
2014-09-15,17.25,0.8,1.68,252.95,0.0,0.15,"Sonoma, CA"
2014-10-15,16.81,0.82,3.17,199.26,0.13,0.14,"Sonoma, CA"
2014-11-15,11.4,0.94,1.65,282.11,0.0,0.22,"Sonoma, CA"
2014-12-15,10.9,0.85,2.62,75.36,0.53,0.4,"Sonoma, CA"
2015-01-15,7.44,0.9,1.77,59.51,0.0,0.31,"Sonoma, CA"
2015-02-15,12.19,0.82,1.57,344.71,0.0,0.36,"Sonoma, CA"
2015-03-15,18.47,0.79,1.77,237.96,0.0,0.27,"Sonoma, CA"
2015-04-15,10.45,0.68,2.92,321.74,0.0,0.22,"Sonoma, CA"
2015-05-15,10.2,0.91,1.47,253.73,0.03,0.16,"Sonoma, CA"
2015-06-15,13.0,0.93,1.9,227.74,0.0,0.18,"Sonoma, CA"
2015-07-15,16.52,0.89,1.6,201.21,0.0,0.15,"Sonoma, CA"
2015-08-15,19.68,0.65,1.01,256.77,0.0,0.14,"Sonoma, CA"
2015-09-15,15.2,0.81,2.13,233.69,0.0,0.13,"Sonoma, CA"
2015-10-15,18.23,0.83,1.68,262.41,0.0,0.14,"Sonoma, CA"
2015-11-15,11.38,0.92,2.4,158.62,0.0,0.25,"Sonoma, CA"
2015-12-15,5.44,0.84,2.57,342.1,0.0,0.36,"Sonoma, CA"
2016-01-15,12.53,0.89,3.64,269.46,0.08,0.42,"Sonoma, CA"
2016-02-15,15.66,0.72,3.55,353.93,0.0,0.3,"Sonoma, CA"
2016-03-15,9.43,0.71,2.37,307.57,0.0,0.39,"Sonoma, CA"
2016-04-15,9.8,0.73,4.17,303.9,0.0,0.32,"Sonoma, CA"
2016-05-15,13.82,0.92,2.7,283.35,0.0,0.24,"Sonoma, CA"
2016-06-15,12.48,0.64,3.63,272.59,0.0,0.15,"Sonoma, CA"
2016-07-15,15.56,0.83,1.67,215.11,0.0,0.16,"Sonoma, CA"
2016-08-15,14.87,0.84,1.79,230.33,0.0,0.16,"Sonoma, CA"
2016-10-15,12.2,0.94,0.43,290.92,0.0,0.32,"Sonoma, CA"
2016-11-15,13.96,1.0,1.5,269.81,0.0,0.29,"Sonoma, CA"
2016-12-15,14.3,0.91,4.72,180.16,0.12,0.39,"Sonoma, CA"
2017-01-15,5.3,0.97,1.43,322.59,0.0,0.38,"Sonoma, CA"
