Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,2.36,0.71,1.57,162.54,0.0,0.32,"Stanislaus, CA"
2013-02-15,8.8,0.83,0.26,55.82,0.0,0.22,"Stanislaus, CA"
2013-03-15,17.54,0.52,2.27,320.72,0.0,0.16,"Stanislaus, CA"
2013-04-15,13.52,0.56,2.42,298.37,0.0,0.14,"Stanislaus, CA"
2013-05-15,19.65,0.46,1.79,276.15,0.0,0.13,"Stanislaus, CA"
2013-06-15,20.87,0.36,1.65,318.79,0.0,0.14,"Stanislaus, CA"
2013-08-15,19.94,0.54,2.14,307.77,0.0,0.13,"Stanislaus, CA"
2013-09-15,18.59,0.58,2.19,333.14,0.0,0.12,"Stanislaus, CA"
2013-10-15,12.5,0.43,0.93,296.08,0.0,0.12,"Stanislaus, CA"
2013-11-15,9.38,0.86,1.94,288.19,0.0,0.12,"Stanislaus, CA"
2013-12-15,3.21,0.79,1.03,312.13,0.0,0.2,"Stanislaus, CA"
2014-01-15,6.9,0.59,0.26,198.74,0.0,0.15,"Stanislaus, CA"
2014-02-15,12.32,0.91,1.58,336.1,0.0,0.24,"Stanislaus, CA"
2014-03-15,14.33,0.69,2.78,314.81,0.0,0.17,"Stanislaus, CA"
2014-04-15,17.83,0.5,1.82,312.45,0.0,0.14,"Stanislaus, CA"
2014-06-15,21.07,0.27,1.61,302.8,0.0,0.13,"Stanislaus, CA"
2014-07-15,27.37,0.36,2.07,315.6,0.0,0.15,"Stanislaus, CA"
2014-08-15,22.89,0.45,2.11,315.27,0.0,0.13,"Stanislaus, CA"
2014-09-15,24.92,0.44,1.84,309.66,0.0,0.13,"Stanislaus, CA"
2014-10-15,18.31,0.58,1.37,199.94,0.0,0.11,"Stanislaus, CA"
2014-11-15,12.88,0.86,1.6,299.46,0.0,0.24,"Stanislaus, CA"
2014-12-15,9.69,0.82,1.37,139.88,0.01,0.37,"Stanislaus, CA"
2015-01-15,5.9,0.95,0.58,26.74,0.0,0.27,"Stanislaus, CA"
2015-02-15,11.42,0.89,0.35,285.36,0.0,0.33,"Stanislaus, CA"
2015-03-15,18.85,0.61,1.55,151.15,0.0,0.19,"Stanislaus, CA"
2015-04-15,13.37,0.49,5.22,311.65,0.0,0.17,"Stanislaus, CA"
2015-05-15,13.77,0.8,1.31,253.56,0.03,0.21,"Stanislaus, CA"
2015-06-15,20.57,0.52,2.23,315.76,0.0,0.14,"Stanislaus, CA"
2015-08-15,21.53,0.52,2.25,314.57,0.0,0.13,"Stanislaus, CA"
2015-09-15,20.32,0.84,2.22,289.34,0.0,0.16,"Stanislaus, CA"
2015-10-15,24.52,0.5,2.06,334.21,0.0,0.14,"Stanislaus, CA"
2015-11-15,8.75,0.84,1.09,283.01,0.0,0.27,"Stanislaus, CA"
2015-12-15,5.11,0.71,3.43,313.71,0.0,0.31,"Stanislaus, CA"
2016-01-15,11.91,0.74,3.16,145.46,0.07,0.37,"Stanislaus, CA"
2016-02-15,14.67,0.76,1.43,340.98,0.0,0.27,"Stanislaus, CA"
2016-03-15,10.59,0.74,2.92,310.94,0.0,0.39,"Stanislaus, CA"
2016-04-15,12.17,0.59,4.44,306.88,0.0,0.25,"Stanislaus, CA"
2016-05-15,17.22,0.73,3.53,317.26,0.0,0.16,"Stanislaus, CA"
2016-07-15,23.95,0.37,1.87,308.76,0.0,0.14,"Stanislaus, CA"
2016-09-15,17.57,0.61,1.93,308.96,0.0,0.12,"Stanislaus, CA"
2016-10-15,18.7,0.85,1.23,145.98,0.01,0.19,"Stanislaus, CA"
2016-11-15,13.4,0.97,0.58,288.36,0.0,0.18,"Stanislaus, CA"
2016-12-15,13.04,0.84,1.39,128.5,0.0,0.32,"Stanislaus, CA"
2017-01-15,5.19,0.89,0.98,298.55,0.0,0.38,"Stanislaus, CA"
2017-02-15,11.74,0.84,0.54,158.74,0.0,0.37,"Stanislaus, CA"
2017-03-15,16.67,0.93,1.22,301.26,0.0,0.27,"Stanislaus, CA"
2017-04-15,10.61,0.62,2.84,309.73,0.0,0.23,"Stanislaus, CA"
2017-05-15,13.13,0.56,2.05,292.48,0.0,0.13,"Stanislaus, CA"
2017-08-15,20.54,0.6,2.58,300.49,0.0,0.12,"Stanislaus, CA"
2017-11-15,12.65,0.66,1.19,343.91,0.0,0.2,"Stanislaus, CA"
2017-12-15,6.5,0.72,0.58,43.5,0.0,0.13,"Stanislaus, CA"
2018-01-15,11.03,0.88,1.62,165.54,0.01,0.34,"Stanislaus, CA"
2018-02-15,8.25,0.7,2.11,338.19,0.0,0.17,"Stanislaus, CA"
2018-03-15,8.35,0.86,1.02,326.71,0.01,0.34,"Stanislaus, CA"
2018-04-15,17.79,0.64,1.54,313.9,0.0,0.22,"Stanislaus, CA"
2018-06-15,22.22,0.35,1.69,287.7,0.0,0.13,"Stanislaus, CA"
2018-07-15,25.65,0.43,2.38,334.66,0.0,0.13,"Stanislaus, CA"
2018-08-15,20.63,0.56,2.56,329.09,0.0,0.14,"Stanislaus, CA"
2018-09-15,19.37,0.47,2.12,315.03,0.0,0.12,"Stanislaus, CA"
2018-10-15,16.45,0.31,0.41,327.53,0.0,0.13,"Stanislaus, CA"
2018-11-15,6.24,0.58,0.02,92.0,0.0,0.15,"Stanislaus, CA"
2018-12-15,8.95,0.84,0.55,91.53,0.0,0.32,"Stanislaus, CA"
2019-01-15,9.93,0.78,3.8,133.68,0.0,0.36,"Stanislaus, CA"
2019-02-15,11.02,0.71,5.12,146.93,0.07,0.41,"Stanislaus, CA"
2019-03-15,8.74,0.71,0.49,278.9,0.0,0.34,"Stanislaus, CA"
2019-04-15,15.42,0.49,1.56,315.01,0.0,0.21,"Stanislaus, CA"
2019-05-15,19.03,0.49,2.65,317.89,0.0,0.12,"Stanislaus, CA"
2019-08-15,27.78,0.34,2.03,312.63,0.0,0.12,"Stanislaus, CA"
2019-11-15,13.24,0.78,2.41,333.5,0.0,0.12,"Stanislaus, CA"
2019-12-15,9.49,0.76,2.52,280.72,0.0,0.36,"Stanislaus, CA"
