Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.34,0.62,0.77,345.88,0.0,0.33
2013-02-15,6.77,0.58,1.88,352.57,0.0,0.24
2013-03-15,12.03,0.74,0.81,294.15,0.0,0.19
2013-04-15,11.13,0.46,3.58,315.65,0.0,0.13
2013-06-15,19.15,0.21,0.19,280.2,0.0,0.11
2013-10-15,14.14,0.29,2.51,347.44,0.0,0.11
2013-11-15,11.96,0.35,3.03,325.11,0.0,0.07
2013-12-15,2.62,0.63,0.27,8.76,0.0,0.19
2014-02-15,14.98,0.79,3.75,157.67,0.0,0.31
2014-03-15,12.85,0.57,1.09,340.95,0.0,0.28
2014-04-15,18.41,0.38,0.35,83.56,0.0,0.15
2014-05-15,20.54,0.25,0.23,51.5,0.0,0.12
2014-07-15,30.21,0.25,1.6,100.09,0.0,0.1
2014-08-15,24.57,0.32,2.24,133.23,0.0,0.11
2014-09-15,25.35,0.31,0.51,52.25,0.0,0.09
2014-10-15,17.45,0.7,6.36,155.28,0.35,0.13
2014-11-15,10.13,0.87,0.27,332.01,0.0,0.24
2014-12-15,7.73,0.88,1.07,329.11,0.14,0.39
2015-01-15,5.78,0.77,0.24,43.53,0.0,0.3
2015-02-15,12.44,0.61,1.14,329.15,0.0,0.35
2015-03-15,16.37,0.72,0.25,69.61,0.0,0.19
2015-04-15,10.94,0.38,4.21,335.96,0.0,0.18
2015-05-15,12.84,0.63,2.42,158.51,0.0,0.13
2015-09-15,18.8,0.66,2.33,136.87,0.28,0.13
2015-10-15,19.68,0.41,0.33,41.02,0.0,0.11
2015-11-15,11.08,0.7,4.16,156.0,0.0,0.22
2015-12-15,3.06,0.66,2.01,344.48,0.0,0.37
2016-01-15,8.33,0.89,1.61,154.86,0.35,0.43
2016-02-15,15.17,0.63,2.44,342.07,0.0,0.29
2016-03-15,7.18,0.76,0.58,326.31,0.0,0.4
2016-04-15,7.83,0.67,1.5,330.54,0.0,0.25
2016-05-15,18.62,0.54,1.81,336.56,0.0,0.13
2016-10-15,15.52,0.79,3.5,148.25,0.0,0.31
2016-11-15,13.53,0.76,0.89,131.14,0.0,0.29
2016-12-15,13.13,0.88,8.79,157.3,0.8,0.42
2017-01-15,4.47,0.72,0.63,16.65,0.0,0.38
2017-02-15,10.73,0.66,0.58,137.22,0.0,0.36
2017-03-15,15.41,0.73,0.57,101.16,0.0,0.29
2017-04-15,7.18,0.71,1.15,324.49,0.0,0.37
2017-05-15,13.62,0.52,1.87,328.84,0.0,0.13
2017-09-15,18.87,0.73,1.19,36.51,0.0,0.12
2017-12-15,6.85,0.64,0.3,352.15,0.0,0.25
2018-01-15,10.27,0.81,0.37,304.69,0.0,0.34
2018-02-15,8.49,0.46,4.28,333.18,0.0,0.2
2018-03-15,5.64,0.88,0.9,174.04,0.0,0.39
2018-04-15,16.07,0.6,0.35,237.71,0.0,0.28
2018-08-15,24.92,0.39,1.55,152.76,0.0,0.11
2018-12-15,9.13,0.9,0.2,250.95,0.04,0.33
2019-01-15,8.15,0.82,1.17,35.81,0.28,0.37
2019-02-15,8.39,0.84,6.0,168.41,0.5,0.43
2019-03-15,9.52,0.44,0.98,18.29,0.0,0.33
2019-04-15,15.1,0.63,1.07,274.44,0.0,0.31
2019-07-15,27.74,0.33,0.77,316.69,0.0,0.11
2019-08-15,28.27,0.27,0.92,316.02,0.0,0.12
2019-12-15,4.12,0.92,0.97,313.62,0.0,0.39
