Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,-8.05,0.8,1.88,31.07,0.0,0.39,"Trinity, CA"
2013-02-15,3.91,0.63,3.45,312.55,0.0,0.37,"Trinity, CA"
2013-03-15,0.76,0.87,1.78,177.18,0.0,0.37,"Trinity, CA"
2013-04-15,16.38,0.72,4.58,174.18,0.0,0.33,"Trinity, CA"
2013-05-15,22.76,0.48,5.68,236.01,0.0,0.32,"Trinity, CA"
2013-06-15,21.09,0.65,3.16,166.94,0.0,0.26,"Trinity, CA"
2013-07-15,24.28,0.77,2.21,110.43,0.0,0.22,"Trinity, CA"
2013-08-15,12.32,0.81,1.42,94.78,0.0,0.26,"Trinity, CA"
2013-09-15,13.22,0.6,3.15,168.85,0.0,0.17,"Trinity, CA"
2013-10-15,16.14,0.81,4.12,148.5,0.01,0.24,"Trinity, CA"
2013-11-15,6.18,0.5,3.26,198.97,0.0,0.33,"Trinity, CA"
2013-12-15,-4.25,0.84,3.87,293.09,0.0,0.35,"Trinity, CA"
2014-01-15,-2.63,0.57,5.3,305.24,0.0,0.38,"Trinity, CA"
2014-02-15,-10.68,0.76,4.11,322.07,0.0,0.38,"Trinity, CA"
2014-03-15,2.15,0.75,0.91,260.6,0.0,0.36,"Trinity, CA"
2014-04-15,0.59,0.64,5.02,323.19,0.0,0.37,"Trinity, CA"
2014-05-15,7.82,0.91,4.37,299.86,0.13,0.42,"Trinity, CA"
2014-06-15,17.83,0.7,4.77,151.55,0.0,0.34,"Trinity, CA"
2014-09-15,13.15,0.7,2.33,156.95,0.0,0.34,"Trinity, CA"
2014-10-15,11.22,0.96,5.05,308.25,0.61,0.42,"Trinity, CA"
2014-11-15,-5.89,0.77,1.47,106.83,0.0,0.34,"Trinity, CA"
2014-12-15,9.94,0.9,4.75,145.74,0.0,0.36,"Trinity, CA"
2015-01-15,-3.95,0.6,2.14,189.54,0.0,0.39,"Trinity, CA"
2015-02-15,-11.52,0.44,3.34,34.75,0.0,0.35,"Trinity, CA"
2015-03-15,4.63,0.77,2.02,312.63,0.0,0.4,"Trinity, CA"
2015-04-15,13.48,0.48,2.94,74.96,0.0,0.38,"Trinity, CA"
2015-05-15,19.13,0.84,3.22,195.79,0.0,0.41,"Trinity, CA"
2015-10-15,10.03,0.75,1.67,54.57,0.0,0.2,"Trinity, CA"
2015-11-15,8.68,0.55,3.36,211.86,0.0,0.29,"Trinity, CA"
2015-12-15,5.86,0.81,2.68,279.29,0.0,0.4,"Trinity, CA"
2016-01-15,8.96,0.71,5.14,194.31,0.01,0.37,"Trinity, CA"
2016-02-15,-3.66,0.88,2.61,169.45,0.0,0.34,"Trinity, CA"
2016-03-15,13.29,0.87,3.65,133.78,0.0,0.38,"Trinity, CA"
2016-04-15,13.21,0.57,2.99,96.64,0.0,0.36,"Trinity, CA"
2016-05-15,6.14,0.79,2.73,289.34,0.0,0.36,"Trinity, CA"
2016-06-15,25.48,0.82,3.53,202.46,0.0,0.25,"Trinity, CA"
2016-07-15,23.31,0.77,2.52,291.77,0.05,0.36,"Trinity, CA"
2016-08-15,20.23,0.94,4.85,85.99,2.71,0.43,"Trinity, CA"
2016-09-15,21.22,0.92,2.22,58.17,0.02,0.36,"Trinity, CA"
2016-10-15,14.17,0.93,3.52,178.82,0.0,0.31,"Trinity, CA"
2016-11-15,8.14,0.89,2.75,317.72,0.0,0.32,"Trinity, CA"
2016-12-15,-7.31,0.46,3.58,315.33,0.0,0.36,"Trinity, CA"
2017-01-15,0.21,0.87,1.61,34.36,0.0,0.4,"Trinity, CA"
2017-02-15,4.59,0.6,5.38,334.4,0.0,0.35,"Trinity, CA"
2017-03-15,-6.63,0.59,2.79,338.13,0.0,0.35,"Trinity, CA"
2017-04-15,19.66,0.66,3.74,191.81,0.0,0.32,"Trinity, CA"
2017-05-15,17.11,0.75,2.47,199.1,0.0,0.34,"Trinity, CA"
2017-06-15,22.96,0.83,2.82,172.61,0.03,0.3,"Trinity, CA"
2017-07-15,21.49,0.74,2.61,40.74,0.0,0.3,"Trinity, CA"
2017-11-15,9.57,0.75,4.18,174.0,2.44,0.35,"Trinity, CA"
2017-12-15,-3.0,0.75,1.66,273.13,0.0,0.31,"Trinity, CA"
2018-01-15,-3.82,0.71,4.47,185.99,0.17,0.37,"Trinity, CA"
2018-02-15,10.99,0.94,3.18,206.49,0.0,0.36,"Trinity, CA"
2018-03-15,7.83,0.41,5.48,250.14,0.0,0.35,"Trinity, CA"
2018-04-15,5.36,0.69,3.36,252.27,0.0,0.38,"Trinity, CA"
