Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,1.66,0.71,1.62,17.3,0.0,0.29
2013-02-15,4.83,1.07,1.14,314.25,0.0,0.24
2013-03-15,18.5,0.58,2.03,309.15,0.0,0.21
2013-04-15,15.72,0.44,4.93,321.72,0.0,0.16
2013-05-15,22.24,0.36,0.83,255.82,0.0,0.13
2013-06-15,23.44,0.18,1.53,313.19,0.0,0.12
2013-07-15,28.27,0.15,1.8,251.25,0.0,0.12
2013-10-15,13.1,0.37,1.41,321.09,0.0,0.12
2013-11-15,13.07,0.54,1.37,273.71,0.0,0.14
2013-12-15,3.67,0.7,0.72,288.74,0.0,0.2
2014-01-15,7.23,0.54,0.36,284.46,0.0,0.16
2014-02-15,11.58,0.68,0.44,0.67,0.0,0.23
2014-03-15,12.93,0.56,1.1,295.92,0.0,0.16
2014-04-15,16.86,0.39,1.27,311.73,0.0,0.15
2014-05-15,21.83,0.28,0.85,296.35,0.0,0.15
2014-06-15,21.95,0.14,1.59,304.14,0.0,0.12
2014-07-15,29.6,0.36,1.09,200.02,0.0,0.12
2014-08-15,25.58,0.23,1.41,242.89,0.0,0.12
2014-09-15,26.9,0.25,1.52,326.06,0.0,0.11
2014-10-15,19.97,0.49,1.79,248.47,0.0,0.11
2014-11-15,13.17,0.75,1.21,251.71,0.0,0.2
2014-12-15,8.04,0.85,1.11,219.97,0.0,0.33
2015-01-15,7.24,0.86,1.41,338.95,0.0,0.22
2015-02-15,13.33,0.88,1.01,329.48,0.0,0.23
2015-03-15,20.41,0.49,1.01,33.75,0.0,0.18
2015-04-15,13.28,0.24,1.91,298.29,0.0,0.15
2015-05-15,13.15,0.87,1.19,140.03,0.9,0.22
2015-06-15,26.59,0.24,2.23,299.03,0.0,0.14
2015-08-15,26.97,0.26,2.37,313.18,0.0,0.1
2015-09-15,24.09,0.52,1.06,224.99,0.0,0.1
2015-10-15,24.62,0.48,1.23,144.84,0.01,0.09
2015-11-15,9.89,0.62,0.94,232.14,0.0,0.23
2015-12-15,4.81,0.68,1.77,145.76,0.0,0.33
2016-01-15,10.64,0.75,2.04,196.6,0.0,0.33
2016-02-15,13.32,0.86,1.36,191.96,0.0,0.29
2016-03-15,11.24,0.71,1.34,288.88,0.0,0.35
2016-04-15,14.16,0.53,4.84,321.25,0.0,0.2
2016-05-15,20.5,0.55,4.76,320.27,0.0,0.14
2016-07-15,27.48,0.25,1.88,289.93,0.0,0.12
2016-09-15,18.73,0.36,1.77,312.79,0.0,0.1
2016-11-15,12.99,0.53,1.34,319.79,0.0,0.15
2016-12-15,13.67,0.67,1.1,277.16,0.0,0.24
2017-01-15,7.3,0.86,1.38,282.85,0.0,0.38
2017-02-15,10.35,0.89,1.0,7.12,0.0,0.36
2017-03-15,17.5,0.72,0.46,280.27,0.0,0.27
2017-04-15,9.8,0.61,1.53,275.55,0.0,0.24
2017-10-15,14.76,0.42,1.27,336.42,0.0,0.12
2017-11-15,12.74,0.76,0.8,240.69,0.0,0.13
2017-12-15,6.69,0.67,0.56,359.44,0.0,0.19
2018-01-15,12.43,0.75,0.22,0.44,0.0,0.26
2018-03-15,10.95,0.85,1.65,283.53,0.21,0.34
2018-04-15,15.76,0.67,0.35,4.81,0.0,0.23
2018-06-15,24.45,0.24,1.23,216.41,0.0,0.12
2018-09-15,23.89,0.27,2.44,309.11,0.0,0.1
2018-11-15,7.43,0.41,1.34,314.26,0.0,0.12
2018-12-15,8.36,0.8,0.51,274.65,0.0,0.31
2019-01-15,6.63,0.94,0.58,171.47,0.0,0.38
2019-02-15,11.05,0.79,2.52,168.72,0.14,0.41
2019-03-15,9.53,0.76,1.32,319.28,0.0,0.32
2019-04-15,18.75,0.55,1.32,283.62,0.0,0.18
2019-05-15,20.88,0.43,1.32,308.59,0.0,0.21
2019-07-15,29.02,0.23,3.1,324.38,0.0,0.13
2019-10-15,16.29,0.27,0.61,326.49,0.0,0.11
2019-11-15,14.8,0.59,1.93,290.57,0.0,0.12
2019-12-15,10.58,0.7,2.58,312.43,0.05,0.32
