Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.01,0.62,2.32,69.71,0.0,0.38
2013-02-15,0.1,0.84,4.28,64.43,0.0,0.33
2013-03-15,10.22,0.76,1.53,55.64,0.0,0.29
2013-04-15,8.15,0.72,0.72,216.74,0.0,0.3
2013-05-15,14.27,0.71,0.86,50.09,0.0,0.21
2013-07-15,19.22,0.44,1.52,49.03,0.0,0.15
2013-09-15,15.97,0.58,1.18,55.69,0.0,0.12
2013-10-15,6.57,0.55,2.85,62.89,0.0,0.21
2013-11-15,9.55,0.47,0.72,55.01,0.0,0.16
2013-12-15,-1.25,0.89,1.1,59.09,0.0,0.28
2014-01-15,6.91,0.38,4.27,62.03,0.0,0.24
2014-02-15,7.62,0.54,2.13,68.72,0.0,0.38
2014-03-15,6.82,0.67,2.95,48.84,0.0,0.33
2014-04-15,8.81,0.83,1.19,58.2,0.0,0.29
2014-05-15,15.37,0.5,2.67,53.98,0.0,0.23
2014-07-15,22.44,0.47,1.39,50.82,0.0,0.18
2014-08-15,17.19,0.57,1.52,52.8,0.0,0.15
2014-10-15,14.06,0.69,1.72,161.22,0.0,0.15
2014-11-15,6.6,0.85,1.75,56.82,0.0,0.34
2014-12-15,5.04,0.8,1.0,67.38,0.01,0.42
2015-01-15,1.78,0.89,1.73,59.13,0.0,0.33
2015-02-15,9.24,0.6,1.57,60.26,0.0,0.37
2015-03-15,15.09,0.55,2.98,73.59,0.0,0.33
2015-04-15,5.17,0.52,2.94,43.66,0.0,0.31
2015-05-15,6.73,0.97,1.03,63.88,0.28,0.35
2015-06-15,15.19,0.7,1.72,56.86,0.0,0.2
2015-10-15,18.18,0.49,1.19,49.85,0.0,0.17
2015-11-15,8.78,0.4,2.56,96.62,0.0,0.36
2015-12-15,-3.56,0.65,3.87,57.17,0.0,0.41
2016-01-15,6.79,0.8,3.39,149.26,1.19,0.45
2016-02-15,10.48,0.55,3.82,64.43,0.0,0.33
2016-03-15,4.44,0.77,1.98,47.23,0.0,0.42
2016-04-15,6.09,0.79,1.86,354.1,0.0,0.35
2016-06-15,12.29,0.59,0.25,58.52,0.0,0.17
2016-08-15,20.91,0.36,1.87,56.17,0.0,0.13
2016-10-15,14.5,0.86,2.61,131.65,0.38,0.43
2016-11-15,7.41,0.75,2.37,59.95,0.0,0.32
2016-12-15,10.34,0.54,2.12,116.15,0.0,0.4
2017-01-15,1.28,0.85,0.95,57.26,0.0,0.41
2017-02-15,6.86,0.65,3.29,63.25,0.0,0.39
2017-03-15,11.36,0.54,2.97,64.55,0.0,0.33
2017-04-15,3.09,0.76,1.91,51.47,0.0,0.41
2017-05-15,6.95,0.67,1.52,29.42,0.0,0.26
2017-10-15,10.33,0.37,2.83,61.9,0.0,0.17
2017-11-15,7.06,0.83,1.41,62.44,0.04,0.35
2017-12-15,3.75,0.81,1.71,61.36,0.0,0.34
2018-01-15,9.17,0.62,3.4,71.59,0.0,0.39
2018-02-15,4.01,0.64,1.86,61.45,0.0,0.32
2018-03-15,3.34,0.86,0.75,77.08,0.31,0.44
2018-04-15,10.88,0.82,1.58,64.11,0.0,0.37
2018-05-15,10.82,0.84,1.1,45.64,0.0,0.22
2018-07-15,22.7,0.56,0.89,41.77,0.0,0.15
2018-10-15,13.35,0.18,5.82,68.17,0.0,0.19
2018-11-15,2.4,0.59,1.11,60.3,0.0,0.2
2018-12-15,4.69,0.6,2.18,67.04,0.0,0.36
2019-01-15,5.43,0.81,3.32,100.08,0.21,0.41
2019-02-15,4.83,0.91,4.49,160.31,0.34,0.45
2019-03-15,4.73,0.58,2.41,63.7,0.0,0.39
2019-04-15,12.02,0.81,1.2,60.6,0.0,0.36
2019-05-15,14.88,0.61,0.66,69.18,0.0,0.22
2019-06-15,16.65,0.85,1.27,48.71,0.0,0.22
2019-07-15,18.8,0.5,1.51,56.0,0.0,0.17
2019-10-15,7.75,0.57,1.72,59.99,0.0,0.16
2019-11-15,8.22,0.54,1.65,56.85,0.0,0.13
2019-12-15,3.66,0.95,1.96,252.08,0.9,0.45
