Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties
2013-01-15,15.98,0.99,0.69,284.67,0.89,0.44,"Ventura, CA"
2013-02-15,7.05,1.63,0.39,58.26,0.79,0.45,"Ventura, CA"
2013-03-15,17.54,0.93,0.37,299.81,1.62,0.45,"Ventura, CA"
2013-04-15,17.64,0.96,0.62,270.44,1.46,0.46,"Ventura, CA"
2013-06-15,15.9,0.89,0.15,183.33,0.33,0.42,"Ventura, CA"
2013-07-15,16.06,0.87,0.17,179.78,1.3,0.43,"Ventura, CA"
2013-08-15,15.64,0.91,0.48,79.76,1.12,0.46,"Ventura, CA"
2013-09-15,15.13,0.85,0.57,89.66,1.47,0.43,"Ventura, CA"
2013-10-15,15.68,0.92,0.42,331.72,0.74,0.45,"Ventura, CA"
2014-01-15,17.6,0.87,3.59,238.91,2.26,0.44,"Ventura, CA"
2014-02-15,17.22,0.94,0.32,16.98,1.64,0.44,"Ventura, CA"
2014-03-15,17.67,0.94,0.42,343.41,1.07,0.44,"Ventura, CA"
2014-04-15,16.25,0.92,1.54,67.71,3.27,0.44,"Ventura, CA"
2014-05-15,17.01,0.94,0.35,199.03,2.65,0.46,"Ventura, CA"
2014-06-15,17.43,0.87,0.02,316.08,2.77,0.44,"Ventura, CA"
2014-07-15,16.94,0.75,0.46,100.67,1.52,0.4,"Ventura, CA"
2014-08-15,16.21,0.81,0.32,106.25,0.19,0.39,"Ventura, CA"
2014-10-15,14.97,0.83,0.45,100.85,2.55,0.43,"Ventura, CA"
2014-11-15,15.64,0.86,0.76,99.66,0.0,0.42,"Ventura, CA"
2014-12-15,13.31,0.85,0.41,97.47,0.11,0.41,"Ventura, CA"
2015-01-15,17.63,0.97,0.31,243.64,0.15,0.44,"Ventura, CA"
2015-02-15,16.89,0.95,0.47,353.15,2.55,0.46,"Ventura, CA"
2015-03-15,16.92,1.0,0.54,357.5,4.13,0.46,"Ventura, CA"
2015-04-15,18.42,0.91,0.75,244.36,1.15,0.45,"Ventura, CA"
2015-05-15,18.5,0.87,1.52,202.14,3.44,0.45,"Ventura, CA"
2015-07-15,15.8,0.84,0.76,87.58,3.33,0.44,"Ventura, CA"
2015-09-15,13.52,0.7,1.34,111.27,0.82,0.39,"Ventura, CA"
2015-10-15,17.6,0.95,0.39,272.24,2.85,0.44,"Ventura, CA"
2015-12-15,17.6,0.9,0.15,141.76,0.2,0.44,"Ventura, CA"
2016-01-15,18.15,0.89,0.3,101.35,0.46,0.45,"Ventura, CA"
2016-02-15,17.88,0.9,0.84,67.71,2.13,0.44,"Ventura, CA"
2016-03-15,19.23,0.92,0.14,109.08,1.18,0.45,"Ventura, CA"
2016-08-15,14.58,0.84,0.92,108.41,0.61,0.4,"Ventura, CA"
2016-09-15,15.34,0.91,0.3,134.74,0.88,0.44,"Ventura, CA"
2016-10-15,16.56,0.96,0.23,63.55,0.46,0.45,"Ventura, CA"
2016-11-15,14.56,0.89,0.19,138.37,0.42,0.43,"Ventura, CA"
2016-12-15,17.74,0.98,0.35,282.86,1.15,0.45,"Ventura, CA"
2017-01-15,16.93,0.93,0.41,0.05,0.78,0.45,"Ventura, CA"
2017-02-15,17.1,0.83,0.18,15.8,0.0,0.43,"Ventura, CA"
2017-03-15,17.34,0.86,0.59,32.46,1.21,0.46,"Ventura, CA"
2017-04-15,19.46,0.83,0.57,228.74,3.22,0.45,"Ventura, CA"
2017-05-15,18.11,0.88,1.0,76.79,2.24,0.46,"Ventura, CA"
2017-06-15,16.51,0.85,0.78,116.45,1.16,0.45,"Ventura, CA"
2017-08-15,12.47,0.89,0.82,102.28,0.79,0.42,"Ventura, CA"
2017-09-15,15.69,0.96,0.13,181.56,2.59,0.43,"Ventura, CA"
2017-11-15,16.48,0.91,0.36,78.02,0.24,0.45,"Ventura, CA"
2018-02-15,17.14,0.94,0.21,304.22,2.39,0.45,"Ventura, CA"
2018-03-15,15.94,0.92,0.95,95.67,2.83,0.45,"Ventura, CA"
2018-04-15,16.1,0.9,0.37,42.03,2.86,0.44,"Ventura, CA"
2018-05-15,16.63,0.92,0.32,338.75,1.26,0.45,"Ventura, CA"
2018-06-15,14.62,0.84,0.66,114.58,0.65,0.45,"Ventura, CA"
2018-07-15,14.8,0.86,0.65,117.21,0.54,0.41,"Ventura, CA"
2018-08-15,14.25,0.86,0.53,132.18,1.57,0.41,"Ventura, CA"
2018-09-15,14.83,0.9,0.66,108.25,0.28,0.43,"Ventura, CA"
2018-10-15,15.17,0.97,0.54,99.67,0.22,0.43,"Ventura, CA"
2018-12-15,17.17,0.97,0.27,193.81,1.53,0.45,"Ventura, CA"
2019-01-15,16.03,0.95,0.12,208.64,3.6,0.45,"Ventura, CA"
2019-02-15,16.21,0.92,0.88,100.32,1.26,0.45,"Ventura, CA"
2019-03-15,18.46,0.91,0.5,85.97,4.87,0.46,"Ventura, CA"
2019-04-15,17.67,0.88,0.25,227.78,0.79,0.45,"Ventura, CA"
2019-05-15,17.41,0.87,1.14,82.28,4.33,0.44,"Ventura, CA"
2019-06-15,16.49,0.86,0.84,124.22,1.35,0.44,"Ventura, CA"
2019-08-15,15.06,0.88,0.2,68.62,1.12,0.39,"Ventura, CA"
2019-11-15,16.18,0.97,0.52,296.28,0.17,0.45,"Ventura, CA"
2019-12-15,16.4,0.91,0.28,97.05,1.81,0.46,"Ventura, CA"
