Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,-10.06,0.89,5.01,132.62,0.38,0.32
2013-02-15,-1.42,0.88,2.63,118.58,0.0,0.32
2013-03-15,-7.31,0.68,3.62,25.57,0.0,0.32
2013-04-15,6.83,0.73,4.04,172.6,0.0,0.36
2013-05-15,14.85,0.61,1.96,10.93,0.0,0.29
2013-06-15,17.74,0.6,5.87,248.42,0.08,0.22
2013-07-15,20.24,0.71,3.36,318.6,0.01,0.17
2013-08-15,17.91,0.72,4.65,254.73,0.17,0.3
2013-09-15,15.19,0.77,3.25,97.35,0.03,0.24
2013-10-15,10.59,0.86,4.0,246.98,0.0,0.3
2013-12-15,0.05,0.88,5.57,171.84,0.03,0.33
2014-01-15,-4.45,0.89,3.37,73.38,0.0,0.34
2014-02-15,0.13,0.95,1.78,201.42,0.0,0.32
2014-03-15,3.38,0.9,6.52,223.64,0.27,0.33
2014-04-15,6.35,0.8,2.51,315.64,0.0,0.32
2014-05-15,11.81,0.58,4.36,342.57,0.0,0.3
2014-06-15,13.25,0.7,4.87,359.26,0.01,0.31
2014-08-15,18.85,0.84,2.51,225.97,0.29,0.32
2014-09-15,13.57,0.65,2.88,85.26,0.0,0.29
2014-10-15,9.07,0.91,5.49,41.99,0.16,0.37
2014-11-15,5.12,0.88,4.87,117.51,0.01,0.32
2014-12-15,0.02,0.87,5.99,182.69,0.0,0.32
2015-01-15,1.97,0.91,4.19,230.71,0.0,0.36
2015-02-15,-0.81,0.66,7.17,54.68,0.0,0.31
2015-03-15,6.49,0.6,3.07,107.25,0.0,0.3
2015-04-15,4.94,0.87,7.48,312.35,0.05,0.34
2015-05-15,8.82,0.69,2.22,318.51,0.12,0.32
2015-06-15,16.45,0.55,5.52,272.1,0.0,0.16
2015-07-15,18.32,0.64,2.54,320.97,0.05,0.26
2015-08-15,21.58,0.48,2.21,72.93,0.0,0.18
2015-09-15,14.15,0.79,7.0,147.07,2.14,0.27
2015-10-15,7.25,0.65,2.09,132.07,0.0,0.24
2015-11-15,5.6,0.9,4.29,240.23,0.01,0.32
2015-12-15,-0.52,0.9,3.18,238.48,0.0,0.32
2016-01-15,-10.67,0.9,2.44,216.27,0.0,0.3
2016-02-15,1.91,0.95,0.91,323.95,0.0,0.34
2016-03-15,2.07,0.76,2.88,92.33,0.0,0.32
2016-04-15,5.74,0.56,3.39,314.25,0.0,0.33
2016-05-15,15.18,0.83,3.55,164.54,0.67,0.34
2016-09-15,16.18,0.71,1.1,243.24,0.0,0.25
2016-10-15,2.78,0.78,6.05,129.36,0.0,0.3
2016-11-15,1.58,0.97,4.12,181.65,0.26,0.35
2016-12-15,-2.04,0.91,0.64,193.59,0.01,0.33
2017-01-15,-0.99,0.96,2.49,255.19,0.01,0.31
2017-02-15,-0.65,0.97,0.93,148.08,0.0,0.32
2017-03-15,5.66,0.81,6.73,249.01,0.12,0.35
2017-04-15,1.51,0.78,2.24,355.13,0.13,0.31
2017-05-15,15.16,0.69,3.31,243.17,0.13,0.25
2017-06-15,17.02,0.64,2.37,302.82,0.0,0.29
2017-08-15,19.38,0.52,1.4,134.07,0.0,0.26
2017-09-15,12.45,0.91,6.59,243.7,0.63,0.35
2017-10-15,12.42,0.86,6.18,308.81,0.09,0.35
2017-11-15,5.3,0.93,4.1,249.43,0.0,0.35
2017-12-15,1.89,0.88,6.45,190.09,0.0,0.34
2018-01-15,-7.78,0.78,5.9,171.96,0.0,0.32
2018-02-15,-6.08,0.79,3.37,142.23,0.0,0.31
2018-03-15,-2.93,0.62,5.18,9.9,0.0,0.33
2018-04-15,14.03,0.68,1.66,248.97,0.0,0.26
2018-05-15,20.75,0.54,0.43,221.9,0.0,0.14
2018-08-15,19.92,0.85,3.6,237.14,0.42,0.3
2018-09-15,16.77,0.6,4.48,185.3,0.0,0.21
2018-10-15,13.29,0.62,4.89,176.66,0.0,0.26
2018-11-15,7.31,0.97,1.15,238.24,0.01,0.33
2018-12-15,-1.17,0.85,2.41,74.37,0.01,0.31
2019-01-15,-4.15,0.89,3.14,224.47,0.0,0.31
2019-02-15,3.31,0.95,4.01,269.14,0.01,0.37
2019-03-15,3.5,0.89,6.0,170.47,0.0,0.34
2019-04-15,7.0,0.43,4.34,36.63,0.0,0.25
2019-05-15,13.2,0.52,4.66,41.56,0.0,0.25
2019-07-15,18.61,0.53,1.21,1.48,0.0,0.24
2019-09-15,12.94,0.88,9.36,224.01,1.06,0.32
2019-10-15,8.94,0.84,4.02,102.18,0.0,0.34
2019-11-15,4.69,0.9,4.33,61.77,0.0,0.34
2019-12-15,1.46,0.98,4.76,178.11,0.07,0.35
