Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,0.13,0.59,2.4,69.8,0.0,0.35
2013-02-15,7.09,0.62,2.35,48.34,0.0,0.29
2013-03-15,12.46,0.8,1.76,71.2,0.0,0.22
2013-04-15,12.8,0.47,2.33,263.85,0.0,0.2
2013-05-15,21.67,0.43,2.89,136.47,0.0,0.17
2013-06-15,19.36,0.31,1.79,93.19,0.0,0.16
2013-08-15,19.9,0.44,1.86,110.89,0.0,0.14
2013-09-15,17.46,0.69,1.96,123.95,0.0,0.17
2013-10-15,12.63,0.33,2.74,49.78,0.0,0.14
2013-11-15,9.65,0.48,0.61,52.42,0.0,0.12
2013-12-15,0.91,0.83,2.14,59.24,0.0,0.26
2014-01-15,7.87,0.42,3.55,57.18,0.0,0.25
2014-02-15,13.74,0.85,2.59,127.36,0.0,0.39
2014-03-15,9.75,0.84,1.81,58.46,0.0,0.34
2014-04-15,13.12,0.73,2.37,88.86,0.0,0.26
2014-05-15,18.62,0.43,2.55,74.95,0.0,0.19
2014-06-15,18.65,0.28,2.1,96.15,0.0,0.15
2014-07-15,25.17,0.41,3.05,149.24,0.0,0.16
2014-08-15,20.41,0.48,2.26,104.25,0.0,0.15
2014-09-15,21.63,0.38,2.17,78.82,0.0,0.14
2014-10-15,16.91,0.73,3.63,165.81,0.18,0.16
2014-11-15,10.65,0.85,1.79,74.44,0.0,0.33
2014-12-15,8.35,0.73,0.88,56.89,0.0,0.41
2015-01-15,4.66,0.87,1.35,75.24,0.0,0.32
2015-02-15,9.65,0.76,1.24,54.34,0.0,0.37
2015-03-15,17.25,0.63,2.66,92.27,0.0,0.27
2015-04-15,8.94,0.43,3.14,18.89,0.0,0.23
2015-05-15,13.18,0.69,2.33,130.42,0.02,0.18
2015-07-15,20.29,0.6,1.63,138.4,0.0,0.16
2015-09-15,17.04,0.74,2.86,168.32,0.03,0.17
2015-10-15,19.62,0.5,2.06,88.74,0.0,0.16
2015-11-15,9.61,0.82,2.98,131.23,0.0,0.32
2015-12-15,1.3,0.6,2.77,40.83,0.0,0.4
2016-01-15,8.75,0.84,4.32,158.84,1.58,0.44
2016-02-15,13.75,0.57,3.34,26.17,0.0,0.31
2016-03-15,7.87,0.76,1.93,57.22,0.0,0.41
2016-04-15,9.92,0.56,2.47,337.21,0.0,0.31
2016-05-15,15.99,0.76,1.51,107.05,0.0,0.21
2016-06-15,17.22,0.47,4.01,144.09,0.0,0.14
2016-07-15,23.29,0.38,1.99,103.79,0.0,0.16
2016-09-15,14.57,0.64,1.08,63.06,0.0,0.15
2016-10-15,15.33,0.92,2.44,150.98,0.05,0.4
2016-11-15,11.31,0.83,1.71,90.88,0.0,0.32
2016-12-15,12.85,0.83,4.57,150.39,0.16,0.42
2017-01-15,3.08,0.82,2.28,64.53,0.0,0.4
2017-02-15,9.23,0.7,1.86,75.86,0.0,0.38
2017-03-15,13.93,0.79,2.61,80.58,0.0,0.31
2017-04-15,6.6,0.73,1.68,33.37,0.0,0.39
2017-06-15,19.93,0.49,2.08,84.95,0.0,0.23
2017-11-15,10.14,0.76,2.06,95.9,0.0,0.34
2017-12-15,4.27,0.77,1.33,63.96,0.0,0.33
2018-01-15,9.74,0.82,1.39,50.72,0.0,0.38
2018-02-15,6.53,0.69,1.73,52.84,0.0,0.27
2018-03-15,6.5,0.89,1.35,105.65,0.4,0.45
2018-04-15,16.44,0.67,2.72,122.56,0.0,0.36
2018-05-15,15.02,0.67,2.25,136.9,0.0,0.18
2018-06-15,20.59,0.41,2.13,117.43,0.0,0.14
2018-07-15,25.32,0.5,2.14,130.85,0.0,0.15
2018-08-15,20.21,0.6,1.74,147.25,0.0,0.16
2018-09-15,16.76,0.47,1.57,95.3,0.0,0.14
2018-10-15,16.38,0.17,2.9,9.16,0.0,0.18
2018-11-15,3.09,0.55,1.58,75.15,0.0,0.17
2018-12-15,11.46,0.89,2.06,118.5,0.69,0.38
2019-01-15,8.75,0.76,2.8,71.5,0.46,0.39
2019-02-15,8.86,0.85,7.16,184.57,2.03,0.45
2019-03-15,7.59,0.54,2.66,70.66,0.0,0.36
2019-04-15,15.68,0.54,3.35,146.31,0.0,0.33
2019-05-15,18.89,0.49,1.62,121.64,0.0,0.14
2019-08-15,26.05,0.3,2.01,76.48,0.0,0.14
2019-09-15,22.86,0.31,3.16,116.85,0.0,0.14
2019-10-15,10.49,0.52,1.62,73.75,0.0,0.17
2019-11-15,10.17,0.82,1.83,110.39,0.0,0.15
2019-12-15,6.43,0.89,1.25,203.57,0.04,0.42
