temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties_Idx,Started_Date
9.53,0.8,2.31,289.3,0.0,0.24,16,2019-02-15
31.33,0.7,1.77,202.78,0.11,0.39,45,2018-06-28
23.03,0.48,3.34,136.2,0.0,0.08,44,2018-08-15
17.85,0.9,1.95,291.47,0.0,0.05,10,2019-07-12
26.57,0.44,4.81,76.1,0.0,0.1,2,2013-07-19
19.84,0.86,3.89,160.27,0.01,0.25,29,2014-10-15
11.99,0.74,6.78,216.93,0.09,0.13,19,2016-02-15
15.19,0.7,1.72,56.86,0.0,0.2,0,2015-06-15
2.9,0.51,1.66,74.7,0.0,0.19,39,2018-11-15
10.59,0.71,2.46,307.74,0.0,0.34,5,2016-03-15
8.11,0.83,0.44,6.79,0.0,0.48,9,2017-11-15
10.04,0.82,2.24,30.63,0.0,0.35,35,2017-01-15
14.48,0.79,2.66,358.29,0.0,0.23,30,2016-02-15
12.48,0.94,1.16,223.19,0.0,0.21,23,2016-12-15
14.75,0.66,2.01,339.48,0.0,0.06,16,2013-05-27
10.87,0.85,2.86,295.4,0.24,0.36,37,2016-01-15
13.78,0.86,1.34,218.16,0.0,0.15,26,2018-08-09
10.2,0.89,4.85,55.28,0.4,0.38,7,2014-06-15
16.72,0.29,4.68,208.92,0.0,0.02,31,2013-04-15
10.59,0.74,2.92,310.94,0.0,0.39,34,2016-03-15
2.04,0.44,1.62,68.08,0.0,0.37,48,2018-12-15
8.04,0.73,2.4,71.0,0.0,0.37,3,2013-03-15
15.13,0.98,2.2,236.33,0.16,0.05,49,2016-10-15
6.05,0.65,0.16,228.16,0.0,0.16,15,2018-02-18
15.83,0.22,1.28,222.45,0.0,0.02,31,2016-09-15
10.6,0.83,2.48,9.5,0.0,0.06,49,2019-03-15
17.15,0.74,1.54,15.68,0.0,0.12,1,2018-10-15
22.61,0.9,1.4,179.22,0.01,0.38,28,2016-06-15
19.38,0.52,1.4,134.07,0.0,0.26,32,2017-08-15
21.05,0.81,1.94,121.9,0.2,0.12,47,2015-10-15
13.6,0.89,3.15,159.14,0.07,0.31,37,2014-02-15
14.46,0.8,0.72,209.1,0.0,0.06,1,2018-05-15
7.64,0.76,0.95,238.59,0.0,0.25,25,2019-02-15
19.38,0.82,0.75,231.86,0.0,0.08,43,2016-07-15
19.41,0.79,3.7,173.85,0.0,0.03,50,2019-05-15
8.27,0.92,5.26,247.85,0.01,0.25,2,2019-01-15
21.83,0.91,1.66,9.62,0.0,0.38,28,2016-11-15
11.19,0.94,1.51,260.66,0.0,0.18,26,2014-11-15
13.14,0.76,2.56,324.32,0.0,0.11,36,2019-11-15
18.88,0.6,2.27,317.18,0.0,0.05,16,2015-06-29
12.37,0.79,0.61,144.34,0.01,0.06,20,2014-10-16
22.25,0.18,1.38,211.22,0.0,0.01,31,2017-06-15
5.05,0.85,2.24,295.32,0.0,0.27,21,2017-05-15
6.75,0.47,0.88,24.61,0.0,0.13,24,2018-11-15
24.85,0.14,1.53,243.68,0.0,0.18,48,2018-08-06
13.18,0.42,4.75,314.05,0.0,0.15,36,2015-04-15
6.92,0.63,0.24,83.57,0.0,0.24,6,2013-03-15
13.21,0.57,2.99,96.64,0.0,0.36,45,2016-04-15
31.75,0.24,3.33,310.38,0.0,0.13,24,2014-07-28
14.27,0.82,2.83,227.47,0.0,0.13,13,2013-06-15
22.6,0.52,2.02,307.12,0.0,0.13,5,2017-07-04
16.77,0.81,0.5,92.32,0.0,0.24,39,2019-06-15
18.13,0.32,3.96,336.52,0.0,0.11,8,2019-10-09
21.12,0.39,3.3,310.9,0.0,0.05,22,2016-07-15
15.15,0.46,3.25,235.5,0.0,0.14,33,2013-04-15
15.58,0.49,2.57,21.26,0.0,0.04,1,2019-10-21
22.7,0.26,1.29,331.33,0.0,0.13,8,2017-08-26
11.87,0.74,2.07,337.92,0.0,0.22,47,2015-01-15
11.45,0.76,4.53,327.23,0.0,0.04,49,2013-03-15
25.84,0.37,0.6,232.45,0.0,0.03,31,2015-08-15
10.97,0.73,0.76,62.01,0.0,0.38,46,2014-12-15
20.19,0.88,2.51,291.77,0.0,0.06,10,2018-07-27
